################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   3.6922240183932642E-02   2.8442876174161835E+00   1.6958714630891194E+00   6.6055351575394849E-01
         1          2   4.0554341220319839E-01   2.5511009071058925E+00   2.1784565755918104E+00   3.6887535617090539E-01
         1          3   7.6977893334520364E-01   3.7568379087260784E+00   1.7724879654546379E+00   5.8156525620976252E-01
         1          4   1.3803221539126782E+00   5.7035195595085639E+00   2.7081576694017073E+00   7.7685253945206922E-01
         1          5   3.7844680483055826E+00   6.3999211824673417E+00   5.3465088692291811E+00   4.2516840726803790E-01
         1          6   3.6696240975710839E+00   7.7753794019567817E+00   6.2401149672489167E+00   8.2281637539272001E-01
         1          7   2.5306303798137946E+00   4.5051416133192994E+00   4.0029098764159485E+00   3.4536432551983814E-01
         1          8   1.4544280679760824E+00   2.1816219752996702E+00   1.6783331579522762E+00   1.1311846589560678E-01
         1          9   4.3419769010924714E-01   8.5812875872320582E-01   5.8771093626513182E-01   6.8908377140954574E-02
         1         10   1.2442866227944663E-01   2.2258568286281799E-01   1.6324569793108473E-01   1.5224670923711024E-02
         1         11   3.6940513070082726E-01   2.4649777187457307E+00   1.2371871448629064E+00   3.4840804885403887E-01
         1         12   1.3800863906147212E+00   4.2318465946056687E+00   3.0066528542717257E+00   5.3806443561806971E-01
         1         13   4.6284055096031611E-02   1.0698400414392197E+00   3.3663343533895335E-01   1.4793693497866328E-01
         1         14   8.2742258425631521E-01   3.0028921842938301E+00   1.8444849439907580E+00   3.9001388033751816E-01
