################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -4.0735723637193459E-02 a         1     0     1     1     1
  1.3009232629743006E+00 a         2     0     1     1     2
 -3.6265483812170551E-01 a         3     0     1     1     3
 -1.0628866082498474E-02 a         4     0     1     1     4
  1.4433996743840610E-01 a         5     0     1     1     5
  9.0359543479213725E-02 a         6     0     1     1     6
 -1.2790209436777547E-01 a         7     0     1     1     7
  2.2936816560512491E-01 a         8     0     1     1     8
  9.4393904797742412E-01 a         9     0     1     1     9
  4.6732521351935635E-01 a        10     0     1     1    10
  2.3132630069472906E-01 a        11     0     1     1    11
  1.3705434258696608E-01 a        12     0     1     1    12
 -4.4009266282077147E-01 a        13     0     1     1    13
  4.1723224645586499E-01 a        14     0     1     1    14
 -8.1292442035367096E-01 a        15     0     1     1    15
  5.1115762638115825E-01 a        16     0     1     1    16
 -3.5365264713365335E-01 a        17     0     1     1    17
  4.9924998936156756E-01 a        18     0     1     1    18
  5.0751431285682588E-02 a        19     0     1     1    19
  6.0113620977150783E-01 a        20     0     1     1    20
 -2.5306210845525157E-01 a        21     0     2     1     1
  1.4598783554258982E-01 a        22     0     2     1     2
 -2.1907542712312053E-01 a        23     0     2     1     3
  4.1667366991318827E-01 a        24     0     2     1     4
 -1.9062143857896052E-01 a        25     0     2     1     5
  8.4445217612693146E-01 a        26     0     2     1     6
 -3.1345423948923368E-01 a        27     0     2     1     7
 -2.2390224842432055E-01 a        28     0     2     1     8
 -2.9701872222861408E-01 a        29     0     2     1     9
 -3.3472514593173142E-01 a        30     0     2     1    10
  4.6455709867555532E-02 a        31     0     2     1    11
  1.0380573502969104E+00 a        32     0     2     1    12
  5.7047260149250290E-01 a        33     0     2     1    13
 -5.3871394578291087E-01 a        34     0     2     1    14
  2.5875322506549886E-01 a        35     0     2     1    15
 -2.0733656283851154E-01 a        36     0     2     1    16
  4.2287907840902783E-01 a        37     0     2     1    17
  2.2426850054657751E-01 a        38     0     2     1    18
  6.2682644601734205E-01 a        39     0     2     1    19
  2.0667301366923432E-01 a        40     0     2     1    20
 -7.2784883743922046E-01 a        41     0     3     1     1
 -7.7064828256568674E-01 a        42     0     3     1     2
  1.2632986158104174E+00 a        43     0     3     1     3
  5.6725562489366410E-01 a        44     0     3     1     4
  9.6020225929682390E-01 a        45     0     3     1     5
 -3.1690578232656119E-01 a        46     0     3     1     6
  2.2525116658805724E-01 a        47     0     3     1     7
  1.0792307170051106E-01 a        48     0     3     1     8
  6.0136320015640932E-01 a        49     0     3     1     9
  1.9019790184951385E-01 a        50     0     3     1    10
 -8.1769533828982305E-02 a        51     0     3     1    11
 -1.0916090172775124E+00 a        52     0     3     1    12
  7.7104798579022826E-01 a        53     0     3     1    13
  1.3537133741885506E-02 a        54     0     3     1    14
 -1.0573992346721468E+00 a        55     0     3     1    15
  7.0119959216655614E-01 a        56     0     3     1    16
 -1.4716538572176826E-02 a        57     0     3     1    17
  8.0121579105927876E-03 a        58     0     3     1    18
 -3.2275010247194386E-01 a        59     0     3     1    19
  1.6386239828358073E+00 a        60     0     3     1    20
  2.0775019428779803E-01 a        61     0     4     1     1
 -6.2126599500326882E-02 a        62     0     4     1     2
 -1.0554001315946997E+00 a        63     0     4     1     3
  2.6463210173696378E-01 a        64     0     4     1     4
 -1.1051768733386846E+00 a        65     0     4     1     5
  1.0435747237064106E+00 a        66     0     4     1     6
  6.4288248328906183E-01 a        67     0     4     1     7
  1.9585168797057842E-01 a        68     0     4     1     8
  5.3502640505085142E-01 a        69     0     4     1     9
  8.8195904644113698E-01 a        70     0     4     1    10
 -5.7365060396750522E-01 a        71     0     4     1    11
 -4.2570197952178429E-01 a        72     0     4     1    12
  1.0886855063188497E-01 a        73     0     4     1    13
  4.3095411620417307E-01 a        74     0     4     1    14
 -1.0830170159534820E+00 a        75     0     4     1    15
 -4.8553694990244817E-01 a        76     0     4     1    16
 -2.0353645943701262E-01 a        77     0     4     1    17
  3.4717531546986216E-02 a        78     0     4     1    18
 -4.4517867334320221E-01 a        79     0     4     1    19
 -4.7249527925686136E-01 a        80     0     4     1    20
  8.2551613549902458E-01 a        81     0     5     1     1
  5.8901093655787183E-02 a        82     0     5     1     2
  7.7500998158264711E-01 a        83     0     5     1     3
 -4.0921041259229751E-01 a        84     0     5     1     4
  1.8514684153771888E-01 a        85     0     5     1     5
 -3.8051107231635850E-01 a        86     0     5     1     6
  1.5346455829019132E-01 a        87     0     5     1     7
  6.7042220472070557E-01 a        88     0     5     1     8
  2.2278232107009133E-01 a        89     0     5     1     9
 -5.8048283020626812E-01 a        90     0     5     1    10
 -2.4256586838465163E-01 a        91     0     5     1    11
 -9.4735000797452465E-02 a        92     0     5     1    12
 -3.6875873344450055E-01 a        93     0     5     1    13
  3.9602909770142480E-01 a        94     0     5     1    14
  7.8284496221163768E-01 a        95     0     5     1    15
 -2.1841011046570724E-01 a        96     0     5     1    16
  5.7637222696147805E-01 a        97     0     5     1    17
 -2.7961877058816722E-02 a        98     0     5     1    18
  3.8929939354329829E-01 a        99     0     5     1    19
 -5.0723580145373437E-01 a       100     0     5     1    20
  1.4057256210871233E-01 a       101     0     6     1     1
 -9.1606906507824837E-01 a       102     0     6     1     2
 -3.1425533243781856E-01 a       103     0     6     1     3
 -1.0042342752301501E+00 a       104     0     6     1     4
  1.3011344471243835E-01 a       105     0     6     1     5
 -3.3095363279541701E-01 a       106     0     6     1     6
  7.5707084663421398E-01 a       107     0     6     1     7
  4.1963899090421941E-01 a       108     0     6     1     8
  7.4206093714369525E-01 a       109     0     6     1     9
  5.2137657234068691E-01 a       110     0     6     1    10
 -3.8172103995955620E-01 a       111     0     6     1    11
  9.3035773792785895E-02 a       112     0     6     1    12
 -4.0409380047825549E-01 a       113     0     6     1    13
  1.3727783102994426E-01 a       114     0     6     1    14
 -1.1563400721410506E-01 a       115     0     6     1    15
 -6.0431219538582041E-02 a       116     0     6     1    16
  1.5681673153354109E-01 a       117     0     6     1    17
  6.7513385846671242E-02 a       118     0     6     1    18
 -6.1210393997982060E-01 a       119     0     6     1    19
  4.7910482332602233E-01 a       120     0     6     1    20
  8.8611880727829195E-01 a       121     0     7     1     1
  4.0194022422413683E-01 a       122     0     7     1     2
 -2.7236488678077691E-02 a       123     0     7     1     3
  7.6402649875380912E-01 a       124     0     7     1     4
 -3.7679631664121699E-01 a       125     0     7     1     5
  4.7428366867306726E-01 a       126     0     7     1     6
  6.3294260026031857E-01 a       127     0     7     1     7
  6.3827395428008460E-01 a       128     0     7     1     8
  3.8084222566751524E-01 a       129     0     7     1     9
 -6.6299241857260471E-01 a       130     0     7     1    10
 -8.5177592189319451E-01 a       131     0     7     1    11
 -5.0269854321160901E-01 a       132     0     7     1    12
  3.1392216382424926E-01 a       133     0     7     1    13
  4.7890037997443974E-01 a       134     0     7     1    14
  3.5837550082415487E-01 a       135     0     7     1    15
  3.2818987663102414E-02 a       136     0     7     1    16
  5.1705652038285488E-01 a       137     0     7     1    17
  6.5448906067537427E-01 a       138     0     7     1    18
