################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  3.9438657373413777E-01 a         1     0     1     1     1
 -1.6077617208157072E-01 a         2     0     1     1     2
  3.8323873863523278E-01 a         3     0     1     1     3
  7.0287701795378255E-01 a         4     0     1     1     4
 -6.2052119534982353E-01 a         5     0     1     1     5
 -1.2310356080037507E-01 a         6     0     1     1     6
  6.2952153129811117E-01 a         7     0     1     1     7
  1.2658723577417411E-01 a         8     0     1     1     8
  2.5407359038480948E-01 a         9     0     1     1     9
  5.3928177540577182E-01 a        10     0     1     1    10
 -3.3492451506829896E-01 a        11     0     1     1    11
 -5.0913320475502166E-01 a        12     0     1     1    12
  5.9261832549377247E-01 a        13     0     1     1    13
 -6.8188851210467327E-01 a        14     0     1     1    14
 -6.4916232160892029E-01 a        15     0     1     1    15
 -8.7704619762987768E-01 a        16     0     1     1    16
 -5.4958457728059806E-01 a        17     0     1     1    17
 -1.3194695211075971E-01 a        18     0     1     1    18
 -4.0562315849786901E-01 a        19     0     1     1    19
 -3.1112095952445750E-02 a        20     0     1     1    20
  6.0710098549492142E-01 a        21     0     2     1     1
 -2.8146579935039712E-01 a        22     0     2     1     2
  6.6711488535781371E-01 a        23     0     2     1     3
 -6.1460751909112099E-01 a        24     0     2     1     4
  4.5176958094965036E-01 a        25     0     2     1     5
  3.1489643520573862E-01 a        26     0     2     1     6
 -2.8977048558404778E-01 a        27     0     2     1     7
  2.7508192763360639E-01 a        28     0     2     1     8
 -5.9141241497317021E-01 a        29     0     2     1     9
 -3.8791249043365328E-01 a        30     0     2     1    10
  8.5420189109191680E-01 a        31     0     2     1    11
  1.2302291871003770E-01 a        32     0     2     1    12
  3.3138221151939923E-01 a        33     0     2     1    13
  5.8729240515309089E-01 a        34     0     2     1    14
 -2.7326665294806674E-01 a        35     0     2     1    15
  3.4307841774428521E-01 a        36     0     2     1    16
  1.5063831359465688E-01 a        37     0     2     1    17
  4.5292083663602417E-01 a        38     0     2     1    18
  8.6664294659627139E-01 a        39     0     2     1    19
 -1.2823592947056817E-01 a        40     0     2     1    20
 -2.2345662101878988E-01 a        41     0     3     1     1
 -6.0550204804509522E-01 a        42     0     3     1     2
 -4.7386924022100174E-01 a        43     0     3     1     3
  5.9493118526051791E-01 a        44     0     3     1     4
