################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  8.2890181900106871E-02 a         1     0     1     1     1
  4.8997880950321049E-01 a         2     0     1     1     2
  6.9340516507939665E-01 a         3     0     1     1     3
 -8.9415232541759948E-01 a         4     0     1     1     4
  3.4623040725109089E-01 a         5     0     1     1     5
 -1.7350195906983890E-01 a         6     0     1     1     6
  2.7621405307605701E-01 a         7     0     1     1     7
 -1.0695723147470831E-01 a         8     0     1     1     8
 -4.3414692873492133E-01 a         9     0     1     1     9
  4.5912308600942170E-01 a        10     0     1     1    10
  4.7047072791380523E-01 a        11     0     1     1    11
 -2.3335033062149893E-01 a        12     0     1     1    12
 -6.9715355886709029E-01 a        13     0     1     1    13
 -5.9939775031399667E-01 a        14     0     1     1    14
  2.3441448641130752E-01 a        15     0     1     1    15
  5.4517669577658567E-01 a        16     0     1     1    16
  6.1106662769189568E-01 a        17     0     1     1    17
  2.4145536104198340E-02 a        18     0     1     1    18
 -2.0547928269243892E-01 a        19     0     1     1    19
  6.4123248884602177E-02 a        20     0     1     1    20
  2.6188159713720932E-01 a        21     0     2     1     1
 -5.1109899429697359E-01 a        22     0     2     1     2
  2.0554244842530625E-01 a        23     0     2     1     3
  1.7555436591175588E-02 a        24     0     2     1     4
  7.3654782306963637E-02 a        25     0     2     1     5
  8.7421585390871734E-02 a        26     0     2     1     6
  3.6522435673258102E-01 a        27     0     2     1     7
  5.2290116771346584E-01 a        28     0     2     1     8
 -9.2679263400580647E-01 a        29     0     2     1     9
  7.3906942862731384E-01 a        30     0     2     1    10
  4.0876814675643597E-01 a        31     0     2     1    11
 -1.9027913288211476E-01 a        32     0     2     1    12
 -3.2907203758895970E-01 a        33     0     2     1    13
 -6.0529832974697295E-01 a        34     0     2     1    14
  8.8203117554869792E-01 a        35     0     2     1    15
