################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -3.7095416915076083E-02 a         1     0     1     1     1
  3.1684203341284946E-02 a         2     0     1     1     2
  4.6600995145734592E-01 a         3     0     1     1     3
 -4.3127642271940764E-01 a         4     0     1     1     4
  4.9798283764810258E-01 a         5     0     1     1     5
  7.9957545499794591E-01 a         6     0     1     1     6
 -1.6420565974705564E-01 a         7     0     1     1     7
  8.2875160071179468E-03 a         8     0     1     1     8
 -1.0414580445212615E-01 a         9     0     1     1     9
  3.7801718516105093E-01 a        10     0     1     1    10
  5.7698661328556100E-01 a        11     0     1     1    11
 -3.7321335798373478E-01 a        12     0     1     1    12
 -8.2331486070656223E-01 a        13     0     1     1    13
  5.9900054831448235E-01 a        14     0     1     1    14
 -2.6315188516531896E-01 a        15     0     1     1    15
  4.1940127163952184E-01 a        16     0     1     1    16
 -3.8418760260712276E-01 a        17     0     1     1    17
  2.4837587332763517E-01 a        18     0     1     1    18
  7.0159170541141436E-01 a        19     0     1     1    19
  1.5182012968311828E-01 a        20     0     1     1    20
  1.4806610035965229E-02 a        21     0     2     1     1
  4.0199525956513527E-01 a        22     0     2     1     2
  6.5407172441068306E-01 a        23     0     2     1     3
  7.5961553247138924E-01 a        24     0     2     1     4
 -3.4789929624316451E-01 a        25     0     2     1     5
 -4.3537774061796036E-01 a        26     0     2     1     6
  3.3171760192451966E-01 a        27     0     2     1     7
 -4.9113218065986775E-01 a        28     0     2     1     8
  8.5949181669589714E-01 a        29     0     2     1     9
  5.9471107413252911E-01 a        30     0     2     1    10
  3.9967787278861211E-01 a        31     0     2     1    11
  4.9404013013402676E-01 a        32     0     2     1    12
 -3.5773681345722186E-01 a        33     0     2     1    13
 -6.9492887015404980E-01 a        34     0     2     1    14
 -1.0990206658618401E-01 a        35     0     2     1    15
 -3.9294932221709190E-02 a        36     0     2     1    16
  4.4594838580927032E-01 a        37     0     2     1    17
  4.9329012588959253E-01 a        38     0     2     1    18
  1.6103249852670265E-01 a        39     0     2     1    19
  1.6511533391264077E-01 a        40     0     2     1    20
  1.7075524230105060E-01 a        41     0     3     1     1
  5.7161020244201066E-01 a        42     0     3     1     2
 -2.5675621300453000E-01 a        43     0     3     1     3
 -1.9953125040814398E-01 a        44     0     3     1     4
 -3.3637051506000087E-01 a        45     0     3     1     5
  2.8880937970526765E-01 a        46     0     3     1     6
 -5.2161558110441342E-01 a        47     0     3     1     7
  1.7965193102055015E-02 a        48     0     3     1     8
  5.0241928869785027E-02 a        49     0     3     1     9
  6.6903870661150278E-01 a        50     0     3     1    10
 -4.6794814994116662E-01 a        51     0     3     1    11
 -5.8122727481318659E-01 a        52     0     3     1    12
 -3.9101063352646909E-01 a        53     0     3     1    13
 -1.0711028830543701E-01 a        54     0     3     1    14
  1.3759402356341729E-01 a        55     0     3     1    15
  3.5182006668253651E-01 a        56     0     3     1    16
  5.9091712586029932E-01 a        57     0     3     1    17
  2.2454591866577772E-01 a        58     0     3     1    18
  4.0581502706615741E-01 a        59     0     3     1    19
  9.2984720606183524E-01 a        60     0     3     1    20
  2.0282774260403436E-01 a        61     0     4     1     1
  5.2948010304342752E-01 a        62     0     4     1     2
 -2.1036823457571074E-01 a        63     0     4     1     3
  6.8278369405053574E-01 a        64     0     4     1     4
 -7.0458581818410831E-02 a        65     0     4     1     5
 -1.9621425478797461E-01 a        66     0     4     1     6
 -2.1160699136654701E-01 a        67     0     4     1     7
 -1.9775822819119857E-01 a        68     0     4     1     8
 -1.0259854232144301E-01 a        69     0     4     1     9
 -4.8748830762992890E-01 a        70     0     4     1    10
  4.2576333451033127E-01 a        71     0     4     1    11
  4.9292159997684759E-01 a        72     0     4     1    12
 -3.9905000144325192E-01 a        73     0     4     1    13
  1.2088005688404284E-01 a        74     0     4     1    14
  6.7617872881483854E-01 a        75     0     4     1    15
  5.0073425920006320E-01 a        76     0     4     1    16
  6.8963368567071215E-01 a        77     0     4     1    17
  2.0723068158787547E-01 a        78     0     4     1    18
  3.9470379241083475E-01 a        79     0     4     1    19
 -6.9303178379689667E-01 a        80     0     4     1    20
  8.2985264285168128E-02 a        81     0     5     1     1
 -7.6786579462726878E-01 a        82     0     5     1     2
 -5.6169177578637985E-01 a        83     0     5     1     3
  4.0458205979369616E-01 a        84     0     5     1     4
