################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -1.0885066952324332E-01 a         1     0     1     1     1
  4.7998274330891333E-01 a         2     0     1     1     2
 -6.6382594135894191E-01 a         3     0     1     1     3
 -4.7778968131019828E-01 a         4     0     1     1     4
  3.2819590754801642E-01 a         5     0     1     1     5
  9.1455765722159510E-01 a         6     0     1     1     6
 -7.1872108438103516E-02 a         7     0     1     1     7
  2.3247793316242121E-01 a         8     0     1     1     8
 -8.9681670768126109E-01 a         9     0     1     1     9
 -1.6082701748850786E-01 a        10     0     1     1    10
  1.1336033872862693E-01 a        11     0     1     1    11
 -1.8505121177534417E-01 a        12     0     1     1    12
  9.3776420653394854E-01 a        13     0     1     1    13
 -7.6270130903694167E-01 a        14     0     1     1    14
 -2.9679754967188460E-01 a        15     0     1     1    15
  7.8782536793729352E-01 a        16     0     1     1    16
  3.6992765385718086E-02 a        17     0     1     1    17
 -2.3451244412815275E-01 a        18     0     1     1    18
 -2.3727813247064455E-01 a        19     0     1     1    19
 -5.1241770856220048E-01 a        20     0     1     1    20
 -5.3025676219961893E-01 a        21     0     2     1     1
  5.8124769965638068E-01 a        22     0     2     1     2
  4.9357509063436589E-01 a        23     0     2     1     3
 -5.7255401862825150E-01 a        24     0     2     1     4
 -2.7320811587768512E-01 a        25     0     2     1     5
 -4.5116724786403734E-01 a        26     0     2     1     6
 -3.7870928724179170E-01 a        27     0     2     1     7
 -4.7036746582837585E-01 a        28     0     2     1     8
 -2.1683718060926938E-01 a        29     0     2     1     9
 -5.1653362304487038E-01 a        30     0     2     1    10
