################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   3.6922240183932642E-02   2.8442876174161835E+00   1.6935268576269149E+00   6.4910568615896935E-01
         1          2   4.0554341220319839E-01   2.5511009071058925E+00   2.1844487368239869E+00   3.5914173726946708E-01
         1          3   7.6977893334520364E-01   3.7568379087260784E+00   1.7788240658573979E+00   5.8201559196012986E-01
         1          4   1.3803221539126782E+00   5.7185377414542113E+00   2.7112760538316745E+00   7.7938553293489909E-01
         1          5   3.7844680483055826E+00   6.3999211824673417E+00   5.3506708519728585E+00   4.1407910574676909E-01
         1          6   3.6696240975710839E+00   7.7753794019567817E+00   6.2445518044597401E+00   7.9756719286370170E-01
         1          7   2.5306303798137946E+00   4.5051416133192994E+00   4.0080496774623287E+00   3.3577723568273116E-01
         1          8   1.4544280679760824E+00   2.1816219752996702E+00   1.6810746455786290E+00   1.1461597179738856E-01
         1          9   4.3419769010924714E-01   8.5812875872320582E-01   5.8835364618846486E-01   6.9679313380117999E-02
         1         10   1.2442866227944663E-01   2.2258568286281799E-01   1.6336989602004340E-01   1.5418755594749122E-02
         1         11   3.6940513070082726E-01   2.4649777187457307E+00   1.2381753188258928E+00   3.4292800178768795E-01
         1         12   1.3800863906147212E+00   4.2318465946056687E+00   3.0085867794598311E+00   5.1821310177082558E-01
         1         13   4.6284055096031611E-02   1.0698400414392197E+00   3.3736445162655126E-01   1.4696441455155110E-01
         1         14   8.2742258425631521E-01   3.0028921842938301E+00   1.8465543569543774E+00   3.7969353513848403E-01
