################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  2.9485252375607579E-01 a         1     0     1     1     1
  6.0193725143042520E-01 a         2     0     1     1     2
 -2.2167975990972683E-01 a         3     0     1     1     3
 -3.2070391352596599E-03 a         4     0     1     1     4
  8.1563152168434863E-02 a         5     0     1     1     5
  6.4909057381748222E-02 a         6     0     1     1     6
  2.1122621387573681E-01 a         7     0     1     1     7
  1.0394161228170218E-01 a         8     0     1     1     8
  7.4202898750757296E-01 a         9     0     1     1     9
  6.3901016105760133E-01 a        10     0     1     1    10
  3.7779670398638682E-01 a        11     0     1     1    11
  2.9194474013512939E-01 a        12     0     1     1    12
 -7.2656498990496827E-03 a        13     0     1     1    13
  3.7582877143236948E-01 a        14     0     1     1    14
 -2.5519541023654746E-01 a        15     0     1     1    15
  4.5102483364806956E-01 a        16     0     1     1    16
 -1.4979515124054285E-01 a        17     0     1     1    17
  6.0630609162902949E-01 a        18     0     1     1    18
 -5.1404905108574239E-01 a        19     0     1     1    19
  1.3746969773226791E-01 a        20     0     1     1    20
 -4.1210410278845822E-01 a        21     0     2     1     1
 -4.0380441453664331E-02 a        22     0     2     1     2
  2.7288874109607736E-01 a        23     0     2     1     3
 -4.7731126950000057E-02 a        24     0     2     1     4
 -1.3225704309449182E-01 a        25     0     2     1     5
  5.4149261220543288E-01 a        26     0     2     1     6
 -1.3577344623008564E-01 a        27     0     2     1     7
 -1.5177315319852550E-01 a        28     0     2     1     8
 -5.7768675399955638E-01 a        29     0     2     1     9
 -3.2148583613849518E-01 a        30     0     2     1    10
  7.8851191262006015E-02 a        31     0     2     1    11
  6.8101261586531514E-01 a        32     0     2     1    12
  4.5156411518552692E-01 a        33     0     2     1    13
 -1.5243526327006374E-01 a        34     0     2     1    14
  6.8421714164359465E-02 a        35     0     2     1    15
