################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  3.5226382511343850E-02 a         1     0     1     1     1
  5.8819130460130442E-01 a         2     0     1     1     2
  6.5166887092452108E-01 a         3     0     1     1     3
 -8.3728305380886636E-01 a         4     0     1     1     4
  4.1434826517402268E-01 a         5     0     1     1     5
 -1.6990788876015353E-01 a         6     0     1     1     6
  3.2777825987706172E-01 a         7     0     1     1     7
 -2.0043484950506232E-01 a         8     0     1     1     8
 -3.9399075900526642E-01 a         9     0     1     1     9
  6.6422891556459884E-01 a        10     0     1     1    10
  5.6248857258821194E-01 a        11     0     1     1    11
 -3.8715547648912940E-01 a        12     0     1     1    12
 -7.7707149502290973E-01 a        13     0     1     1    13
 -6.1288148713425383E-01 a        14     0     1     1    14
  1.3537706857266824E-01 a        15     0     1     1    15
  5.5505917781571368E-01 a        16     0     1     1    16
  6.6134619458552901E-01 a        17     0     1     1    17
 -6.7526679915316315E-02 a        18     0     1     1    18
 -3.4185925896031866E-01 a        19     0     1     1    19
 -1.4892593879767223E-02 a        20     0     1     1    20
  3.1310950644493518E-01 a        21     0     2     1     1
 -5.3618293109617188E-01 a        22     0     2     1     2
  2.0616309611950859E-01 a        23     0     2     1     3
 -1.0953821245498599E-01 a        24     0     2     1     4
  3.4268033101535504E-04 a        25     0     2     1     5
  1.8991340674930313E-01 a        26     0     2     1     6
  1.8030229472234019E-01 a        27     0     2     1     7
  4.0809983952024176E-01 a        28     0     2     1     8
 -8.6179567576312399E-01 a        29     0     2     1     9
  5.9617018621562845E-01 a        30     0     2     1    10
  3.8177690328580971E-01 a        31     0     2     1    11
 -2.2052609106573526E-01 a        32     0     2     1    12
 -2.0590265712446179E-01 a        33     0     2     1    13
 -5.2388574016809475E-01 a        34     0     2     1    14
  6.8987728047256391E-01 a        35     0     2     1    15
 -1.0793093557442790E-01 a        36     0     2     1    16
 -3.2240740967176057E-01 a        37     0     2     1    17
  4.8628484018944917E-01 a        38     0     2     1    18
 -5.1876670323741991E-01 a        39     0     2     1    19
 -2.4324193258236365E-01 a        40     0     2     1    20
 -5.6760030084862734E-01 a        41     0     3     1     1
  3.1637137601716381E-01 a        42     0     3     1     2
  1.1883417742950290E-03 a        43     0     3     1     3
 -7.2778643936730480E-01 a        44     0     3     1     4
 -3.8745130938527933E-01 a        45     0     3     1     5
