################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.5342230871719664E-01 a         1     0     1     1     1
  3.1232555677816065E-01 a         2     0     1     1     2
  4.0797087599256661E-02 a         3     0     1     1     3
  3.9029343102494334E-02 a         4     0     1     1     4
 -6.0667270186160838E-01 a         5     0     1     1     5
 -3.9870957380971461E-01 a         6     0     1     1     6
 -5.7911386998757686E-01 a         7     0     1     1     7
  6.1265444509322620E-01 a         8     0     1     1     8
 -4.0593521909312436E-01 a         9     0     1     1     9
  6.7089534301578235E-01 a        10     0     1     1    10
  8.9313799635823504E-02 a        11     0     1     1    11
 -4.9101431478221008E-01 a        12     0     1     1    12
  4.1726311653747785E-03 a        13     0     1     1    13
  7.5491785137353951E-01 a        14     0     1     1    14
  9.8156561243137069E-02 a        15     0     1     1    15
  3.4429337484519101E-01 a        16     0     1     1    16
  7.6439303987079898E-01 a        17     0     1     1    17
 -7.0343316987084981E-01 a        18     0     1     1    18
 -2.4438194208758854E-01 a        19     0     1     1    19
 -2.9842270697323880E-01 a        20     0     1     1    20
  1.8711893791087866E-01 a        21     0     2     1     1
  1.9878740165767708E-01 a        22     0     2     1     2
 -4.1357339168479734E-01 a        23     0     2     1     3
 -6.8475528287855603E-01 a        24     0     2     1     4
  2.0447659835444658E-02 a        25     0     2     1     5
 -3.4849128904577786E-01 a        26     0     2     1     6
 -4.4692744673233131E-01 a        27     0     2     1     7
 -4.2753057152344320E-01 a        28     0     2     1     8
 -2.4095190561929650E-01 a        29     0     2     1     9
  4.8017296494704786E-01 a        30     0     2     1    10
  6.3526031840111719E-01 a        31     0     2     1    11
  9.8784445374624774E-03 a        32     0     2     1    12
 -3.8247512570339265E-01 a        33     0     2     1    13
 -3.2396369458739438E-01 a        34     0     2     1    14
  3.9361617284850620E-01 a        35     0     2     1    15
  6.0941676273889037E-02 a        36     0     2     1    16
 -2.1662525752630415E-01 a        37     0     2     1    17
  6.6321986122986587E-01 a        38     0     2     1    18
 -1.9834955794470477E-01 a        39     0     2     1    19
  2.5792980703050922E-01 a        40     0     2     1    20
 -1.4534631870238618E-01 a        41     0     3     1     1
  8.7185456149321405E-01 a        42     0     3     1     2
 -2.1347877314118184E-02 a        43     0     3     1     3
  1.5503645214385919E-01 a        44     0     3     1     4
 -1.8492394351897048E-01 a        45     0     3     1     5
  2.2293168908801505E-02 a        46     0     3     1     6
 -4.8566499614621297E-02 a        47     0     3     1     7
 -4.1561648449321886E-01 a        48     0     3     1     8
 -4.2932079606819240E-01 a        49     0     3     1     9
  2.2350667206057753E-01 a        50     0     3     1    10
  1.5362448102870360E-01 a        51     0     3     1    11
  2.3476415283044197E-01 a        52     0     3     1    12
 -3.2552448401102219E-01 a        53     0     3     1    13
  5.0693946959991944E-02 a        54     0     3     1    14
 -5.2165644081923446E-01 a        55     0     3     1    15
  1.0112443820186228E+00 a        56     0     3     1    16
  1.8593936189377283E-01 a        57     0     3     1    17
 -1.5976346775919412E-01 a        58     0     3     1    18
  1.5668020977148414E-01 a        59     0     3     1    19
  6.1228893027296205E-01 a        60     0     3     1    20
 -1.7441134175665648E-01 a        61     0     4     1     1
 -6.6306738205821991E-01 a        62     0     4     1     2
  4.6419391501700841E-01 a        63     0     4     1     3
  3.7500645922151937E-01 a        64     0     4     1     4
 -7.9518185058701178E-03 a        65     0     4     1     5
 -2.3999740324214705E-01 a        66     0     4     1     6
  9.4638499171753918E-02 a        67     0     4     1     7
  3.7584776915184220E-02 a        68     0     4     1     8
  2.5296419357194488E-01 a        69     0     4     1     9
 -2.5866258696574834E-01 a        70     0     4     1    10
 -7.4705347490090657E-01 a        71     0     4     1    11
 -4.7370961723971189E-01 a        72     0     4     1    12
 -3.7931318725306851E-01 a        73     0     4     1    13
 -9.6378803501499161E-02 a        74     0     4     1    14
 -9.5449139783613579E-02 a        75     0     4     1    15
 -7.1853132819586130E-01 a        76     0     4     1    16
  2.6058942922216599E-01 a        77     0     4     1    17
 -6.7751133110908235E-01 a        78     0     4     1    18
  1.7477354304551296E-01 a        79     0     4     1    19
 -2.7774998151615837E-01 a        80     0     4     1    20
 -5.0184685055678102E-01 a        81     0     5     1     1
  5.8610008517854188E-02 a        82     0     5     1     2
 -5.4562212673830468E-01 a        83     0     5     1     3
  3.6882197747176326E-01 a        84     0     5     1     4
  4.0327556475191612E-01 a        85     0     5     1     5
 -4.2723100129298242E-01 a        86     0     5     1     6
  8.8316057702539785E-01 a        87     0     5     1     7
  6.8759321553628927E-01 a        88     0     5     1     8
 -2.0285970303716924E-01 a        89     0     5     1     9
 -2.4065179775349257E-01 a        90     0     5     1    10
 -2.1988864881087884E-02 a        91     0     5     1    11
 -3.6631560293313892E-01 a        92     0     5     1    12
  1.6786899690784515E-01 a        93     0     5     1    13
  5.9557060055841926E-01 a        94     0     5     1    14
 -3.7249986025659698E-01 a        95     0     5     1    15
 -4.5669952609076570E-01 a        96     0     5     1    16
  6.0767928095591428E-01 a        97     0     5     1    17
  2.2902737593862785E-01 a        98     0     5     1    18
 -6.1042964838145408E-01 a        99     0     5     1    19
  1.2409730730787803E-01 a       100     0     5     1    20
  3.4850347392542302E-01 a       101     0     6     1     1
  5.6838536251318239E-01 a       102     0     6     1     2
 -8.7568301286815073E-02 a       103     0     6     1     3
  5.4310937836512563E-01 a       104     0     6     1     4
 -5.6817519461442667E-01 a       105     0     6     1     5
  2.9449643910698109E-01 a       106     0     6     1     6
  2.7037719555185180E-01 a       107     0     6     1     7
 -2.3866463822665482E-01 a       108     0     6     1     8
  4.4281418594259869E-01 a       109     0     6     1     9
 -3.2255819539990072E-01 a       110     0     6     1    10
  1.2711964935332004E-01 a       111     0     6     1    11
 -6.8277479595585344E-01 a       112     0     6     1    12
  3.6583198422687030E-01 a       113     0     6     1    13
 -5.1639645547175150E-01 a       114     0     6     1    14
 -3.5188340458550582E-01 a       115     0     6     1    15
  4.3850187812526803E-01 a       116     0     6     1    16
 -1.2230990971052715E-01 a       117     0     6     1    17
 -2.9984860724107243E-01 a       118     0     6     1    18
 -1.4409400700166600E-01 a       119     0     6     1    19
 -5.2601717081380972E-01 a       120     0     6     1    20
 -8.3061926970975719E-01 a       121     0     7     1     1
 -7.6056373576817840E-02 a       122     0     7     1     2
  6.3218736232390704E-01 a       123     0     7     1     3
  1.0172807128341692E+00 a       124     0     7     1     4
  6.7660053902112371E-01 a       125     0     7     1     5
 -5.7353143665161899E-01 a       126     0     7     1     6
  1.0938566056348153E+00 a       127     0     7     1     7
 -1.5805165265138599E-01 a       128     0     7     1     8
  4.3004333904084452E-01 a       129     0     7     1     9
  3.1204333442629295E-01 a       130     0     7     1    10
 -3.1275461819949529E-01 a       131     0     7     1    11
 -1.0111614832113323E-01 a       132     0     7     1    12
 -5.1197011817616023E-01 a       133     0     7     1    13
 -2.5107558385517353E-01 a       134     0     7     1    14
  1.5947051279592872E-01 a       135     0     7     1    15
 -4.2398887162127558E-01 a       136     0     7     1    16
 -2.7429532805680373E-01 a       137     0     7     1    17
  9.5427289995664666E-01 a       138     0     7     1    18
 -2.0599633183036040E-01 a       139     0     7     1    19
  6.2610285376457228E-02 a       140     0     7     1    20
 -2.3808862470388500E-01 a       141     0     8     1     1
 -2.2379892607781610E-01 a       142     0     8     1     2
  3.1060403064720049E-01 a       143     0     8     1     3
 -1.6276940963147443E-01 a       144     0     8     1     4
 -5.9876811100786531E-01 a       145     0     8     1     5
  6.7274810996647261E-01 a       146     0     8     1     6
 -2.0901161122829667E-01 a       147     0     8     1     7
 -2.5871951858955144E-01 a       148     0     8     1     8
 -6.0136143905999118E-01 a       149     0     8     1     9
 -4.4938400057428862E-01 a       150     0     8     1    10
  6.9136969833642903E-01 a       151     0     8     1    11
 -5.4870129256141764E-01 a       152     0     8     1    12
 -6.6597865056221750E-01 a       153     0     8     1    13
 -8.6137111646459452E-01 a       154     0     8     1    14
  4.1088769252473811E-01 a       155     0     8     1    15
  3.7937320298959874E-02 a       156     0     8     1    16
  1.8576141142107017E-01 a       157     0     8     1    17
