################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  6.5015528933513289E-01 a         1     0     1     1     1
 -1.9811046594438189E-01 a         2     0     1     1     2
  3.8397529635009975E-01 a         3     0     1     1     3
  8.2399865703881592E-01 a         4     0     1     1     4
 -7.7741447018962395E-01 a         5     0     1     1     5
  6.6553744850920291E-02 a         6     0     1     1     6
  6.4598504071779195E-01 a         7     0     1     1     7
  8.2541685193543629E-02 a         8     0     1     1     8
  1.1036932959028746E-01 a         9     0     1     1     9
  9.4079608062552489E-01 a        10     0     1     1    10
 -2.1844153427751645E-01 a        11     0     1     1    11
 -4.6076597339649611E-01 a        12     0     1     1    12
  3.2060822736717148E-01 a        13     0     1     1    13
 -6.9110164437279487E-01 a        14     0     1     1    14
 -6.9981457096535138E-01 a        15     0     1     1    15
 -7.8203976878572712E-01 a        16     0     1     1    16
 -4.6341695174317799E-01 a        17     0     1     1    17
 -1.4307452980160681E-01 a        18     0     1     1    18
 -5.9535382656075397E-01 a        19     0     1     1    19
  1.6333544845433780E-02 a        20     0     1     1    20
  6.8171695061620641E-01 a        21     0     2     1     1
 -1.7687840101135141E-01 a        22     0     2     1     2
  7.9946440639115235E-01 a        23     0     2     1     3
 -3.8941542594403716E-01 a        24     0     2     1     4
  3.5095392798681391E-01 a        25     0     2     1     5
  1.8323769182265856E-01 a        26     0     2     1     6
 -6.1219109683338567E-02 a        27     0     2     1     7
  1.8313261321190813E-01 a        28     0     2     1     8
 -5.3801292400608125E-01 a        29     0     2     1     9
  1.5442570271068246E-01 a        30     0     2     1    10
  6.6076920629234770E-01 a        31     0     2     1    11
  6.2286513633932394E-02 a        32     0     2     1    12
  5.5457254797508237E-01 a        33     0     2     1    13
  2.4458282689545494E-01 a        34     0     2     1    14
 -4.6678694821253786E-01 a        35     0     2     1    15
  3.7766528939698152E-01 a        36     0     2     1    16
  9.7600066136436917E-02 a        37     0     2     1    17
  5.9484240941888378E-01 a        38     0     2     1    18
  8.8194663305770793E-01 a        39     0     2     1    19
  1.9639078774583796E-01 a        40     0     2     1    20
 -4.2894221551342782E-01 a        41     0     3     1     1
 -5.4269666969760810E-01 a        42     0     3     1     2
 -5.1519764553968317E-01 a        43     0     3     1     3
  5.1128991841158344E-01 a        44     0     3     1     4
 -2.8872644303783546E-01 a        45     0     3     1     5
  2.2542365598813729E-01 a        46     0     3     1     6
 -6.1275897466623297E-01 a        47     0     3     1     7
 -2.7806522609816320E-01 a        48     0     3     1     8
  7.2663676750940409E-01 a        49     0     3     1     9
 -7.6242909691564564E-01 a        50     0     3     1    10
  4.9525839084113454E-02 a        51     0     3     1    11
  2.4149313496173805E-01 a        52     0     3     1    12
 -3.3005672145693415E-01 a        53     0     3     1    13
 -7.1350814925198869E-01 a        54     0     3     1    14
 -3.7921364477384462E-01 a        55     0     3     1    15
 -5.5220837760394270E-02 a        56     0     3     1    16
  2.0537404856157160E-01 a        57     0     3     1    17
 -3.0522754537223096E-01 a        58     0     3     1    18
 -3.4211167179651725E-01 a        59     0     3     1    19
  2.0509161760312405E-01 a        60     0     3     1    20
 -2.6100899531149580E-01 a        61     0     4     1     1
  8.9152137226603523E-01 a        62     0     4     1     2
 -1.8895008066789412E-01 a        63     0     4     1     3
  4.0251959055816600E-01 a        64     0     4     1     4
  7.0197318244658513E-01 a        65     0     4     1     5
 -2.9217582674427722E-01 a        66     0     4     1     6
  8.5967917971024199E-01 a        67     0     4     1     7
  5.4547719833587516E-01 a        68     0     4     1     8
  3.2580044309830897E-01 a        69     0     4     1     9
  1.1116932447471939E+00 a        70     0     4     1    10
 -3.8347362189884313E-02 a        71     0     4     1    11
  4.5694722536833704E-01 a        72     0     4     1    12
