################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -2.1615762567716115E-01 a         1     0     1     1     1
  3.7138646091275640E-01 a         2     0     1     1     2
 -3.9807502108270498E-01 a         3     0     1     1     3
 -1.3428013425199048E-01 a         4     0     1     1     4
  1.4902376427711833E-01 a         5     0     1     1     5
  6.4926278738135512E-01 a         6     0     1     1     6
 -2.5912329122513800E-01 a         7     0     1     1     7
  1.8518726410281378E-01 a         8     0     1     1     8
 -6.3684628646745312E-01 a         9     0     1     1     9
  6.9689431427105847E-02 a        10     0     1     1    10
  1.8161050240198606E-01 a        11     0     1     1    11
 -8.2586279125957771E-02 a        12     0     1     1    12
  5.0319319921942474E-01 a        13     0     1     1    13
 -5.5863175345658711E-01 a        14     0     1     1    14
 -2.9947418227200984E-01 a        15     0     1     1    15
  5.2454512412559451E-01 a        16     0     1     1    16
 -1.9283819126906077E-02 a        17     0     1     1    17
 -2.1019592374299884E-01 a        18     0     1     1    18
 -3.3083144365404960E-01 a        19     0     1     1    19
 -3.9916747358409094E-01 a        20     0     1     1    20
 -5.3749816256837735E-01 a        21     0     2     1     1
  2.2861920962722487E-01 a        22     0     2     1     2
  3.4714510012995542E-01 a        23     0     2     1     3
 -5.4510753091338104E-01 a        24     0     2     1     4
 -2.6389973805222516E-01 a        25     0     2     1     5
 -6.3921962168994717E-01 a        26     0     2     1     6
 -2.6871287932692878E-01 a        27     0     2     1     7
 -7.7766480453680994E-02 a        28     0     2     1     8
  1.4622451902322148E-01 a        29     0     2     1     9
 -5.7360276498465068E-01 a        30     0     2     1    10
 -1.3698163040389091E-01 a        31     0     2     1    11
 -5.7239265002658479E-01 a        32     0     2     1    12
  5.3945952679530873E-01 a        33     0     2     1    13
 -3.9974180272749388E-01 a        34     0     2     1    14
 -5.0434115827076320E-01 a        35     0     2     1    15
 -2.5166437362988886E-01 a        36     0     2     1    16
 -1.0374571909048358E-01 a        37     0     2     1    17
 -1.5517666548267781E-01 a        38     0     2     1    18
  2.9013489292431965E-01 a        39     0     2     1    19
  1.4788084729807535E-01 a        40     0     2     1    20
 -4.3939673922678252E-02 a        41     0     3     1     1
 -3.5001756079415897E-01 a        42     0     3     1     2
 -3.2759262836864428E-01 a        43     0     3     1     3
  9.8743153393289665E-02 a        44     0     3     1     4
 -2.9702550991872578E-02 a        45     0     3     1     5
 -2.0912388206723725E-04 a        46     0     3     1     6
  4.2298558449278367E-01 a        47     0     3     1     7
  4.0860746599638592E-01 a        48     0     3     1     8
 -2.0098708108106053E-01 a        49     0     3     1     9
  2.3185710635852491E-01 a        50     0     3     1    10
  5.7117589874710839E-01 a        51     0     3     1    11
  3.9056786920568681E-01 a        52     0     3     1    12
 -4.5280359380850732E-01 a        53     0     3     1    13
  3.0006016425220827E-01 a        54     0     3     1    14
  1.2249140584332491E-01 a        55     0     3     1    15
  6.6923761765937517E-01 a        56     0     3     1    16
  4.9232805571006383E-01 a        57     0     3     1    17
 -4.4651260383501629E-01 a        58     0     3     1    18
 -8.0257599735426108E-02 a        59     0     3     1    19
  4.2896805465523935E-01 a        60     0     3     1    20
  6.7341849049082081E-01 a        61     0     4     1     1
 -3.6764457786069077E-01 a        62     0     4     1     2
  1.6658693814969008E-02 a        63     0     4     1     3
  6.4372532227132784E-01 a        64     0     4     1     4
  7.1295695063470998E-01 a        65     0     4     1     5
  4.5877746896736110E-01 a        66     0     4     1     6
  4.8837609512605068E-01 a        67     0     4     1     7
 -2.8143485915898514E-01 a        68     0     4     1     8
 -2.9973409291722958E-01 a        69     0     4     1     9
  5.8913250070652734E-01 a        70     0     4     1    10
 -8.9348488885496946E-01 a        71     0     4     1    11
  4.9566487721649205E-01 a        72     0     4     1    12
  5.2874446586393431E-01 a        73     0     4     1    13
 -3.1939964730105203E-01 a        74     0     4     1    14
  3.8257107822303921E-01 a        75     0     4     1    15
 -2.5295750227241592E-01 a        76     0     4     1    16
  1.3206031465993734E-01 a        77     0     4     1    17
 -2.2685040157064265E-01 a        78     0     4     1    18
  6.3426730232645856E-01 a        79     0     4     1    19
  3.6469050075494047E-01 a        80     0     4     1    20
 -3.2201435640940357E-01 a        81     0     5     1     1
  1.4387959236002595E-01 a        82     0     5     1     2
 -1.5554712887052694E-01 a        83     0     5     1     3
  4.2802551655332211E-01 a        84     0     5     1     4
 -7.3228947393838373E-01 a        85     0     5     1     5
 -6.6567309820316156E-01 a        86     0     5     1     6
 -6.3798252303062519E-01 a        87     0     5     1     7
 -8.1443962025772212E-02 a        88     0     5     1     8
 -5.7868346907194745E-01 a        89     0     5     1     9
  5.8342010716487913E-01 a        90     0     5     1    10
 -1.8359158505063386E-01 a        91     0     5     1    11
  5.9638230828434224E-01 a        92     0     5     1    12
  7.1774413129318615E-01 a        93     0     5     1    13
 -6.4364286998426878E-01 a        94     0     5     1    14
  2.0016124128839546E-01 a        95     0     5     1    15
  2.4868218607725370E-01 a        96     0     5     1    16
 -5.9012162238912513E-01 a        97     0     5     1    17
  2.0055518006543932E-01 a        98     0     5     1    18
  1.8428684495705472E-01 a        99     0     5     1    19
 -3.0343892809876288E-01 a       100     0     5     1    20
 -3.8290036994121301E-01 a       101     0     6     1     1
 -2.0980478337484557E-01 a       102     0     6     1     2
 -5.7665276192048420E-01 a       103     0     6     1     3
  6.4443516622408459E-01 a       104     0     6     1     4
  4.2805414587611323E-01 a       105     0     6     1     5
 -9.1023500075743433E-02 a       106     0     6     1     6
 -1.4234536945671014E-01 a       107     0     6     1     7
 -2.6087427170046729E-01 a       108     0     6     1     8
  5.2934129265431618E-01 a       109     0     6     1     9
 -3.1021731607378328E-01 a       110     0     6     1    10
  3.2754406739925997E-03 a       111     0     6     1    11
 -5.8976999188843993E-01 a       112     0     6     1    12
 -7.3739490166585775E-01 a       113     0     6     1    13
  4.1668241104877235E-01 a       114     0     6     1    14
 -5.7881006768259213E-01 a       115     0     6     1    15
 -6.1809311646170884E-01 a       116     0     6     1    16
 -6.7117973771527983E-01 a       117     0     6     1    17
  1.2739151911864696E-01 a       118     0     6     1    18
 -4.2336826392307447E-01 a       119     0     6     1    19
 -5.9040337366508433E-01 a       120     0     6     1    20
  6.4528810787271440E-01 a       121     0     7     1     1
  6.0349021710795725E-01 a       122     0     7     1     2
 -2.7723506107472606E-01 a       123     0     7     1     3
 -5.7419699125337820E-01 a       124     0     7     1     4
 -3.6374335372153488E-01 a       125     0     7     1     5
 -2.4163605576017816E-01 a       126     0     7     1     6
 -1.2747841950213595E-01 a       127     0     7     1     7
 -1.0046181079247918E+00 a       128     0     7     1     8
 -2.9573179342250561E-01 a       129     0     7     1     9
  2.7952986126354734E-01 a       130     0     7     1    10
 -1.1928405332299885E-01 a       131     0     7     1    11
 -1.9729369582080344E-01 a       132     0     7     1    12
  7.6131343575576749E-01 a       133     0     7     1    13
  7.4506690729366265E-01 a       134     0     7     1    14
  6.0337369399692398E-01 a       135     0     7     1    15
 -7.1046042677561250E-01 a       136     0     7     1    16
 -1.8844546603111184E-01 a       137     0     7     1    17
 -3.8779574267302963E-01 a       138     0     7     1    18
  1.8409155783271949E-01 a       139     0     7     1    19
 -2.4912885093335327E-01 a       140     0     7     1    20
 -1.8680186261734294E-01 a       141     0     8     1     1
  4.2166345915260889E-01 a       142     0     8     1     2
 -3.4237061951734721E-01 a       143     0     8     1     3
 -1.5749521505158412E-01 a       144     0     8     1     4
  1.3768849560366056E-01 a       145     0     8     1     5
 -2.5287727775924979E-01 a       146     0     8     1     6
 -6.0066917090693672E-02 a       147     0     8     1     7
 -6.6909367313686252E-01 a       148     0     8     1     8
  4.8613934901071709E-01 a       149     0     8     1     9
  7.9712046984963669E-01 a       150     0     8     1    10
 -1.6004840596048231E-01 a       151     0     8     1    11
 -3.0405290842829669E-01 a       152     0     8     1    12
  2.0596537536008566E-01 a       153     0     8     1    13
 -1.6566051771921678E-01 a       154     0     8     1    14
 -8.5057686344507180E-02 a       155     0     8     1    15
 -4.0550864667502125E-03 a       156     0     8     1    16
  2.9367230205490530E-01 a       157     0     8     1    17
  3.1651847338545752E-01 a       158     0     8     1    18
  5.1522834414705188E-01 a       159     0     8     1    19
  5.7987320459653635E-01 a       160     0     8     1    20
  1.8003522221056220E-01 a       161     0     9     1     1
 -5.4160605309452081E-01 a       162     0     9     1     2
 -1.3623966610793736E-01 a       163     0     9     1     3
  6.6473639070237267E-01 a       164     0     9     1     4
 -1.7636286828662961E-01 a       165     0     9     1     5
 -6.2356000346103824E-01 a       166     0     9     1     6
  7.5897065519335935E-02 a       167     0     9     1     7
 -1.8188303513680504E-01 a       168     0     9     1     8
  3.0087883502901719E-01 a       169     0     9     1     9
 -6.4333569117332123E-01 a       170     0     9     1    10
  5.6025095957562909E-01 a       171     0     9     1    11
  5.3125825446695851E-01 a       172     0     9     1    12
  4.3930249500253643E-01 a       173     0     9     1    13
 -9.5695172119165811E-02 a       174     0     9     1    14
  6.9113488276180735E-01 a       175     0     9     1    15
  2.9249052585870867E-02 a       176     0     9     1    16
 -2.9330827739727622E-01 a       177     0     9     1    17
 -2.0969361354600407E-02 a       178     0     9     1    18
 -7.2803313158128324E-02 a       179     0     9     1    19
  1.9032984018509835E-01 a       180     0     9     1    20
 -7.2273869613552325E-02 a       181     0    10     1     1
  1.3446381391599840E-01 a       182     0    10     1     2
 -3.9613041466555826E-01 a       183     0    10     1     3
  3.5676275070913238E-01 a       184     0    10     1     4
 -2.5797138630436578E-01 a       185     0    10     1     5
 -7.6044872195841617E-01 a       186     0    10     1     6
  1.6843844138404834E-01 a       187     0    10     1     7
 -7.4658523135131905E-01 a       188     0    10     1     8
  2.4425478552007399E-01 a       189     0    10     1     9
 -1.9502122135716426E-01 a       190     0    10     1    10
  6.9307721815557133E-01 a       191     0    10     1    11
  4.0226169706734899E-01 a       192     0    10     1    12
  2.4290160802724639E-01 a       193     0    10     1    13
 -4.6097683978107112E-01 a       194     0    10     1    14
  1.9574248664769589E-01 a       195     0    10     1    15
 -3.5867734842026910E-01 a       196     0    10     1    16
  1.7890212893772670E-01 a       197     0    10     1    17
  5.9199318975312731E-01 a       198     0    10     1    18
  8.0679334447668816E-01 a       199     0    10     1    19
  5.8850962233610415E-01 a       200     0    10     1    20
  3.7863148977419636E-01 a       201     0    11     1     1
  6.8509899172611233E-01 a       202     0    11     1     2
  5.8425056874649894E-01 a       203     0    11     1     3
  4.0200602055057261E-01 a       204     0    11     1     4
  3.1026058475199370E-01 a       205     0    11     1     5
 -5.1011519187924581E-01 a       206     0    11     1     6
 -6.9509128776833096E-01 a       207     0    11     1     7
 -1.9118801193963980E-01 a       208     0    11     1     8
 -5.5475274216310855E-01 a       209     0    11     1     9
  3.4089553299486652E-01 a       210     0    11     1    10
  4.7084172556565390E-01 a       211     0    11     1    11
  7.2688691056204535E-01 a       212     0    11     1    12
 -3.0144623879104704E-01 a       213     0    11     1    13
 -4.8899551460326196E-01 a       214     0    11     1    14
  4.0132568801510038E-01 a       215     0    11     1    15
  7.4528078875917458E-01 a       216     0    11     1    16
 -1.3430185357834110E-01 a       217     0    11     1    17
 -4.9989495739488382E-01 a       218     0    11     1    18
 -6.9810932736216269E-01 a       219     0    11     1    19
 -4.3378765374120748E-01 a       220     0    11     1    20
 -8.6439742543152087E-01 a       221     0    12     1     1
  1.4345838065848793E-01 a       222     0    12     1     2
 -4.5752661177543980E-01 a       223     0    12     1     3
 -4.6783544437425451E-01 a       224     0    12     1     4
  2.0080808526222446E-01 a       225     0    12     1     5
  3.3706305078409182E-01 a       226     0    12     1     6
 -4.0509098836766366E-01 a       227     0    12     1     7
 -2.3533992750279781E-01 a       228     0    12     1     8
  4.1641736192498008E-01 a       229     0    12     1     9
 -6.5316178059007080E-01 a       230     0    12     1    10
  4.1870499951387430E-01 a       231     0    12     1    11
  4.1915311849378395E-01 a       232     0    12     1    12
 -5.2921903683373650E-01 a       233     0    12     1    13
 -6.2990871518061849E-03 a       234     0    12     1    14
  4.3019457901515366E-02 a       235     0    12     1    15
 -4.0426022092513975E-01 a       236     0    12     1    16
  4.2686795587045995E-01 a       237     0    12     1    17
 -5.7914163587340550E-01 a       238     0    12     1    18
 -4.5245659201262117E-01 a       239     0    12     1    19
 -6.0247331629102152E-01 a       240     0    12     1    20
 -1.9709237722086828E-01 a       241     0    13     1     1
  2.3090737361418018E-01 a       242     0    13     1     2
 -1.5590210773539087E-01 a       243     0    13     1     3
 -2.6201233676224900E-01 a       244     0    13     1     4
  5.3083264447231535E-02 a       245     0    13     1     5
  4.6478718926706741E-01 a       246     0    13     1     6
 -3.9257006431615110E-01 a       247     0    13     1     7
 -1.9149111191181514E-01 a       248     0    13     1     8
  4.2841019183774859E-01 a       249     0    13     1     9
 -3.1049002805880715E-01 a       250     0    13     1    10
  2.0219429056974689E-01 a       251     0    13     1    11
 -4.2058814708456937E-01 a       252     0    13     1    12
  2.4661339617728761E-01 a       253     0    13     1    13
  5.1479067003468115E-01 a       254     0    13     1    14
 -3.7234489376158991E-01 a       255     0    13     1    15
 -2.1013272801917457E-01 a       256     0    13     1    16
 -1.5395088903475895E-01 a       257     0    13     1    17
  1.7981765470051543E-02 a       258     0    13     1    18
 -3.2335479172923987E-01 a       259     0    13     1    19
 -4.0483451605921572E-01 a       260     0    13     1    20
 -2.2891242673321643E-01 a       261     0    14     1     1
 -5.9870939978079396E-01 a       262     0    14     1     2
  6.4530260412573293E-01 a       263     0    14     1     3
 -6.9296582140943497E-01 a       264     0    14     1     4
 -6.9082550334981208E-01 a       265     0    14     1     5
 -6.4732041040300536E-01 a       266     0    14     1     6
 -6.9642947218605822E-01 a       267     0    14     1     7
 -4.3329141007690614E-01 a       268     0    14     1     8
 -6.0746310840376727E-01 a       269     0    14     1     9
 -5.9700891413116375E-01 a       270     0    14     1    10
 -5.5367008822308139E-01 a       271     0    14     1    11
  9.4882839922547133E-02 a       272     0    14     1    12
  2.7149296105088438E-02 a       273     0    14     1    13
 -5.4063762403418358E-01 a       274     0    14     1    14
 -5.2345872520837644E-01 a       275     0    14     1    15
 -2.8143545062532727E-01 a       276     0    14     1    16
 -7.9654043172556988E-01 a       277     0    14     1    17
  5.2306611817659321E-01 a       278     0    14     1    18
  2.4950495124222777E-01 a       279     0    14     1    19
 -2.3218069861874141E-01 a       280     0    14     1    20
  8.9806857893110625E-01 b       281     1     1
  1.4212728722006192E+00 b       282     1     2
 -4.6864823326469918E-01 b       283     1     3
  2.8281544381318841E-01 b       284     1     4
 -2.0074227594085045E-01 b       285     1     5
 -1.6290265986630268E+00 b       286     1     6
  7.4153353084044504E-01 b       287     1     7
  1.2312245746861989E+00 b       288     1     8
  8.3585458008770389E-02 b       289     1     9
 -1.1474193884745063E+00 b       290     1    10
 -9.0962134277311024E-01 b       291     1    11
  1.4640920351594156E+00 b       292     1    12
 -9.2070417324545240E-01 b       293     1    13
  1.8572782966098622E+00 b       294     1    14
 -3.2851827654813537E-01 b       295     1    15
  1.1439697743860540E+00 b       296     1    16
 -8.6436058624234258E-02 b       297     1    17
  1.3719988848438505E-01 b       298     1    18
  1.6816123601259556E+00 b       299     1    19
  7.4959805486479580E-01 b       300     1    20
  3.3759811832648406E-01 a       301     1     1     2     1
 -4.0904474676156810E-01 a       302     1     1     2     2
 -3.0558787611475774E-01 a       303     1     1     2     3
  6.1466837884965868E-02 a       304     1     1     2     4
 -3.5803041511990419E-01 a       305     1     1     2     5
 -3.7355447332790628E-02 a       306     1     1     2     6
 -5.0104753829963744E-01 a       307     1     1     2     7
 -1.5755278476132567E-01 a       308     1     1     2     8
 -3.7972422065585337E-01 a       309     1     1     2     9
  3.8555834110735482E-01 a       310     1     1     2    10
 -5.0377487960159772E-01 a       311     1     1     2    11
  6.2865124438302766E-01 a       312     1     1     2    12
  3.3919765680742386E-01 a       313     1     1     2    13
  5.1195378693144600E-01 a       314     1     1     2    14
  3.7952633215054604E-01 a       315     1     1     2    15
  3.2809107128748088E-01 a       316     1     1     2    16
 -6.4079942255487621E-03 a       317     1     1     2    17
 -1.7041251893687598E-01 a       318     1     1     2    18
  3.2213524534162818E-01 a       319     1     1     2    19
  2.8216303601385456E-01 a       320     1     1     2    20
  4.6510328696944458E-01 a       321     1     2     2     1
 -3.8761698824484137E-01 a       322     1     2     2     2
 -2.1542836295863890E-01 a       323     1     2     2     3
  4.7801695997286864E-01 a       324     1     2     2     4
  6.6233556195708454E-01 a       325     1     2     2     5
  5.6710137229965996E-01 a       326     1     2     2     6
  3.1845324806021744E-02 a       327     1     2     2     7
  4.2201499535765585E-01 a       328     1     2     2     8
  1.8970247192946535E-01 a       329     1     2     2     9
  4.2571596111819104E-01 a       330     1     2     2    10
 -5.9660967393612541E-01 a       331     1     2     2    11
  5.7997177392230759E-01 a       332     1     2     2    12
 -2.4864613404670233E-01 a       333     1     2     2    13
 -4.8581366463198161E-01 a       334     1     2     2    14
 -2.3035379347013599E-01 a       335     1     2     2    15
 -5.4790782004298044E-01 a       336     1     2     2    16
  3.1994798904367494E-01 a       337     1     2     2    17
  2.1839216196537034E-01 a       338     1     2     2    18
 -3.1394839596986795E-01 a       339     1     2     2    19
 -1.3335164180658218E-02 a       340     1     2     2    20
  3.2923647942981371E-01 a       341     1     3     2     1
  2.4031721845688320E-01 a       342     1     3     2     2
  3.6838188555862034E-01 a       343     1     3     2     3
 -2.6952398977408554E-01 a       344     1     3     2     4
 -1.9126006723771724E-01 a       345     1     3     2     5
  4.3236607578343528E-01 a       346     1     3     2     6
 -1.5562996961364794E-01 a       347     1     3     2     7
 -4.2136255416485463E-01 a       348     1     3     2     8
  3.0065900333308687E-01 a       349     1     3     2     9
  5.7861547156478610E-01 a       350     1     3     2    10
 -7.1055144363219261E-02 a       351     1     3     2    11
 -3.4269331980558604E-01 a       352     1     3     2    12
 -3.0748400135548748E-01 a       353     1     3     2    13
  3.4094457914750737E-01 a       354     1     3     2    14
 -9.0858010127333119E-02 a       355     1     3     2    15
 -2.2999915918646657E-01 a       356     1     3     2    16
 -6.2696030827957605E-01 a       357     1     3     2    17
  8.7099502899928433E-02 a       358     1     3     2    18
  9.3897036551290156E-02 a       359     1     3     2    19
  1.7956267204162163E-01 a       360     1     3     2    20
 -3.7536742162049552E-01 a       361     1     4     2     1
 -6.4976943704640910E-01 a       362     1     4     2     2
 -1.6734420969184338E-01 a       363     1     4     2     3
 -2.3958751057926131E-01 a       364     1     4     2     4
 -8.3561861185196054E-02 a       365     1     4     2     5
  5.9323571896717731E-01 a       366     1     4     2     6
