################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.5711725847107247E-01 a         1     0     1     1     1
  4.6074749241826235E-01 a         2     0     1     1     2
  7.6058655403713238E-01 a         3     0     1     1     3
 -9.0123932308868870E-01 a         4     0     1     1     4
  3.9636906720708376E-01 a         5     0     1     1     5
 -1.9337758423056861E-01 a         6     0     1     1     6
  4.7577352324776911E-01 a         7     0     1     1     7
 -5.9853429272086499E-02 a         8     0     1     1     8
 -3.2247890108268124E-01 a         9     0     1     1     9
  4.9768230925854040E-01 a        10     0     1     1    10
  4.3794116325756699E-01 a        11     0     1     1    11
 -3.8716634228863672E-01 a        12     0     1     1    12
 -6.4220544077466957E-01 a        13     0     1     1    13
 -4.7200633676489473E-01 a        14     0     1     1    14
  2.6540810803093490E-01 a        15     0     1     1    15
  5.0624429800795889E-01 a        16     0     1     1    16
  5.1121906049144406E-01 a        17     0     1     1    17
 -1.5321681025641762E-01 a        18     0     1     1    18
 -3.6015597895253548E-01 a        19     0     1     1    19
  2.9838038637525998E-02 a        20     0     1     1    20
  1.4462851989861919E-01 a        21     0     2     1     1
 -3.9231978636750625E-01 a        22     0     2     1     2
  4.2207234649280445E-01 a        23     0     2     1     3
  4.0638610572365348E-02 a        24     0     2     1     4
 -1.2461606824966046E-01 a        25     0     2     1     5
  1.4556021733538174E-01 a        26     0     2     1     6
  3.2860007929255947E-01 a        27     0     2     1     7
  5.8303732308814726E-01 a        28     0     2     1     8
 -6.4859241004321655E-01 a        29     0     2     1     9
  8.7610338320074765E-01 a        30     0     2     1    10
  4.7698707588059197E-01 a        31     0     2     1    11
 -3.8649708727130966E-01 a        32     0     2     1    12
 -3.0990163781713598E-01 a        33     0     2     1    13
 -6.8287568335097759E-01 a        34     0     2     1    14
  8.4745175618200408E-01 a        35     0     2     1    15
 -3.3403456507445174E-02 a        36     0     2     1    16
 -3.2588607870848646E-01 a        37     0     2     1    17
  4.4711780935136075E-01 a        38     0     2     1    18
 -6.7015396155702645E-01 a        39     0     2     1    19
 -1.2320746606319545E-01 a        40     0     2     1    20
 -6.4737933949959403E-01 a        41     0     3     1     1
  3.3792047554466254E-01 a        42     0     3     1     2
 -1.3930927676785082E-01 a        43     0     3     1     3
 -7.0966583449641585E-01 a        44     0     3     1     4
 -5.3754473358042865E-01 a        45     0     3     1     5
