################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.3961516746097291E-01 a         1     0     1     1     1
  1.9351737168794136E-01 a         2     0     1     1     2
  1.3486910847731479E-01 a         3     0     1     1     3
  1.3646340772463325E-01 a         4     0     1     1     4
 -6.7396544686447879E-01 a         5     0     1     1     5
 -4.0103775116513285E-01 a         6     0     1     1     6
 -4.9724517823471737E-01 a         7     0     1     1     7
  5.0792768820703982E-01 a         8     0     1     1     8
 -3.2644428869875380E-01 a         9     0     1     1     9
  6.4697648408054698E-01 a        10     0     1     1    10
  3.6886800782407365E-02 a        11     0     1     1    11
 -4.2859156232829698E-01 a        12     0     1     1    12
  7.1324071556897420E-02 a        13     0     1     1    13
  5.5003039014328325E-01 a        14     0     1     1    14
 -9.8409675184887191E-02 a        15     0     1     1    15
  6.9288773362981754E-02 a        16     0     1     1    16
  7.1439470236197478E-01 a        17     0     1     1    17
 -5.4557139455454184E-01 a        18     0     1     1    18
 -3.9628837988320170E-01 a        19     0     1     1    19
 -1.9266309954350097E-01 a        20     0     1     1    20
  2.9567507667871573E-01 a        21     0     2     1     1
  3.3017163880088946E-01 a        22     0     2     1     2
 -4.8380344660280766E-01 a        23     0     2     1     3
 -7.3048472399726871E-01 a        24     0     2     1     4
  6.8822149226371462E-02 a        25     0     2     1     5
 -2.3361453133322610E-01 a        26     0     2     1     6
 -6.3932739581244447E-01 a        27     0     2     1     7
 -2.7690167112052333E-01 a        28     0     2     1     8
 -1.5017142223523156E-01 a        29     0     2     1     9
  4.4327949517256865E-01 a        30     0     2     1    10
  5.3726236990778209E-01 a        31     0     2     1    11
 -3.3558135503079609E-02 a        32     0     2     1    12
 -2.2017858642357677E-01 a        33     0     2     1    13
 -2.0353696806135935E-01 a        34     0     2     1    14
  2.4792104521108602E-01 a        35     0     2     1    15
  1.3795665073063490E-01 a        36     0     2     1    16
 -4.3665829282096731E-02 a        37     0     2     1    17
  5.5090714356109327E-01 a        38     0     2     1    18
 -3.3827222023409526E-01 a        39     0     2     1    19
  9.5945486762326920E-02 a        40     0     2     1    20
 -3.3572521546522621E-01 a        41     0     3     1     1
  7.1431304026807130E-01 a        42     0     3     1     2
  4.6767420994872799E-01 a        43     0     3     1     3
  1.5992082486037049E-01 a        44     0     3     1     4
 -2.0279408978383437E-01 a        45     0     3     1     5
  6.0002624561546640E-02 a        46     0     3     1     6
  2.6143682464560156E-02 a        47     0     3     1     7
 -2.5026947809655947E-01 a        48     0     3     1     8
 -3.2195294877873143E-01 a        49     0     3     1     9
  3.0061530802632375E-01 a        50     0     3     1    10
  3.8957611325401836E-01 a        51     0     3     1    11
  4.0321329225381636E-01 a        52     0     3     1    12
 -3.8730356729011117E-01 a        53     0     3     1    13
 -6.6248833702746368E-02 a        54     0     3     1    14
 -3.4776868656449894E-01 a        55     0     3     1    15
  1.0451574898120832E+00 a        56     0     3     1    16
  2.0206795251249315E-01 a        57     0     3     1    17
 -1.3396814740730251E-01 a        58     0     3     1    18
  3.3409589282124275E-01 a        59     0     3     1    19
  3.7638881772509342E-01 a        60     0     3     1    20
  1.0126694812079591E-02 a        61     0     4     1     1
 -5.0038203792510061E-01 a        62     0     4     1     2
  2.7360390347511215E-01 a        63     0     4     1     3
  4.4624275689750836E-01 a        64     0     4     1     4
 -1.1614279982119309E-01 a        65     0     4     1     5
  8.1185954869389038E-02 a        66     0     4     1     6
 -4.8370729008823138E-02 a        67     0     4     1     7
 -1.8423203780655173E-01 a        68     0     4     1     8
  2.9043134919841873E-01 a        69     0     4     1     9
 -3.4830314891935565E-01 a        70     0     4     1    10
 -8.5857809181516143E-01 a        71     0     4     1    11
 -3.4862204306400862E-01 a        72     0     4     1    12
 -3.0261766485881642E-01 a        73     0     4     1    13
  2.4947118706717925E-02 a        74     0     4     1    14
 -6.7638172447524597E-02 a        75     0     4     1    15
 -3.2652115626911615E-01 a        76     0     4     1    16
  2.4944433602622909E-01 a        77     0     4     1    17
 -4.6886399106773735E-01 a        78     0     4     1    18
  1.3434815445915246E-01 a        79     0     4     1    19
 -3.1454992718719643E-01 a        80     0     4     1    20
 -6.3718963217328695E-01 a        81     0     5     1     1
  1.5448373348934294E-01 a        82     0     5     1     2
 -3.4949120548467733E-01 a        83     0     5     1     3
  1.9358128493539661E-01 a        84     0     5     1     4
  5.3480620375579313E-01 a        85     0     5     1     5
 -5.7497988810682610E-01 a        86     0     5     1     6
  7.6564898554075100E-01 a        87     0     5     1     7
  7.6035793949598374E-01 a        88     0     5     1     8
 -2.0401417341309894E-01 a        89     0     5     1     9
 -2.2011742288035685E-01 a        90     0     5     1    10
 -1.9543504421018701E-01 a        91     0     5     1    11
 -4.4140923653776316E-02 a        92     0     5     1    12
  1.9982352089963787E-01 a        93     0     5     1    13
  3.2432970687699136E-01 a        94     0     5     1    14
 -5.0705503050658696E-01 a        95     0     5     1    15
 -7.8517799071441763E-01 a        96     0     5     1    16
  6.5630175196712892E-01 a        97     0     5     1    17
  1.1889408531059346E-01 a        98     0     5     1    18
 -5.5466440220906010E-01 a        99     0     5     1    19
  3.1021543557356002E-01 a       100     0     5     1    20
  1.6617178196387039E-01 a       101     0     6     1     1
  4.0675335623758480E-01 a       102     0     6     1     2
