################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -7.8928692269817038E-02 a         1     0     1     1     1
  3.2055915907369087E-01 a         2     0     1     1     2
 -6.8546097283929064E-01 a         3     0     1     1     3
 -3.6361533931439965E-01 a         4     0     1     1     4
  2.4130914100633313E-01 a         5     0     1     1     5
  8.2525648994607037E-01 a         6     0     1     1     6
 -1.3275737324716186E-01 a         7     0     1     1     7
  1.5379397570018763E-01 a         8     0     1     1     8
 -7.3784139005448068E-01 a         9     0     1     1     9
 -4.2971363247298423E-02 a        10     0     1     1    10
  2.5562651730382802E-01 a        11     0     1     1    11
 -1.0144199041013724E-01 a        12     0     1     1    12
  7.3983987391132444E-01 a        13     0     1     1    13
 -6.6340240709823106E-01 a        14     0     1     1    14
 -2.7984270218311930E-01 a        15     0     1     1    15
  5.9052101641110177E-01 a        16     0     1     1    16
  1.1948591324469574E-01 a        17     0     1     1    17
 -7.8529711100187275E-04 a        18     0     1     1    18
 -2.2508346734329443E-01 a        19     0     1     1    19
 -5.2397272095240799E-01 a        20     0     1     1    20
 -5.1848920836543877E-01 a        21     0     2     1     1
  5.6511454210169720E-01 a        22     0     2     1     2
  3.7106171416077371E-01 a        23     0     2     1     3
 -7.1419828529655849E-01 a        24     0     2     1     4
 -3.3358436001986008E-01 a        25     0     2     1     5
 -6.4912213538207142E-01 a        26     0     2     1     6
 -3.1642936164526142E-01 a        27     0     2     1     7
 -2.0460248589355498E-01 a        28     0     2     1     8
  1.1709841279981977E-02 a        29     0     2     1     9
 -3.6123075749246614E-01 a        30     0     2     1    10
 -3.6264543661287457E-01 a        31     0     2     1    11
 -6.0017418925134736E-01 a        32     0     2     1    12
  9.7601128834490480E-01 a        33     0     2     1    13
 -2.7260792014161894E-01 a        34     0     2     1    14
 -3.1400289839962447E-01 a        35     0     2     1    15
  1.5335971233536905E-02 a        36     0     2     1    16
  2.4239113264497889E-02 a        37     0     2     1    17
 -5.2580582770612971E-01 a        38     0     2     1    18
  3.8155819223747073E-01 a        39     0     2     1    19
  2.0744817049293238E-01 a        40     0     2     1    20
 -1.1846050231980959E-01 a        41     0     3     1     1
 -4.6554478237475833E-01 a        42     0     3     1     2
 -2.8134257297119858E-01 a        43     0     3     1     3
  3.8978575136625926E-01 a        44     0     3     1     4
 -1.3682338695016055E-01 a        45     0     3     1     5
 -1.1458393952712084E-01 a        46     0     3     1     6
  3.2591969379550145E-01 a        47     0     3     1     7
  4.0570574820146549E-01 a        48     0     3     1     8
 -2.6006669348675598E-01 a        49     0     3     1     9
  3.2768289362964165E-01 a        50     0     3     1    10
  5.2282106018589103E-01 a        51     0     3     1    11
  4.5364056441431855E-01 a        52     0     3     1    12
 -4.8532060056149329E-01 a        53     0     3     1    13
  2.7873936545974975E-01 a        54     0     3     1    14
  3.5664373067371519E-01 a        55     0     3     1    15
  8.1247590196401465E-01 a        56     0     3     1    16
  6.9118509852476118E-01 a        57     0     3     1    17
 -5.3580387535051432E-01 a        58     0     3     1    18
 -2.4789968471557372E-02 a        59     0     3     1    19
  3.7981506189785208E-01 a        60     0     3     1    20
  8.0378165095303578E-01 a        61     0     4     1     1
 -4.0607026399861496E-01 a        62     0     4     1     2
  1.0648347824757902E-02 a        63     0     4     1     3
  6.7467614677362164E-01 a        64     0     4     1     4
  8.6876690675037116E-01 a        65     0     4     1     5
  5.4765769520884156E-01 a        66     0     4     1     6
  4.7688990922075142E-01 a        67     0     4     1     7
 -2.2360673221279914E-01 a        68     0     4     1     8
 -3.8324490263657707E-01 a        69     0     4     1     9
  4.8856809938493273E-01 a        70     0     4     1    10
 -8.7684481192380515E-01 a        71     0     4     1    11
  5.4291574905975803E-01 a        72     0     4     1    12
  5.9810099212541512E-01 a        73     0     4     1    13
 -1.7054490314404705E-01 a        74     0     4     1    14
  6.1300665904248242E-01 a        75     0     4     1    15
 -3.5693467320527023E-01 a        76     0     4     1    16
  1.0153929150756778E-01 a        77     0     4     1    17
 -1.3908798984249635E-01 a        78     0     4     1    18
