################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -3.1843265791613162E-01 a         1     0     1     1     1
 -3.3087281102155841E-01 a         2     0     1     1     2
  5.3420158244544913E-01 a         3     0     1     1     3
 -2.5140013952959028E-01 a         4     0     1     1     4
  3.2009821277965911E-01 a         5     0     1     1     5
  8.3398601199304168E-01 a         6     0     1     1     6
 -3.7845027223622618E-01 a         7     0     1     1     7
  2.8233977257562687E-01 a         8     0     1     1     8
  1.5243409836100386E-01 a         9     0     1     1     9
  7.5506360962637176E-01 a        10     0     1     1    10
  5.2790546526501392E-01 a        11     0     1     1    11
 -1.2246940629979450E-01 a        12     0     1     1    12
 -6.3003454741682052E-01 a        13     0     1     1    13
  4.3428060965471593E-01 a        14     0     1     1    14
  4.8060065215763913E-02 a        15     0     1     1    15
  3.4933692263702404E-01 a        16     0     1     1    16
 -5.8015151444016244E-01 a        17     0     1     1    17
  1.1367231231940891E-01 a        18     0     1     1    18
  6.3237789524035881E-01 a        19     0     1     1    19
  4.3202539313430544E-02 a        20     0     1     1    20
 -1.0756622933544978E-01 a        21     0     2     1     1
  6.0690352962528327E-01 a        22     0     2     1     2
  1.0028226039840094E+00 a        23     0     2     1     3
  8.3735123564127456E-01 a        24     0     2     1     4
 -3.5727258777705179E-01 a        25     0     2     1     5
 -1.8616580100758270E-01 a        26     0     2     1     6
  4.4558965575947063E-01 a        27     0     2     1     7
 -2.0697831953847770E-01 a        28     0     2     1     8
  8.2027370735299954E-01 a        29     0     2     1     9
  5.1838856414352164E-01 a        30     0     2     1    10
  4.2174509984832370E-01 a        31     0     2     1    11
  5.2074280987640342E-01 a        32     0     2     1    12
 -4.7399475978139244E-01 a        33     0     2     1    13
 -8.3883961086637959E-01 a        34     0     2     1    14
  4.7811494379528774E-01 a        35     0     2     1    15
  5.1362770907304657E-02 a        36     0     2     1    16
  4.1477229379032238E-01 a        37     0     2     1    17
  5.3340068529056395E-01 a        38     0     2     1    18
  1.1979461781511250E-01 a        39     0     2     1    19
  2.3061120242994840E-01 a        40     0     2     1    20
  3.3933255159928200E-01 a        41     0     3     1     1
  4.6602995596290742E-01 a        42     0     3     1     2
 -2.2263638793721841E-01 a        43     0     3     1     3
 -2.3031074407740595E-01 a        44     0     3     1     4
 -5.2653117892348078E-01 a        45     0     3     1     5
  2.7119174217425163E-01 a        46     0     3     1     6
 -1.0106159904170691E+00 a        47     0     3     1     7
  4.3473375930407787E-01 a        48     0     3     1     8
 -4.7178446811413888E-01 a        49     0     3     1     9
  6.4888472628018279E-01 a        50     0     3     1    10
 -3.2513918042782813E-01 a        51     0     3     1    11
 -6.6478226913129645E-01 a        52     0     3     1    12
 -2.3762118387032727E-01 a        53     0     3     1    13
 -3.9178293601657435E-02 a        54     0     3     1    14
 -1.9130760951907390E-02 a        55     0     3     1    15
  2.8920361274782908E-01 a        56     0     3     1    16
  5.8817526799775000E-01 a        57     0     3     1    17
  1.3747334156251054E-01 a        58     0     3     1    18
  4.5697657921216717E-01 a        59     0     3     1    19
  9.8785963863154513E-01 a        60     0     3     1    20
 -9.5642040684793067E-02 a        61     0     4     1     1
  4.7388202075870206E-01 a        62     0     4     1     2
 -9.6357898962296060E-02 a        63     0     4     1     3
  6.2089271678443170E-01 a        64     0     4     1     4
 -1.2613388269072928E-01 a        65     0     4     1     5
 -1.7091613407127090E-01 a        66     0     4     1     6
 -6.8869443884597037E-02 a        67     0     4     1     7
 -2.5056240977315603E-01 a        68     0     4     1     8
  2.8514859475248414E-02 a        69     0     4     1     9
 -6.1505648635859200E-01 a        70     0     4     1    10
  3.4523875404222770E-01 a        71     0     4     1    11
  3.0026388656372399E-01 a        72     0     4     1    12
 -4.0193153171609258E-01 a        73     0     4     1    13
  2.7491881704265037E-01 a        74     0     4     1    14
  6.7599583465389179E-01 a        75     0     4     1    15
  1.7422645681282212E-01 a        76     0     4     1    16
  6.7540448527039720E-01 a        77     0     4     1    17
 -9.1381487852217558E-02 a        78     0     4     1    18
  4.9445963819270339E-01 a        79     0     4     1    19
 -1.0020297764139068E+00 a        80     0     4     1    20
  3.9678357829288613E-01 a        81     0     5     1     1
 -8.6215145384168013E-01 a        82     0     5     1     2
 -6.3589146981180189E-01 a        83     0     5     1     3
  3.7527498936354681E-01 a        84     0     5     1     4
 -3.2371207264912899E-01 a        85     0     5     1     5
  5.4165156585356744E-01 a        86     0     5     1     6
  4.0856729939196640E-01 a        87     0     5     1     7
 -6.3368237424204765E-01 a        88     0     5     1     8
 -1.0832308382755305E-01 a        89     0     5     1     9
  1.2218293011552375E-01 a        90     0     5     1    10
  5.6129079546445237E-01 a        91     0     5     1    11
 -7.2036157257848499E-01 a        92     0     5     1    12
  6.2865181949574045E-01 a        93     0     5     1    13
  3.9762051838673051E-01 a        94     0     5     1    14
 -3.8840770349962195E-01 a        95     0     5     1    15
  5.2915715354546144E-01 a        96     0     5     1    16
  5.4791168464494922E-01 a        97     0     5     1    17
 -2.5724831051299579E-01 a        98     0     5     1    18
 -6.6333804570606753E-02 a        99     0     5     1    19
 -1.9439861686142060E-01 a       100     0     5     1    20
  2.3802703660307653E-01 a       101     0     6     1     1
 -1.1296820067974772E-01 a       102     0     6     1     2
