################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -2.3277206263492156E-01 a         1     0     1     1     1
 -1.7817332392671889E-01 a         2     0     1     1     2
  5.3501588200200245E-01 a         3     0     1     1     3
 -4.4486819260403992E-01 a         4     0     1     1     4
  3.3674237884313707E-01 a         5     0     1     1     5
  7.2274534478737806E-01 a         6     0     1     1     6
 -1.2158385753575340E-01 a         7     0     1     1     7
  8.6353745242719007E-02 a         8     0     1     1     8
 -4.6998915275566905E-02 a         9     0     1     1     9
  4.5900030173051426E-01 a        10     0     1     1    10
  6.1593107500166511E-01 a        11     0     1     1    11
 -2.9482595506448628E-01 a        12     0     1     1    12
 -7.6821910203325405E-01 a        13     0     1     1    13
  4.6686122827703452E-01 a        14     0     1     1    14
 -1.1639223176111924E-01 a        15     0     1     1    15
  3.1027103416614954E-01 a        16     0     1     1    16
 -3.9057082805075055E-01 a        17     0     1     1    17
  4.2555608105222931E-01 a        18     0     1     1    18
  5.8676870258471125E-01 a        19     0     1     1    19
  1.5060026995552586E-01 a        20     0     1     1    20
  1.4329298195421905E-05 a        21     0     2     1     1
  4.0164455078641514E-01 a        22     0     2     1     2
  7.0343446526013742E-01 a        23     0     2     1     3
  7.6199607733748864E-01 a        24     0     2     1     4
 -4.2967753252933827E-01 a        25     0     2     1     5
  4.2115746086638553E-02 a        26     0     2     1     6
  1.8474650130076975E-01 a        27     0     2     1     7
 -5.4328573333083907E-01 a        28     0     2     1     8
  6.5487237956490163E-01 a        29     0     2     1     9
  4.8016783882020619E-01 a        30     0     2     1    10
  3.5763655659019999E-01 a        31     0     2     1    11
  4.7139362245330235E-01 a        32     0     2     1    12
 -3.9420062474381889E-01 a        33     0     2     1    13
 -7.8745647692488330E-01 a        34     0     2     1    14
  3.1099171801744008E-01 a        35     0     2     1    15
 -1.5021171467072476E-02 a        36     0     2     1    16
  6.4212753662913691E-01 a        37     0     2     1    17
  5.6287840495829777E-01 a        38     0     2     1    18
 -1.2373929986150076E-01 a        39     0     2     1    19
  8.5378438711071911E-02 a        40     0     2     1    20
  4.2100687485814686E-01 a        41     0     3     1     1
  4.4487554865438633E-01 a        42     0     3     1     2
 -2.4831204358634873E-01 a        43     0     3     1     3
 -3.9768139832686084E-01 a        44     0     3     1     4
 -4.0510248054421621E-01 a        45     0     3     1     5
  3.0195715434235143E-01 a        46     0     3     1     6
 -7.2569981210286705E-01 a        47     0     3     1     7
  2.5644412374990921E-01 a        48     0     3     1     8
 -2.0903081379158842E-01 a        49     0     3     1     9
  5.8063657840364014E-01 a        50     0     3     1    10
 -3.7123753260230774E-01 a        51     0     3     1    11
 -4.4057666048393507E-01 a        52     0     3     1    12
 -3.1253737992907432E-01 a        53     0     3     1    13
 -9.0295724873569891E-02 a        54     0     3     1    14
 -1.0174046028761808E-03 a        55     0     3     1    15
  1.9171876412546354E-01 a        56     0     3     1    16
  5.6633780357708197E-01 a        57     0     3     1    17
  2.6497294034181873E-01 a        58     0     3     1    18
  4.7736031105961435E-01 a        59     0     3     1    19
  8.3565239954158954E-01 a        60     0     3     1    20
  1.1684117686505731E-01 a        61     0     4     1     1
  4.5436838730870255E-01 a        62     0     4     1     2
 -1.4158472921275497E-01 a        63     0     4     1     3
  3.3090090328612076E-01 a        64     0     4     1     4
 -1.6319590871345244E-01 a        65     0     4     1     5
 -3.0057613788190257E-01 a        66     0     4     1     6
 -1.5021928199980733E-01 a        67     0     4     1     7
 -2.4225949219444159E-01 a        68     0     4     1     8
 -1.6033205216955945E-01 a        69     0     4     1     9
 -4.7856925673175110E-01 a        70     0     4     1    10
  4.6392380531691396E-01 a        71     0     4     1    11
  4.8914919788165845E-01 a        72     0     4     1    12
 -4.1644244989323453E-01 a        73     0     4     1    13
  2.0108739569844336E-01 a        74     0     4     1    14
  5.2575159918746417E-01 a        75     0     4     1    15
  5.9519522718626561E-01 a        76     0     4     1    16
  6.6548620736740227E-01 a        77     0     4     1    17
  1.5067719688895459E-01 a        78     0     4     1    18
  3.7674766362624129E-01 a        79     0     4     1    19
 -5.2659349058572791E-01 a        80     0     4     1    20
  2.8298766602698161E-01 a        81     0     5     1     1
 -8.4080909175150098E-01 a        82     0     5     1     2
 -6.0958082301904160E-01 a        83     0     5     1     3
  4.6355204733537286E-01 a        84     0     5     1     4
 -5.1347642432214613E-01 a        85     0     5     1     5
  5.8376356203208390E-01 a        86     0     5     1     6
  2.3054921771402667E-01 a        87     0     5     1     7
 -5.3293826743761785E-01 a        88     0     5     1     8
  1.8086464256056484E-01 a        89     0     5     1     9
  2.8329127404590709E-01 a        90     0     5     1    10
  3.8933487226883623E-01 a        91     0     5     1    11
 -6.1243522354296898E-01 a        92     0     5     1    12
  4.8384307396968262E-01 a        93     0     5     1    13
  2.1172281185760608E-01 a        94     0     5     1    14
 -3.1876422258777481E-01 a        95     0     5     1    15
  4.1329568628765700E-01 a        96     0     5     1    16
  4.3657623510256621E-01 a        97     0     5     1    17
 -4.8997177941540559E-01 a        98     0     5     1    18
 -2.1124964789398332E-01 a        99     0     5     1    19
 -5.4438637924907093E-02 a       100     0     5     1    20
  1.5858627936004205E-01 a       101     0     6     1     1
 -1.8166600455067258E-01 a       102     0     6     1     2
  6.5560010668112678E-01 a       103     0     6     1     3
 -1.0614064906268372E-01 a       104     0     6     1     4
  6.1124647670350984E-01 a       105     0     6     1     5
  4.9341074856314993E-01 a       106     0     6     1     6
  4.3761519914235575E-01 a       107     0     6     1     7
  7.0656630016687080E-02 a       108     0     6     1     8
  5.8889518664913509E-01 a       109     0     6     1     9
 -1.1681125353836487E-01 a       110     0     6     1    10
  7.5828447244870401E-01 a       111     0     6     1    11
 -1.1611332531172248E-01 a       112     0     6     1    12
 -1.7760195187136249E-01 a       113     0     6     1    13
 -2.8284708899478289E-01 a       114     0     6     1    14
 -1.1042074024305634E-01 a       115     0     6     1    15
 -3.8126395326263685E-01 a       116     0     6     1    16
