################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  4.8287094287426802E-01 a         1     0     1     1     1
 -8.3540666461185256E-02 a         2     0     1     1     2
  2.8140522810889079E-01 a         3     0     1     1     3
  5.9163776270389623E-01 a         4     0     1     1     4
 -6.1086963045837994E-01 a         5     0     1     1     5
 -2.1826266641303254E-02 a         6     0     1     1     6
  6.4492159972028262E-01 a         7     0     1     1     7
  3.6288107007867387E-01 a         8     0     1     1     8
  3.0295138849029024E-01 a         9     0     1     1     9
  4.7326017193481157E-01 a        10     0     1     1    10
 -1.7688544936293066E-01 a        11     0     1     1    11
 -4.8686666125904382E-01 a        12     0     1     1    12
  4.5268887198512037E-01 a        13     0     1     1    13
 -8.0649773237720856E-01 a        14     0     1     1    14
 -4.9777467756260968E-01 a        15     0     1     1    15
 -6.3029304872128344E-01 a        16     0     1     1    16
 -3.6679166709059757E-01 a        17     0     1     1    17
 -7.0654260137709091E-02 a        18     0     1     1    18
 -5.4325656399402067E-01 a        19     0     1     1    19
 -3.7344803264230855E-02 a        20     0     1     1    20
  4.2097954975785412E-01 a        21     0     2     1     1
 -6.9929245752709965E-02 a        22     0     2     1     2
  6.5013025595926532E-01 a        23     0     2     1     3
 -5.9246502036265247E-01 a        24     0     2     1     4
  5.6377521161303201E-01 a        25     0     2     1     5
  1.5763939673147437E-01 a        26     0     2     1     6
 -3.7119444273052438E-01 a        27     0     2     1     7
  1.9293355674649035E-01 a        28     0     2     1     8
 -5.6709702444563370E-01 a        29     0     2     1     9
 -2.6614756958616598E-01 a        30     0     2     1    10
  6.0991774085366179E-01 a        31     0     2     1    11
  2.0350726125776600E-01 a        32     0     2     1    12
  2.5773141238680525E-01 a        33     0     2     1    13
