################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  4.7608171289558038E-01 a         1     0     1     1     1
 -1.8391303864433696E-02 a         2     0     1     1     2
  2.7718752723074608E-01 a         3     0     1     1     3
  7.0330993827987554E-01 a         4     0     1     1     4
 -7.0488290947692667E-01 a         5     0     1     1     5
 -1.6631206411558505E-01 a         6     0     1     1     6
  6.3801991795686464E-01 a         7     0     1     1     7
  3.2556091941222182E-01 a         8     0     1     1     8
  2.9828726811333206E-01 a         9     0     1     1     9
  5.1570040912053505E-01 a        10     0     1     1    10
 -1.5953779561028600E-01 a        11     0     1     1    11
 -4.1065270090513778E-01 a        12     0     1     1    12
  5.1539051443107986E-01 a        13     0     1     1    13
 -7.9460867108117539E-01 a        14     0     1     1    14
 -5.0742044081418580E-01 a        15     0     1     1    15
 -7.3216039738083483E-01 a        16     0     1     1    16
 -2.3636161540668160E-01 a        17     0     1     1    17
 -1.6276359219201699E-02 a        18     0     1     1    18
 -5.7123898953006236E-01 a        19     0     1     1    19
 -1.4391668702392144E-02 a        20     0     1     1    20
  4.9425710467390821E-01 a        21     0     2     1     1
 -4.0474306826584129E-02 a        22     0     2     1     2
  7.8037083179270783E-01 a        23     0     2     1     3
 -6.4331399215287544E-01 a        24     0     2     1     4
  5.8747265573799590E-01 a        25     0     2     1     5
  1.7176458718573817E-01 a        26     0     2     1     6
 -3.4552660324541956E-01 a        27     0     2     1     7
  1.4983600357738719E-01 a        28     0     2     1     8
 -6.5620882638807920E-01 a        29     0     2     1     9
 -1.7715770547620757E-01 a        30     0     2     1    10
  6.5567092877049515E-01 a        31     0     2     1    11
  1.7576686258928756E-01 a        32     0     2     1    12
  2.6832891885238785E-01 a        33     0     2     1    13
  4.3265367350325573E-01 a        34     0     2     1    14
 -7.5630991408599427E-02 a        35     0     2     1    15
  3.9955715822775895E-01 a        36     0     2     1    16
  1.9023902178434024E-01 a        37     0     2     1    17
  7.3563067519945502E-01 a        38     0     2     1    18
  6.3218980456947782E-01 a        39     0     2     1    19
  1.7554940447411327E-01 a        40     0     2     1    20
 -2.0186857257192872E-01 a        41     0     3     1     1
 -7.7138408978204620E-01 a        42     0     3     1     2
 -4.6435789389826371E-01 a        43     0     3     1     3
  4.9435426264204019E-01 a        44     0     3     1     4
 -1.6115552578278713E-01 a        45     0     3     1     5
  1.3342510163585197E-01 a        46     0     3     1     6
 -6.4837447197154019E-01 a        47     0     3     1     7
 -3.6618597737924852E-01 a        48     0     3     1     8
  6.9052674505244127E-01 a        49     0     3     1     9
 -5.8146241951206457E-01 a        50     0     3     1    10
  1.1602538340648116E-01 a        51     0     3     1    11
 -2.0825095099472533E-02 a        52     0     3     1    12
 -7.8523033311997895E-03 a        53     0     3     1    13
 -7.5794253744720463E-01 a        54     0     3     1    14
 -2.7709221111495402E-01 a        55     0     3     1    15
 -2.0574899404833663E-01 a        56     0     3     1    16
  1.5822866736923485E-02 a        57     0     3     1    17
 -1.8836055049370778E-01 a        58     0     3     1    18
 -3.9580077303580197E-01 a        59     0     3     1    19
  3.5195878525779578E-01 a        60     0     3     1    20
 -1.9471264633942792E-01 a        61     0     4     1     1
  9.2977305857364401E-01 a        62     0     4     1     2
 -2.7320948514303717E-01 a        63     0     4     1     3
  3.1825620424052481E-01 a        64     0     4     1     4
  4.8501843556549645E-01 a        65     0     4     1     5
  3.3385379730949738E-02 a        66     0     4     1     6
  9.4982454856685627E-01 a        67     0     4     1     7
  4.5360416478618037E-01 a        68     0     4     1     8
  4.2160960476482373E-01 a        69     0     4     1     9
  6.5406904168239044E-01 a        70     0     4     1    10
 -1.0442959736364311E-01 a        71     0     4     1    11
  3.0109921016324243E-01 a        72     0     4     1    12
  5.3098888326746707E-01 a        73     0     4     1    13
  2.2029594691348495E-01 a        74     0     4     1    14
  3.2513741230743060E-01 a        75     0     4     1    15
  4.2257494632375006E-02 a        76     0     4     1    16
 -5.0595588923204271E-01 a        77     0     4     1    17
 -1.3282151588645744E-01 a        78     0     4     1    18
 -1.3733697020078137E-01 a        79     0     4     1    19
  8.3713662310175713E-02 a        80     0     4     1    20
 -2.6577421013975167E-01 a        81     0     5     1     1
  5.2895689049625563E-02 a        82     0     5     1     2
  3.3530360305576677E-02 a        83     0     5     1     3
  4.9908027050280544E-02 a        84     0     5     1     4
 -2.7915982671339878E-01 a        85     0     5     1     5
  2.9480380584296105E-02 a        86     0     5     1     6
 -7.3462385634811403E-02 a        87     0     5     1     7
  5.2493299270037286E-01 a        88     0     5     1     8
  1.1902552374276833E-01 a        89     0     5     1     9
 -3.7646728996132844E-01 a        90     0     5     1    10
  1.7524494102494334E-01 a        91     0     5     1    11
 -3.2542180828994205E-01 a        92     0     5     1    12
 -3.2358519909174988E-01 a        93     0     5     1    13
  1.3282442425830746E-01 a        94     0     5     1    14
 -5.4447538241122273E-01 a        95     0     5     1    15
  9.2993219230253724E-03 a        96     0     5     1    16
 -6.9700157740177959E-02 a        97     0     5     1    17
  3.9713786658506645E-01 a        98     0     5     1    18
 -6.9782580106743208E-01 a        99     0     5     1    19
 -2.3267362610189493E-01 a       100     0     5     1    20
  5.4706308988169361E-01 a       101     0     6     1     1
 -9.0602920469281245E-01 a       102     0     6     1     2
 -1.0029908233412617E+00 a       103     0     6     1     3
 -8.8456424739377856E-02 a       104     0     6     1     4
 -5.5834400538609952E-01 a       105     0     6     1     5
  1.0453692054481230E-01 a       106     0     6     1     6
 -4.8029785842029583E-02 a       107     0     6     1     7
  1.0229620961167034E-01 a       108     0     6     1     8
 -8.7867807658275032E-01 a       109     0     6     1     9
  1.3206450589411678E-01 a       110     0     6     1    10
  7.7183161737455774E-01 a       111     0     6     1    11
  7.4288190297076756E-02 a       112     0     6     1    12
 -1.2795117609415227E-01 a       113     0     6     1    13
 -2.7966575923990528E-01 a       114     0     6     1    14
  1.5543436487621876E-01 a       115     0     6     1    15
  6.1141664860977274E-01 a       116     0     6     1    16
 -2.8832273598704394E-01 a       117     0     6     1    17
  8.8203545976199438E-01 a       118     0     6     1    18
 -5.2911287595916656E-01 a       119     0     6     1    19
  4.0017994142567154E-01 a       120     0     6     1    20
  4.6873799140726161E-02 a       121     0     7     1     1
 -2.1709137062374767E-01 a       122     0     7     1     2
  5.8573782773243410E-01 a       123     0     7     1     3
