################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -6.0700638524614783E-02 a         1     0     1     1     1
 -2.5979441499960182E-01 a         2     0     1     1     2
  4.7033375460688798E-01 a         3     0     1     1     3
 -4.2538683163530056E-01 a         4     0     1     1     4
  4.3813170638361332E-01 a         5     0     1     1     5
  6.0251681168911264E-01 a         6     0     1     1     6
 -2.5480625752332120E-01 a         7     0     1     1     7
 -5.2379263548034863E-02 a         8     0     1     1     8
 -5.8060844183634448E-02 a         9     0     1     1     9
  2.5434595921869740E-01 a        10     0     1     1    10
  6.1285617450695051E-01 a        11     0     1     1    11
 -4.1213869703738798E-01 a        12     0     1     1    12
 -7.6308852839170238E-01 a        13     0     1     1    13
  5.3467125340092836E-01 a        14     0     1     1    14
 -1.2745454534926656E-01 a        15     0     1     1    15
  4.6162362423170583E-01 a        16     0     1     1    16
 -4.0052772184092278E-01 a        17     0     1     1    17
  3.0882993371180090E-01 a        18     0     1     1    18
  6.1189002126683290E-01 a        19     0     1     1    19
  1.2317970316283633E-01 a        20     0     1     1    20
  1.8085655549300234E-01 a        21     0     2     1     1
  5.4242211073613689E-01 a        22     0     2     1     2
  6.5477273278017967E-01 a        23     0     2     1     3
  7.9179059564647558E-01 a        24     0     2     1     4
 -4.1262840283610119E-01 a        25     0     2     1     5
  3.5707391056066157E-02 a        26     0     2     1     6
  1.3816291913573833E-01 a        27     0     2     1     7
 -6.0580310100800394E-01 a        28     0     2     1     8
  5.0998017221143588E-01 a        29     0     2     1     9
  5.5623486744428163E-01 a        30     0     2     1    10
  6.1828151553811084E-01 a        31     0     2     1    11
  6.1043601641637124E-01 a        32     0     2     1    12
 -2.7251671350538248E-01 a        33     0     2     1    13
 -5.8961472028085771E-01 a        34     0     2     1    14
  9.5506457572278047E-02 a        35     0     2     1    15
 -2.1982679504491559E-01 a        36     0     2     1    16
  4.6455486123395834E-01 a        37     0     2     1    17
  4.3873132412725441E-01 a        38     0     2     1    18
 -5.7038404328610279E-02 a        39     0     2     1    19
  9.1687584747928291E-02 a        40     0     2     1    20
  4.4551898168339871E-01 a        41     0     3     1     1
  4.7261370531969960E-01 a        42     0     3     1     2
 -2.5454338542794203E-01 a        43     0     3     1     3
 -2.3435340070654911E-01 a        44     0     3     1     4
 -2.7268027273106193E-01 a        45     0     3     1     5
  3.6472537061988825E-01 a        46     0     3     1     6
 -5.9536591235393888E-01 a        47     0     3     1     7
  9.1087500207445590E-02 a        48     0     3     1     8
 -2.1432507613102883E-01 a        49     0     3     1     9
  6.4357317956732973E-01 a        50     0     3     1    10
 -4.0430293509713744E-01 a        51     0     3     1    11
 -4.4270708768975181E-01 a        52     0     3     1    12
 -3.0660422658842973E-01 a        53     0     3     1    13
 -1.8853093791927891E-01 a        54     0     3     1    14
  5.3616559818591841E-02 a        55     0     3     1    15
  1.3101539683815341E-01 a        56     0     3     1    16
  4.7244892253483611E-01 a        57     0     3     1    17
  3.7706746154064180E-01 a        58     0     3     1    18
  4.7747691222347743E-01 a        59     0     3     1    19
  6.3821248579146528E-01 a        60     0     3     1    20
  1.9137000586619138E-01 a        61     0     4     1     1
  4.5311506856766359E-01 a        62     0     4     1     2
 -2.2515756340479498E-01 a        63     0     4     1     3
  3.9158904966791597E-01 a        64     0     4     1     4
  6.6582005492190927E-02 a        65     0     4     1     5
 -2.2228807144186258E-01 a        66     0     4     1     6
 -1.7752647126795709E-01 a        67     0     4     1     7
 -2.8055521435654129E-01 a        68     0     4     1     8
 -1.2053640538929954E-01 a        69     0     4     1     9
 -5.0269585893091628E-01 a        70     0     4     1    10
  3.7674325550834953E-01 a        71     0     4     1    11
  4.0535744170306376E-01 a        72     0     4     1    12
 -3.4387842531067886E-01 a        73     0     4     1    13
  6.2921095626377294E-02 a        74     0     4     1    14
  6.5480170710601882E-01 a        75     0     4     1    15
  7.0460903605600123E-01 a        76     0     4     1    16
  5.4860320481776725E-01 a        77     0     4     1    17
  4.9068666657148263E-02 a        78     0     4     1    18
  3.8073410469732122E-01 a        79     0     4     1    19
 -6.7406243886135575E-01 a        80     0     4     1    20
  2.8271351570063452E-01 a        81     0     5     1     1
 -7.8060615196450978E-01 a        82     0     5     1     2
 -5.9429308230677880E-01 a        83     0     5     1     3
  4.5446877572533317E-01 a        84     0     5     1     4
 -5.4904352843526516E-01 a        85     0     5     1     5
  7.6003216529256001E-01 a        86     0     5     1     6
  2.7042606757977083E-01 a        87     0     5     1     7
 -2.8786762393439219E-01 a        88     0     5     1     8
  2.4569767103039858E-01 a        89     0     5     1     9
  4.1023400419787176E-01 a        90     0     5     1    10
  3.5926791209986297E-01 a        91     0     5     1    11
 -5.6800188823899345E-01 a        92     0     5     1    12
  5.6028453570388548E-01 a        93     0     5     1    13
  9.4300081184566398E-02 a        94     0     5     1    14
 -1.8767504979184707E-01 a        95     0     5     1    15
  3.4205415954123691E-01 a        96     0     5     1    16
  4.2032512854624077E-01 a        97     0     5     1    17
 -6.8791862648339308E-01 a        98     0     5     1    18
 -5.2014125336295547E-01 a        99     0     5     1    19
 -1.1892813787858844E-01 a       100     0     5     1    20
  8.7425982054171764E-02 a       101     0     6     1     1
 -7.6914415991819099E-02 a       102     0     6     1     2
  7.4590087980990505E-01 a       103     0     6     1     3
 -4.5815476713307622E-02 a       104     0     6     1     4
  5.0340105654736367E-01 a       105     0     6     1     5
  5.9399763699917874E-01 a       106     0     6     1     6
  6.0356545949879836E-01 a       107     0     6     1     7
  1.0980500464858198E-01 a       108     0     6     1     8
  5.5998732763786963E-01 a       109     0     6     1     9
  3.1099637098148138E-02 a       110     0     6     1    10
  6.7551817871085384E-01 a       111     0     6     1    11
  2.1884939961412518E-02 a       112     0     6     1    12
 -2.7719040614245466E-01 a       113     0     6     1    13
 -3.0312361617393785E-01 a       114     0     6     1    14
