################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   3.6922240183932642E-02   2.8442876174161835E+00   1.6351016218867958E+00   6.9860071050913253E-01
         1          2   4.0554341220319839E-01   2.5333700821170764E+00   2.1370533806491099E+00   4.0319476074781357E-01
         1          3   7.6977893334520364E-01   3.7568379087260784E+00   1.8142433919926226E+00   6.0794941264221869E-01
         1          4   1.3803221539126782E+00   5.7035195595085639E+00   2.7596304810416958E+00   8.1967087930964222E-01
         1          5   3.7844680483055826E+00   6.3999211824673417E+00   5.3028998763733606E+00   4.3390940959175422E-01
         1          6   3.6696240975710839E+00   7.7753794019567817E+00   6.1478154918644439E+00   8.7639136928794803E-01
         1          7   2.5306303798137946E+00   4.5051416133192994E+00   3.9646777146541603E+00   3.7333919105788410E-01
         1          8   1.4629086207272592E+00   2.1816219752996702E+00   1.6808012688153031E+00   1.1372275742253256E-01
         1          9   4.4366795948543652E-01   8.5812875872320582E-01   5.9108289948940540E-01   7.2071112417493879E-02
         1         10   1.2442866227944663E-01   2.2258568286281799E-01   1.6323733231175899E-01   1.5670842558145291E-02
         1         11   3.6940513070082726E-01   2.4458100695679637E+00   1.2100219400958836E+00   3.5433309420892684E-01
         1         12   1.3800863906147212E+00   4.2318465946056687E+00   2.9443801007954904E+00   5.7007698641031657E-01
         1         13   4.6284055096031611E-02   1.0698400414392197E+00   3.2789737402973096E-01   1.4802041081259265E-01
         1         14   8.2742258425631521E-01   3.0028921842938301E+00   1.8046563094058519E+00   4.0569798595849405E-01
