################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   8.5178565187342556E-02   2.8442876174161835E+00   1.9845237235790847E+00   5.6210090884282926E-01
         1          2   6.8594571632058221E-01   2.5176797262672150E+00   2.2711481804108105E+00   2.7035028660048716E-01
         1          3   7.6977893334520364E-01   3.6025117484410485E+00   1.5151162005435999E+00   4.7646267859980462E-01
         1          4   1.4970456551142091E+00   4.8377069326084960E+00   2.4271570202558417E+00   5.9026908246486587E-01
         1          5   3.7844680483055826E+00   6.3999211824673417E+00   5.4598784874420350E+00   4.4807071578451546E-01
         1          6   3.9716670917699295E+00   7.7753794019567817E+00   6.5964877261634625E+00   7.3552982251698706E-01
         1          7   2.7697595644522215E+00   4.4847171563073545E+00   4.1128071466440428E+00   2.7518962002326619E-01
         1          8   1.4629086207272592E+00   2.1459004820614442E+00   1.6349084851295355E+00   9.7129057800124194E-02
         1          9   4.6303511082214494E-01   7.8486322791574170E-01   5.6466963512426305E-01   5.0977358215704857E-02
         1         10   1.2600847254896252E-01   2.0017647663119817E-01   1.6039348326362698E-01   1.2572627518399361E-02
         1         11   4.2864984208798734E-01   2.3211803065379049E+00   1.3291749804729993E+00   3.3530479541293862E-01
         1         12   1.4374752602154088E+00   4.2318465946056687E+00   3.2297756454573578E+00   5.1190596106816033E-01
         1         13   6.4349552154852982E-02   1.0210534095008315E+00   3.5430578645536914E-01   1.4054947129863354E-01
         1         14   8.8132813428045897E-01   2.9901348905795180E+00   1.9659367921803679E+00   3.7019549090024290E-01
