################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  3.8240010788545870E-01 a         1     0     1     1     1
  3.5201663129970118E-01 a         2     0     1     1     2
 -7.5792488334734864E-01 a         3     0     1     1     3
 -3.9692118725714087E-01 a         4     0     1     1     4
 -4.5436749422016925E-01 a         5     0     1     1     5
 -1.8455296653655934E-01 a         6     0     1     1     6
 -2.5717173965142881E-01 a         7     0     1     1     7
  1.4619194052577672E-01 a         8     0     1     1     8
  4.6312461053631371E-01 a         9     0     1     1     9
  1.0365678904335007E+00 a        10     0     1     1    10
 -5.0197639150939444E-01 a        11     0     1     1    11
 -3.7645912107375834E-01 a        12     0     1     1    12
 -4.2147012863065086E-01 a        13     0     1     1    13
 -1.2925558961162970E-01 a        14     0     1     1    14
 -1.3804827440523931E-01 a        15     0     1     1    15
  2.8077330241363752E-01 a        16     0     1     1    16
 -6.2982426800212421E-01 a        17     0     1     1    17
 -6.4774905045713993E-01 a        18     0     1     1    18
  1.2887579478518049E-01 a        19     0     1     1    19
  4.8796207951843734E-01 a        20     0     1     1    20
 -1.5031136225756497E-01 a        21     0     2     1     1
 -2.1791920031318615E-01 a        22     0     2     1     2
 -3.6158236214101647E-01 a        23     0     2     1     3
  1.2257012623856665E-01 a        24     0     2     1     4
 -4.2663264518544680E-01 a        25     0     2     1     5
  3.8090597917296748E-01 a        26     0     2     1     6
  1.5610141791691537E-01 a        27     0     2     1     7
 -6.7212210839998388E-01 a        28     0     2     1     8
 -2.8665449051757214E-01 a        29     0     2     1     9
  5.3318717480483679E-01 a        30     0     2     1    10
 -8.6816330895153715E-01 a        31     0     2     1    11
  6.3720381130756754E-01 a        32     0     2     1    12
  6.6291616835573219E-02 a        33     0     2     1    13
  5.5435320606314764E-01 a        34     0     2     1    14
  9.5478587356946046E-02 a        35     0     2     1    15
 -5.3409658496446577E-01 a        36     0     2     1    16
  2.5156722233824030E-01 a        37     0     2     1    17
  2.6278403192918459E-01 a        38     0     2     1    18
 -4.2945338186870430E-01 a        39     0     2     1    19
 -3.2025377139438571E-01 a        40     0     2     1    20
 -1.6267715068544253E-01 a        41     0     3     1     1
 -5.1777651229753208E-01 a        42     0     3     1     2
  4.3834277606308292E-01 a        43     0     3     1     3
  3.0589888311767216E-01 a        44     0     3     1     4
 -5.3698164517323906E-02 a        45     0     3     1     5
 -5.1794393102206426E-01 a        46     0     3     1     6
 -2.2756677978855946E-01 a        47     0     3     1     7
  4.9812515980398658E-01 a        48     0     3     1     8
  6.5586511538286416E-02 a        49     0     3     1     9
 -2.6228502900734341E-01 a        50     0     3     1    10
  6.4352789974166047E-01 a        51     0     3     1    11
 -6.1087958496155215E-01 a        52     0     3     1    12
 -7.7093780105673068E-02 a        53     0     3     1    13
 -3.5554050929007713E-01 a        54     0     3     1    14
  9.5189892322759151E-01 a        55     0     3     1    15
  6.0474276461610209E-02 a        56     0     3     1    16
  8.2070365045011118E-01 a        57     0     3     1    17
 -4.4290363189158027E-01 a        58     0     3     1    18
  5.7669145514028886E-01 a        59     0     3     1    19
 -1.0420405172672184E-01 a        60     0     3     1    20
 -2.3883527249639422E-01 a        61     0     4     1     1
  1.9420328509031581E-01 a        62     0     4     1     2
  1.4947630508624674E-01 a        63     0     4     1     3
  1.5505428868902296E-01 a        64     0     4     1     4
  2.8115345531765962E-01 a        65     0     4     1     5
 -1.5387648210786967E-01 a        66     0     4     1     6
 -5.8166727803596607E-01 a        67     0     4     1     7
  2.7873141505764099E-01 a        68     0     4     1     8
 -3.2311179904201182E-01 a        69     0     4     1     9
  5.8663753560737120E-01 a        70     0     4     1    10
 -5.7197108219073045E-01 a        71     0     4     1    11
  4.7584484771135568E-02 a        72     0     4     1    12
 -2.3024232820949295E-01 a        73     0     4     1    13
 -2.9189786895111574E-02 a        74     0     4     1    14
  1.4504264859996055E-01 a        75     0     4     1    15
  3.0631863322431896E-01 a        76     0     4     1    16
 -4.0091042520840836E-01 a        77     0     4     1    17
 -3.0942714961954922E-02 a        78     0     4     1    18
  2.0455794931752108E-01 a        79     0     4     1    19
 -1.7335446786303918E-01 a        80     0     4     1    20
 -1.2155002675642959E-01 a        81     0     5     1     1
  8.7164148985886591E-01 a        82     0     5     1     2
 -2.7751163651303157E-01 a        83     0     5     1     3
 -6.4265142067501035E-01 a        84     0     5     1     4
 -7.0757748818825783E-01 a        85     0     5     1     5
  3.3853961422809359E-01 a        86     0     5     1     6
  1.4444455047666424E-01 a        87     0     5     1     7
 -3.2784075268326807E-01 a        88     0     5     1     8
  8.1316745824728115E-02 a        89     0     5     1     9
  5.0688507911270131E-01 a        90     0     5     1    10
  9.1913849519875002E-01 a        91     0     5     1    11
 -6.8036528730130219E-02 a        92     0     5     1    12
  1.8989127753162424E-01 a        93     0     5     1    13
  9.3275504426883871E-01 a        94     0     5     1    14
 -2.2262886377365282E-01 a        95     0     5     1    15
 -1.7101988815278832E-01 a        96     0     5     1    16
 -8.0810461758411911E-01 a        97     0     5     1    17
 -5.7643315491440861E-01 a        98     0     5     1    18
  9.5031564155652171E-01 a        99     0     5     1    19
 -3.2303347523121062E-01 a       100     0     5     1    20
  2.8028349792906021E-01 a       101     0     6     1     1
 -4.6912311316475402E-01 a       102     0     6     1     2
  4.5973099294313813E-02 a       103     0     6     1     3
 -2.8271804403252704E-01 a       104     0     6     1     4
 -4.2534498668842941E-01 a       105     0     6     1     5
 -2.9034243486191436E-01 a       106     0     6     1     6
  4.3226285705675960E-01 a       107     0     6     1     7
  1.0518255836288286E+00 a       108     0     6     1     8
 -3.7066672037648368E-01 a       109     0     6     1     9
 -7.8466404713731952E-01 a       110     0     6     1    10
  1.0810572495990327E+00 a       111     0     6     1    11
  7.7531631545953572E-01 a       112     0     6     1    12
  4.3813718842332561E-01 a       113     0     6     1    13
 -3.0261976164167826E-03 a       114     0     6     1    14
  3.3074138175981832E-01 a       115     0     6     1    15
 -4.0398820677594000E-01 a       116     0     6     1    16
  8.4185939170225843E-01 a       117     0     6     1    17
 -7.8773793506431733E-01 a       118     0     6     1    18
  1.5871799680370027E-01 a       119     0     6     1    19
 -1.6844391850618104E-01 a       120     0     6     1    20
 -4.7038293100832829E-01 a       121     0     7     1     1
  6.4081220214426449E-01 a       122     0     7     1     2
  1.2040107182494213E+00 a       123     0     7     1     3
 -9.4264028170790423E-02 a       124     0     7     1     4
  5.3402247581932394E-01 a       125     0     7     1     5
  5.7236153055802974E-01 a       126     0     7     1     6
 -1.1940596204744332E-01 a       127     0     7     1     7
  1.0763390090895779E-01 a       128     0     7     1     8
 -7.2299126981559236E-01 a       129     0     7     1     9
 -2.4676753842537730E-01 a       130     0     7     1    10
 -3.7881781371234419E-01 a       131     0     7     1    11
 -3.6088240862770772E-02 a       132     0     7     1    12
 -1.8299479947676642E-01 a       133     0     7     1    13
  5.4013425055220377E-01 a       134     0     7     1    14
 -8.7464750086813620E-02 a       135     0     7     1    15
  3.3334953912503951E-01 a       136     0     7     1    16
 -2.7234256151484543E-01 a       137     0     7     1    17
 -2.4163516177960156E-01 a       138     0     7     1    18
  8.5442221654687267E-01 a       139     0     7     1    19
 -6.7470412704229488E-01 a       140     0     7     1    20
  7.0670418371077837E-01 a       141     0     8     1     1
  3.4835216920898686E-02 a       142     0     8     1     2
 -5.7889938534730800E-01 a       143     0     8     1     3
  4.5450847335714717E-01 a       144     0     8     1     4
  2.3262757555296246E-01 a       145     0     8     1     5
 -6.5562818625821040E-01 a       146     0     8     1     6
  8.5020237706102186E-01 a       147     0     8     1     7
 -8.3734994508043259E-01 a       148     0     8     1     8
 -1.8265278089194167E-01 a       149     0     8     1     9
  3.6180917185866068E-01 a       150     0     8     1    10
  1.9847254262324476E-01 a       151     0     8     1    11
 -5.7863180855733765E-01 a       152     0     8     1    12
 -2.0189496576321464E-01 a       153     0     8     1    13
 -6.8132351078821013E-02 a       154     0     8     1    14
  5.8421281242037382E-01 a       155     0     8     1    15
  6.7604083105766977E-01 a       156     0     8     1    16
 -4.0259760546568607E-01 a       157     0     8     1    17
 -7.6876861596538137E-01 a       158     0     8     1    18
 -3.2488875133612644E-01 a       159     0     8     1    19
  4.5838930066512205E-02 a       160     0     8     1    20
  3.6052691574277074E-01 a       161     0     9     1     1
 -8.3672830927278996E-01 a       162     0     9     1     2
  6.3888492308244971E-01 a       163     0     9     1     3
 -2.9113382191388004E-01 a       164     0     9     1     4
  5.5376152219019270E-01 a       165     0     9     1     5
  3.5538723336002459E-01 a       166     0     9     1     6
 -1.3989491475014884E-01 a       167     0     9     1     7
  1.6693780149840240E-01 a       168     0     9     1     8
 -6.7799676303088668E-02 a       169     0     9     1     9
  4.6966748814684650E-01 a       170     0     9     1    10
  2.1568441483481807E-01 a       171     0     9     1    11
  4.1403966462537856E-01 a       172     0     9     1    12
 -2.8802724300951437E-04 a       173     0     9     1    13
 -3.7918823064521062E-01 a       174     0     9     1    14
 -2.4770883872278299E-01 a       175     0     9     1    15
 -1.6600310756217852E-02 a       176     0     9     1    16
  7.9247908596903824E-02 a       177     0     9     1    17
 -2.7109289875897091E-01 a       178     0     9     1    18
 -3.5079483510562004E-01 a       179     0     9     1    19
 -2.2986772450525994E-01 a       180     0     9     1    20
  4.5982131277413835E-01 a       181     0    10     1     1
  1.8318885454733494E-01 a       182     0    10     1     2
  4.2013326821279673E-02 a       183     0    10     1     3
  1.2985948753133073E-01 a       184     0    10     1     4
 -2.0079069911917086E-01 a       185     0    10     1     5
 -4.8012585853564171E-01 a       186     0    10     1     6
  5.3916610861438230E-01 a       187     0    10     1     7
  7.2071865240674360E-01 a       188     0    10     1     8
 -2.4417677037706911E-01 a       189     0    10     1     9
 -2.3976356972800450E-01 a       190     0    10     1    10
  7.3930622691577341E-01 a       191     0    10     1    11
  5.1712671569124247E-01 a       192     0    10     1    12
 -4.3673369530301909E-01 a       193     0    10     1    13
  2.8886692998458402E-01 a       194     0    10     1    14
 -3.5049756084643913E-01 a       195     0    10     1    15
  3.1247400378063017E-01 a       196     0    10     1    16
 -6.6510346521006666E-02 a       197     0    10     1    17
 -1.3161223983249695E-01 a       198     0    10     1    18
  5.9783904695738710E-01 a       199     0    10     1    19
  8.0383295390461229E-01 a       200     0    10     1    20
 -4.5770764283710946E-01 a       201     0    11     1     1
 -3.8345234004698692E-01 a       202     0    11     1     2
  8.2585238719503712E-02 a       203     0    11     1     3
 -7.4198330349372255E-01 a       204     0    11     1     4
 -5.6431482080453593E-02 a       205     0    11     1     5
  1.9841468341189700E-01 a       206     0    11     1     6
  6.3906715526653546E-01 a       207     0    11     1     7
 -1.4721153098460804E-01 a       208     0    11     1     8
 -8.0071510948528413E-01 a       209     0    11     1     9
  3.2455353414584598E-01 a       210     0    11     1    10
 -8.3735304662837268E-02 a       211     0    11     1    11
  2.2587482087929855E-01 a       212     0    11     1    12
  6.8315886818606364E-01 a       213     0    11     1    13
 -5.6399437627165309E-02 a       214     0    11     1    14
  1.8735194668244909E-01 a       215     0    11     1    15
 -2.3591244697229505E-01 a       216     0    11     1    16
  5.4839975555489189E-02 a       217     0    11     1    17
 -5.7757557173809093E-01 a       218     0    11     1    18
  3.3791519498564510E-01 a       219     0    11     1    19
  6.1905412856970021E-01 a       220     0    11     1    20
 -8.2300126006531416E-02 a       221     0    12     1     1
  9.1418539274173150E-01 a       222     0    12     1     2
  7.2642484314037647E-01 a       223     0    12     1     3
 -2.3866811286627737E-01 a       224     0    12     1     4
 -7.3183983872220715E-01 a       225     0    12     1     5
  4.9649561210751475E-01 a       226     0    12     1     6
 -3.6503641101185258E-01 a       227     0    12     1     7
 -7.9036761392546909E-02 a       228     0    12     1     8
  5.2049906564239601E-01 a       229     0    12     1     9
  4.6125419871020595E-01 a       230     0    12     1    10
  3.0400105043100506E-01 a       231     0    12     1    11
  5.8342078692493771E-01 a       232     0    12     1    12
  3.2693808632498250E-01 a       233     0    12     1    13
  5.9668913761277331E-01 a       234     0    12     1    14
 -4.1266929122911383E-01 a       235     0    12     1    15
  4.2329981651898063E-01 a       236     0    12     1    16
 -5.7032382874096843E-01 a       237     0    12     1    17
 -3.8950169171313059E-01 a       238     0    12     1    18
 -9.8287805162235883E-02 a       239     0    12     1    19
 -2.2213730963173789E-01 a       240     0    12     1    20
 -3.2021188959326541E-01 a       241     0    13     1     1
 -1.9003022490896923E-01 a       242     0    13     1     2
 -8.1765053067883384E-02 a       243     0    13     1     3
  3.9880252203741695E-01 a       244     0    13     1     4
 -4.2146761509229203E-01 a       245     0    13     1     5
  2.4499528949023289E-01 a       246     0    13     1     6
  1.7364119960282681E-01 a       247     0    13     1     7
  2.3547265273081961E-02 a       248     0    13     1     8
  7.3960635022747689E-01 a       249     0    13     1     9
 -1.3807453678489728E-01 a       250     0    13     1    10
 -8.2753246576672615E-02 a       251     0    13     1    11
  3.4241811229551555E-01 a       252     0    13     1    12
  4.2613343969295975E-01 a       253     0    13     1    13
  2.7219207952751667E-01 a       254     0    13     1    14
 -2.8798193862584472E-02 a       255     0    13     1    15
  6.4958268830279942E-01 a       256     0    13     1    16
  3.6783059341760005E-01 a       257     0    13     1    17
  3.0538467503612887E-01 a       258     0    13     1    18
  5.8802675870328530E-02 a       259     0    13     1    19
  5.8310275921520027E-01 a       260     0    13     1    20
 -4.2088616776679821E-01 a       261     0    14     1     1
  1.2140828822507345E-01 a       262     0    14     1     2
 -4.6657147224464418E-01 a       263     0    14     1     3
 -4.1086713525391061E-01 a       264     0    14     1     4
  2.9266060817552353E-01 a       265     0    14     1     5
  4.2182448946518930E-01 a       266     0    14     1     6
 -4.0256529366202831E-02 a       267     0    14     1     7
 -9.6966953839852071E-02 a       268     0    14     1     8
 -2.5313235485400004E-01 a       269     0    14     1     9
 -3.2107846744659052E-01 a       270     0    14     1    10
  6.1963196399532716E-01 a       271     0    14     1    11
  6.8129092451300499E-01 a       272     0    14     1    12
 -9.0597915271025592E-02 a       273     0    14     1    13
 -4.3002657802047645E-01 a       274     0    14     1    14
  1.3150424728521631E-01 a       275     0    14     1    15
 -4.9345367506358712E-01 a       276     0    14     1    16
  3.1551715625223037E-01 a       277     0    14     1    17
 -1.5145392646749345E-01 a       278     0    14     1    18
  6.8851461770502198E-01 a       279     0    14     1    19
  3.4869379094952474E-01 a       280     0    14     1    20
  2.8644590385775781E-01 b       281     1     1
 -1.0672496119878339E+00 b       282     1     2
 -1.6387594702021009E+00 b       283     1     3
 -4.2440860641748412E-01 b       284     1     4
  8.4643690339016531E-01 b       285     1     5
 -7.8572108797544138E-01 b       286     1     6
  8.4393999010679099E-01 b       287     1     7
  1.3192888464023131E+00 b       288     1     8
  1.8142179547499153E+00 b       289     1     9
  1.9797748733404483E-01 b       290     1    10
 -1.4267824108520002E+00 b       291     1    11
 -8.0859276714185879E-01 b       292     1    12
 -6.0047051966585763E-01 b       293     1    13
 -1.0549807285274553E+00 b       294     1    14
 -1.0332181701314422E+00 b       295     1    15
  1.1433061428296423E+00 b       296     1    16
  9.1729198619311836E-02 b       297     1    17
  1.9429477558111849E-02 b       298     1    18
 -9.1331073737395674E-01 b       299     1    19
  1.8665412274000925E+00 b       300     1    20
  2.6252152400149492E-01 a       301     1     1     2     1
  4.4406850692672939E-01 a       302     1     1     2     2
  9.0321880346995828E-02 a       303     1     1     2     3
  1.5915367118813880E-03 a       304     1     1     2     4
 -2.9934928828732965E-01 a       305     1     1     2     5
  2.4114830659152672E-01 a       306     1     1     2     6
 -6.6287697492100339E-01 a       307     1     1     2     7
  1.3537284068170138E-01 a       308     1     1     2     8
 -6.1866303052004384E-02 a       309     1     1     2     9
  6.5389901817984445E-04 a       310     1     1     2    10
 -5.2587183880758659E-01 a       311     1     1     2    11
  2.0417121316093154E-01 a       312     1     1     2    12
  4.4862063434777361E-01 a       313     1     1     2    13
  5.8819840288971958E-01 a       314     1     1     2    14
 -5.9087433856831850E-01 a       315     1     1     2    15
 -1.5013173305828750E-01 a       316     1     1     2    16
  1.0786781238106168E-01 a       317     1     1     2    17
 -4.8300168680623556E-01 a       318     1     1     2    18
  3.4676518343564533E-01 a       319     1     1     2    19
  5.2896363537524672E-02 a       320     1     1     2    20
  1.7013053750165594E-01 a       321     1     2     2     1
  1.9603105892545647E-01 a       322     1     2     2     2
 -1.7844127476496055E-01 a       323     1     2     2     3
  5.6140458368126156E-01 a       324     1     2     2     4
 -5.0333426074180199E-01 a       325     1     2     2     5
 -3.6413390699397497E-01 a       326     1     2     2     6
 -4.8014920141679729E-01 a       327     1     2     2     7
  4.0999691998402366E-01 a       328     1     2     2     8
 -2.2758613667081165E-01 a       329     1     2     2     9
 -3.7121020529346793E-01 a       330     1     2     2    10
  9.4734112161453832E-02 a       331     1     2     2    11
 -1.0471353963352538E-01 a       332     1     2     2    12
 -1.1963988555861743E-01 a       333     1     2     2    13
 -4.0064982257028742E-01 a       334     1     2     2    14
  7.1032116027469616E-03 a       335     1     2     2    15
 -4.2327900263799144E-02 a       336     1     2     2    16
 -9.7307636509512074E-02 a       337     1     2     2    17
 -5.9890422857247771E-02 a       338     1     2     2    18
  4.6794113507392959E-01 a       339     1     2     2    19
  7.3019911213942079E-02 a       340     1     2     2    20
  5.4839461451048188E-01 a       341     1     3     2     1
 -5.6875802931067054E-01 a       342     1     3     2     2
 -5.4509568475578740E-01 a       343     1     3     2     3
  5.0944259252503277E-01 a       344     1     3     2     4
  5.3397181450547981E-01 a       345     1     3     2     5
  6.6874296139045220E-01 a       346     1     3     2     6
  1.9488147276285817E-01 a       347     1     3     2     7
  1.2265182241429324E-02 a       348     1     3     2     8
 -4.1656080679055912E-01 a       349     1     3     2     9
  5.2158005429734688E-01 a       350     1     3     2    10
  1.5227802924360342E-01 a       351     1     3     2    11
 -3.8126096599768083E-01 a       352     1     3     2    12
 -3.6637322829413255E-01 a       353     1     3     2    13
 -3.9413889653215428E-01 a       354     1     3     2    14
 -2.1473244067141330E-02 a       355     1     3     2    15
 -4.7793654714041511E-01 a       356     1     3     2    16
 -6.3173586260394876E-02 a       357     1     3     2    17
  3.7173335432124316E-01 a       358     1     3     2    18
  3.3846256706732775E-01 a       359     1     3     2    19
  5.8915883310171327E-03 a       360     1     3     2    20
  3.4826886067208257E-01 a       361     1     4     2     1
 -8.9813022311164975E-03 a       362     1     4     2     2
  5.2801876929376657E-01 a       363     1     4     2     3
  4.7139533799997541E-01 a       364     1     4     2     4
 -8.7615208852073034E-03 a       365     1     4     2     5
 -2.7182394651996365E-02 a       366     1     4     2     6
  4.2941880895517370E-01 a       367     1     4     2     7
 -2.4027275040519411E-01 a       368     1     4     2     8
 -5.0235846137154941E-02 a       369     1     4     2     9
 -6.1827064320475345E-01 a       370     1     4     2    10
 -2.2866105119493124E-01 a       371     1     4     2    11
  2.0516794222435286E-01 a       372     1     4     2    12
 -3.1716652502149351E-01 a       373     1     4     2    13
 -1.9439841399648283E-01 a       374     1     4     2    14
 -8.2980731805366734E-02 a       375     1     4     2    15
  3.5428130112995684E-02 a       376     1     4     2    16
 -1.1784409288448304E-01 a       377     1     4     2    17
  3.8190832691025645E-01 a       378     1     4     2    18
  5.3386176603797311E-02 a       379     1     4     2    19
  4.1434625473568221E-01 a       380     1     4     2    20
  4.5893839799238872E-01 a       381     1     5     2     1
 -2.0772123151286051E-01 a       382     1     5     2     2
  2.7737664031236853E-01 a       383     1     5     2     3
  2.2369437078448989E-01 a       384     1     5     2     4
 -2.4883171227050990E-01 a       385     1     5     2     5
  1.7879887745742506E-01 a       386     1     5     2     6
 -5.3043919008929430E-01 a       387     1     5     2     7
  5.1708355631109870E-01 a       388     1     5     2     8
  1.6925681115595320E-01 a       389     1     5     2     9
  1.7464704459034922E-01 a       390     1     5     2    10
  1.8457303069418779E-01 a       391     1     5     2    11
  5.2569657910234635E-01 a       392     1     5     2    12
  3.1319133834026330E-01 a       393     1     5     2    13
 -5.0266747357921082E-01 a       394     1     5     2    14
 -3.3904804217891188E-01 a       395     1     5     2    15
  2.9811424425561062E-01 a       396     1     5     2    16
 -1.8096580015762889E-01 a       397     1     5     2    17
 -1.5262275696623940E-02 a       398     1     5     2    18
 -6.7386641683328308E-01 a       399     1     5     2    19
 -1.2594104716808069E-01 a       400     1     5     2    20
  2.2823458598058466E-01 a       401     1     6     2     1
  1.1500866308878213E-01 a       402     1     6     2     2
 -3.8041418110864017E-01 a       403     1     6     2     3
 -3.7472132892635329E-01 a       404     1     6     2     4
  1.2414693294328027E-01 a       405     1     6     2     5
 -9.4077020669849798E-02 a       406     1     6     2     6
  3.0267498423866140E-01 a       407     1     6     2     7
  4.7633305087745437E-01 a       408     1     6     2     8
 -2.1693038866852679E-01 a       409     1     6     2     9
 -1.1190884722247694E-02 a       410     1     6     2    10
  4.6654678851954967E-01 a       411     1     6     2    11
 -5.7302577273721933E-01 a       412     1     6     2    12
  4.7745909292976302E-01 a       413     1     6     2    13
  2.4148411660114227E-01 a       414     1     6     2    14
 -6.1170853353477239E-01 a       415     1     6     2    15
  4.7178032163997502E-01 a       416     1     6     2    16
  9.6342821551792579E-02 a       417     1     6     2    17
 -2.0615181394169532E-01 a       418     1     6     2    18
 -6.1079804428815533E-03 a       419     1     6     2    19
 -5.3338965329046650E-01 a       420     1     6     2    20
 -5.6152012518301431E-01 a       421     1     7     2     1
 -2.5193162816527659E-01 a       422     1     7     2     2
  4.8182716766378370E-01 a       423     1     7     2     3
 -1.8102558158549203E-01 a       424     1     7     2     4
 -6.4134353372263930E-01 a       425     1     7     2     5
 -1.4273528646538386E-01 a       426     1     7     2     6
  8.8858711778734417E-02 a       427     1     7     2     7
 -4.1997271609937303E-01 a       428     1     7     2     8
