################################################################################
# Kalman filter status report.
################################################################################
# Col  Name     Description
################################################################################
# 1    epoch    Training epoch.
# 2    nupdates Number of updates performed.
# 3    Pdiag    Mean of absolute diagonal values of error covariance matrix P.
# 4    Poffdiag Mean of absolute off-diagonal values of error covariance matrix P.
# 5    Pasym    Asymmetry of P, i.e. mean of absolute values of asymmetric part 0.5*(P - P^T).
# 6    Kmean    Mean of abolute compontents of Kalman gain matrix K.
# 7    q        Magnitude of process noise (= diagonal entries of Q).
# 8    eta      Learning rate.
###########################################################################################################################
#        1          2                3                4                5                6                7                8
#    epoch   nupdates            Pdiag         Poffdiag            Pasym            Kmean                q              eta
###########################################################################################################################
         0          0   1.00000000E+02   0.00000000E+00   0.00000000E+00   0.00000000E+00   1.00000000E-02   1.00000000E-02
         1        107   7.87028605E+01   6.20427967E-01   1.34418932E-12   1.46333304E-02   1.00058526E-03   9.99415078E-02
         2        214   6.30683025E+01   6.32725124E-01   1.40292564E-12   5.86632711E-02   1.00117087E-04   9.98830498E-01
         3        321   5.31139598E+01   5.91528878E-01   1.67555405E-12   3.67887335E-02   1.00175682E-05   1.02055218E+00
         4        428   4.80262016E+01   5.61277716E-01   2.27444153E-12   2.97504504E-02   1.00234311E-06   1.02055218E+00
         5        535   4.49988673E+01   5.37883905E-01   3.39185842E-12   1.95860044E-02   9.81008998E-07   1.02055218E+00
         6        642   4.28858807E+01   5.19299463E-01   3.67140181E-12   2.84736195E-02   9.81008998E-07   1.02055218E+00
         7        749   4.12912551E+01   5.05056313E-01   3.97772103E-12   1.33053715E-02   9.81008998E-07   1.02055218E+00
         8        856   4.01935704E+01   4.94548350E-01   4.08557861E-12   1.24080666E-02   9.81008998E-07   1.02055218E+00
         9        963   3.91981973E+01   4.85597134E-01   4.16559526E-12   1.27854932E-02   9.81008998E-07   1.02055218E+00
        10       1070   3.84035307E+01   4.79070082E-01   4.20709097E-12   1.08761727E-02   9.81008998E-07   1.02055218E+00
        11       1177   3.77817517E+01   4.74373253E-01   4.21989291E-12   1.08029052E-02   9.81008998E-07   1.02055218E+00
        12       1284   3.72238565E+01   4.69964168E-01   4.22756511E-12   9.81642901E-03   9.81008998E-07   1.02055218E+00
        13       1391   3.67609026E+01   4.66469074E-01   4.23337378E-12   9.35329285E-03   9.81008998E-07   1.02055218E+00
        14       1498   3.62878364E+01   4.62570296E-01   4.23485334E-12   9.00339474E-03   9.81008998E-07   1.02055218E+00
        15       1605   3.58370862E+01   4.58900298E-01   4.23806891E-12   1.04409354E-02   9.81008998E-07   1.02055218E+00
        16       1712   3.53557446E+01   4.54884236E-01   4.26270124E-12   1.00973234E-02   9.81008998E-07   1.02055218E+00
        17       1819   3.49563817E+01   4.51488278E-01   4.26699211E-12   1.38994231E-02   9.81008998E-07   1.02055218E+00
        18       1926   3.45876952E+01   4.48491702E-01   4.26764715E-12   9.72942291E-03   9.81008998E-07   1.02055218E+00
        19       2033   3.42570932E+01   4.46010965E-01   4.26908807E-12   9.14495076E-03   9.81008998E-07   1.02055218E+00
        20       2140   3.39365253E+01   4.43430597E-01   4.27039000E-12   9.05558611E-03   9.81008998E-07   1.02055218E+00
        21       2247   3.36340727E+01   4.41075134E-01   4.27175381E-12   9.54322927E-03   9.81008998E-07   1.02055218E+00
        22       2354   3.33281429E+01   4.38631358E-01   4.27203600E-12   9.04503529E-03   9.81008998E-07   1.02055218E+00
        23       2461   3.30566675E+01   4.36466587E-01   4.27243671E-12   8.28964542E-03   9.81008998E-07   1.02055218E+00
        24       2568   3.27882513E+01   4.34417490E-01   4.27367536E-12   8.23918803E-03   9.81008998E-07   1.02055218E+00
        25       2675   3.25356680E+01   4.32463010E-01   4.27367049E-12   8.51169965E-03   9.81008998E-07   1.02055218E+00
        26       2782   3.22976278E+01   4.30594872E-01   4.27399815E-12   8.54554165E-03   9.81008998E-07   1.02055218E+00
        27       2889   3.20540775E+01   4.28633878E-01   4.27439514E-12   7.98789796E-03   9.81008998E-07   1.02055218E+00
        28       2996   3.18100169E+01   4.26759852E-01   4.27454549E-12   8.93654135E-03   9.81008998E-07   1.02055218E+00
        29       3103   3.15820638E+01   4.24960588E-01   4.27503144E-12   7.73100316E-03   9.81008998E-07   1.02055218E+00
        30       3210   3.13700552E+01   4.23319974E-01   4.27503371E-12   7.49901808E-03   9.81008998E-07   1.02055218E+00
        31       3317   3.11501685E+01   4.21592681E-01   4.27518212E-12   7.38027149E-03   9.81008998E-07   1.02055218E+00
        32       3424   3.09392730E+01   4.19941375E-01   4.27554654E-12   7.68263728E-03   9.81008998E-07   1.02055218E+00
        33       3531   3.07472420E+01   4.18432050E-01   4.27632661E-12   7.35179227E-03   9.81008998E-07   1.02055218E+00
        34       3638   3.05517933E+01   4.16923197E-01   4.27647125E-12   5.92294619E-03   9.81008998E-07   1.02055218E+00
        35       3745   3.03762892E+01   4.15504752E-01   4.27655474E-12   6.85148017E-03   9.81008998E-07   1.02055218E+00
        36       3852   3.01940810E+01   4.14075917E-01   4.27679179E-12   6.22503436E-03   9.81008998E-07   1.02055218E+00
        37       3959   3.00253263E+01   4.12715877E-01   4.27683859E-12   6.34640950E-03   9.81008998E-07   1.02055218E+00
        38       4066   2.98562396E+01   4.11324173E-01   4.27682176E-12   6.07710276E-03   9.81008998E-07   1.02055218E+00
        39       4173   2.96856385E+01   4.10002105E-01   4.27701735E-12   6.41010495E-03   9.81008998E-07   1.02055218E+00
        40       4280   2.95206290E+01   4.08670496E-01   4.27707169E-12   5.71105247E-03   9.81008998E-07   1.02055218E+00
        41       4387   2.93498621E+01   4.07332967E-01   4.27712703E-12   6.33130690E-03   9.81008998E-07   1.02055218E+00
        42       4494   2.91799018E+01   4.05928992E-01   4.27717627E-12   8.43077746E-03   9.81008998E-07   1.02055218E+00
