################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  5.4566802876536633E-02 a         1     0     1     1     1
  1.1856839289618639E+00 a         2     0     1     1     2
 -4.4766431802034068E-01 a         3     0     1     1     3
  1.7492731308570736E-02 a         4     0     1     1     4
  1.0413325656885523E-01 a         5     0     1     1     5
  1.2578847716047517E-01 a         6     0     1     1     6
 -2.9615751087781059E-02 a         7     0     1     1     7
  1.9876065153703548E-01 a         8     0     1     1     8
  9.4487855904903961E-01 a         9     0     1     1     9
  5.5922246012902677E-01 a        10     0     1     1    10
  1.9513566888508402E-01 a        11     0     1     1    11
  2.1005094500765248E-01 a        12     0     1     1    12
 -2.9541566808480063E-01 a        13     0     1     1    13
  4.2410569506490159E-01 a        14     0     1     1    14
 -7.5311389791569328E-01 a        15     0     1     1    15
  5.1038072366128351E-01 a        16     0     1     1    16
 -2.3018880885076759E-01 a        17     0     1     1    17
  5.7804475093497376E-01 a        18     0     1     1    18
 -3.1019193061378198E-02 a        19     0     1     1    19
  5.5377981821349731E-01 a        20     0     1     1    20
 -2.5791065459838108E-01 a        21     0     2     1     1
  1.2534447952146446E-01 a        22     0     2     1     2
 -1.3810429203650024E-01 a        23     0     2     1     3
  3.1221594317407453E-01 a        24     0     2     1     4
 -1.6295024584519840E-01 a        25     0     2     1     5
  8.0622917857205456E-01 a        26     0     2     1     6
 -3.0494339732048142E-01 a        27     0     2     1     7
 -2.5622361152838485E-01 a        28     0     2     1     8
 -3.1439352239762386E-01 a        29     0     2     1     9
 -2.6294510448753983E-01 a        30     0     2     1    10
  3.9540420011971861E-02 a        31     0     2     1    11
  9.9337013730582091E-01 a        32     0     2     1    12
  5.1179681327918347E-01 a        33     0     2     1    13
 -5.3960042049710599E-01 a        34     0     2     1    14
  2.1764235952528296E-01 a        35     0     2     1    15
 -2.8795427616538605E-01 a        36     0     2     1    16
  4.0758563265374392E-01 a        37     0     2     1    17
  2.4416070994108829E-01 a        38     0     2     1    18
  6.0668029412014535E-01 a        39     0     2     1    19
  1.4708992368331991E-01 a        40     0     2     1    20
 -6.2356019143923391E-01 a        41     0     3     1     1
 -7.2382975211610334E-01 a        42     0     3     1     2
  1.0880557037228364E+00 a        43     0     3     1     3
  6.4495169919370343E-01 a        44     0     3     1     4
  8.8553292953985963E-01 a        45     0     3     1     5
 -2.9889713030608311E-01 a        46     0     3     1     6
  2.6792018116580979E-01 a        47     0     3     1     7
  4.6940643359666349E-02 a        48     0     3     1     8
  5.6617671792620794E-01 a        49     0     3     1     9
  2.1066887039678148E-01 a        50     0     3     1    10
 -1.1358461249653685E-01 a        51     0     3     1    11
 -9.2930050108928930E-01 a        52     0     3     1    12
  8.0024136305320037E-01 a        53     0     3     1    13
  6.6115948527380244E-02 a        54     0     3     1    14
 -9.7810257466858830E-01 a        55     0     3     1    15
  7.0872919712069726E-01 a        56     0     3     1    16
  5.8414264836783469E-02 a        57     0     3     1    17
  6.2707381761493250E-02 a        58     0     3     1    18
 -3.4581649015311200E-01 a        59     0     3     1    19
  1.5313845256378185E+00 a        60     0     3     1    20
  1.6602681017236950E-01 a        61     0     4     1     1
 -8.4339283392173989E-02 a        62     0     4     1     2
 -9.1172745983054670E-01 a        63     0     4     1     3
  8.9807092254371723E-02 a        64     0     4     1     4
 -1.0519007143677797E+00 a        65     0     4     1     5
  9.9868002867533912E-01 a        66     0     4     1     6
  6.1619500953369155E-01 a        67     0     4     1     7
  2.7529868805036051E-01 a        68     0     4     1     8
  5.0672674569612941E-01 a        69     0     4     1     9
  9.6347798017611719E-01 a        70     0     4     1    10
 -5.4483566807232231E-01 a        71     0     4     1    11
 -4.6340344947437551E-01 a        72     0     4     1    12
  9.6211394191191763E-02 a        73     0     4     1    13
  4.2778212378299879E-01 a        74     0     4     1    14
 -1.0842317209853014E+00 a        75     0     4     1    15
 -4.9090290161156230E-01 a        76     0     4     1    16
 -2.2018859688872150E-01 a        77     0     4     1    17
 -1.3685161446375219E-02 a        78     0     4     1    18
 -4.6332600142337355E-01 a        79     0     4     1    19
 -5.5104879757115144E-01 a        80     0     4     1    20
  8.2940711455266236E-01 a        81     0     5     1     1
 -8.2483053379353924E-03 a        82     0     5     1     2
  7.0903153017969878E-01 a        83     0     5     1     3
 -3.4144359849356898E-01 a        84     0     5     1     4
  1.8103798736927834E-01 a        85     0     5     1     5
 -3.8265001748151706E-01 a        86     0     5     1     6
  2.0941898581814675E-01 a        87     0     5     1     7
  6.1778853968151692E-01 a        88     0     5     1     8
  2.2393656622370162E-01 a        89     0     5     1     9
 -5.6324680829397733E-01 a        90     0     5     1    10
 -2.8847114198639168E-01 a        91     0     5     1    11
 -1.2112831789237555E-01 a        92     0     5     1    12
 -4.3133875109445124E-01 a        93     0     5     1    13
  3.8623096480340924E-01 a        94     0     5     1    14
  7.3670427915261205E-01 a        95     0     5     1    15
 -2.0562440739027724E-01 a        96     0     5     1    16
  5.9291237704913957E-01 a        97     0     5     1    17
  8.4165232585456495E-02 a        98     0     5     1    18
  3.6246335791395407E-01 a        99     0     5     1    19
 -4.9605489680595627E-01 a       100     0     5     1    20
  2.1147342098500599E-01 a       101     0     6     1     1
 -7.6894139903194003E-01 a       102     0     6     1     2
 -2.2438908302404800E-01 a       103     0     6     1     3
 -1.0153916226234050E+00 a       104     0     6     1     4
  1.2668918267277710E-01 a       105     0     6     1     5
 -3.0183601338607174E-01 a       106     0     6     1     6
  7.4120082382989128E-01 a       107     0     6     1     7
  4.3849301955880826E-01 a       108     0     6     1     8
  6.8462820763021448E-01 a       109     0     6     1     9
  4.1665775195250526E-01 a       110     0     6     1    10
 -4.5210093636818005E-01 a       111     0     6     1    11
  1.3248871043438382E-01 a       112     0     6     1    12
 -3.1000482611020325E-01 a       113     0     6     1    13
  1.9520925511321663E-01 a       114     0     6     1    14
 -5.8597996112574005E-02 a       115     0     6     1    15
 -1.3649896101754017E-01 a       116     0     6     1    16
  1.7064190015576008E-01 a       117     0     6     1    17
  1.3384193893064511E-01 a       118     0     6     1    18
 -4.8369655516429783E-01 a       119     0     6     1    19
  4.9447268997680099E-01 a       120     0     6     1    20
  8.3954516637448828E-01 a       121     0     7     1     1
  3.8640990706892270E-01 a       122     0     7     1     2
 -1.0989047555720019E-01 a       123     0     7     1     3
  7.7809816486140770E-01 a       124     0     7     1     4
 -2.7469737308881020E-01 a       125     0     7     1     5
  4.3237373143842178E-01 a       126     0     7     1     6
  6.6583088843027582E-01 a       127     0     7     1     7
  6.0230306682547252E-01 a       128     0     7     1     8
  3.6691407553554628E-01 a       129     0     7     1     9
 -6.4936570278151995E-01 a       130     0     7     1    10
 -7.7181717342162037E-01 a       131     0     7     1    11
 -4.5255394863593257E-01 a       132     0     7     1    12
  2.9897765881178218E-01 a       133     0     7     1    13
  3.9591371772224576E-01 a       134     0     7     1    14
  3.6324166487197351E-01 a       135     0     7     1    15
  1.9040447470944666E-01 a       136     0     7     1    16
  5.1983799871582081E-01 a       137     0     7     1    17
  5.9868592075121374E-01 a       138     0     7     1    18
  6.7969299126131277E-01 a       139     0     7     1    19
 -6.2124857098590325E-01 a       140     0     7     1    20
  5.1403669100210936E-01 a       141     0     8     1     1
 -1.2896620711725959E-01 a       142     0     8     1     2
 -4.4847089326432932E-01 a       143     0     8     1     3
 -5.4095213490877814E-01 a       144     0     8     1     4
 -5.1592413103571363E-02 a       145     0     8     1     5
  2.3911432871095542E-01 a       146     0     8     1     6
 -6.9123906934954613E-02 a       147     0     8     1     7
 -4.8801679321917890E-01 a       148     0     8     1     8
 -3.6863401040958738E-01 a       149     0     8     1     9
 -3.3798576063347469E-01 a       150     0     8     1    10
  1.9986511225323456E-01 a       151     0     8     1    11
  1.1030639290720823E+00 a       152     0     8     1    12
 -8.1419540068357832E-01 a       153     0     8     1    13
 -3.2477913812563058E-01 a       154     0     8     1    14
  7.4073530891997574E-01 a       155     0     8     1    15
 -4.0773577259834415E-01 a       156     0     8     1    16
  4.8895451742123208E-01 a       157     0     8     1    17
 -2.4268102285913015E-01 a       158     0     8     1    18
  3.1764550604052139E-01 a       159     0     8     1    19
 -5.8794300960407753E-01 a       160     0     8     1    20
 -7.8656075822320470E-01 a       161     0     9     1     1
  1.3368683190433511E-01 a       162     0     9     1     2
  4.3065631083840394E-01 a       163     0     9     1     3
  2.0303892015067015E-01 a       164     0     9     1     4
 -3.9945604104195970E-01 a       165     0     9     1     5
 -8.9020486122731377E-02 a       166     0     9     1     6
 -8.7257467902272112E-01 a       167     0     9     1     7
  6.5279681358518038E-01 a       168     0     9     1     8
  7.4899023633289497E-01 a       169     0     9     1     9
  5.4859318343588515E-01 a       170     0     9     1    10
 -3.8923342604249421E-02 a       171     0     9     1    11
  3.2385659315909704E-01 a       172     0     9     1    12
 -1.0535896505560004E-01 a       173     0     9     1    13
  1.5824175803163260E-01 a       174     0     9     1    14
 -4.5824544247219401E-01 a       175     0     9     1    15
  2.9933241007936268E-01 a       176     0     9     1    16
  6.1902992506296280E-02 a       177     0     9     1    17
 -2.0607330323020834E-01 a       178     0     9     1    18
  3.3452325112065455E-03 a       179     0     9     1    19
  3.7359771356149019E-01 a       180     0     9     1    20
 -9.0146431352637418E-02 a       181     0    10     1     1
 -6.5774990856063664E-01 a       182     0    10     1     2
  9.5982353451735031E-02 a       183     0    10     1     3
 -2.9368810143003665E-01 a       184     0    10     1     4
 -5.7783740071636314E-01 a       185     0    10     1     5
  1.7209127392181550E-01 a       186     0    10     1     6
  2.2478126120802561E-01 a       187     0    10     1     7
 -1.3379907549818387E-01 a       188     0    10     1     8
 -3.2165320786997431E-01 a       189     0    10     1     9
  1.3797756800334798E-01 a       190     0    10     1    10
 -7.7777971315951294E-02 a       191     0    10     1    11
 -7.5414028481321493E-01 a       192     0    10     1    12
  1.2733531230183426E-01 a       193     0    10     1    13
  9.3206470188880641E-01 a       194     0    10     1    14
 -5.2257677567983962E-01 a       195     0    10     1    15
  3.0859979857798087E-01 a       196     0    10     1    16
 -4.3777148519865655E-01 a       197     0    10     1    17
 -2.8972169255199132E-01 a       198     0    10     1    18
 -6.9817830513929480E-01 a       199     0    10     1    19
 -1.6080874737749690E-01 a       200     0    10     1    20
 -3.0939895198127643E-01 a       201     0    11     1     1
 -5.3120806590081771E-01 a       202     0    11     1     2
 -2.1030319747715906E-01 a       203     0    11     1     3
 -3.0507349197358513E-01 a       204     0    11     1     4
 -1.7086155843233022E-01 a       205     0    11     1     5
 -8.2252674907962620E-01 a       206     0    11     1     6
  2.1181906842750603E-01 a       207     0    11     1     7
  1.9868872348874461E-01 a       208     0    11     1     8
  1.2474991988302574E-01 a       209     0    11     1     9
  1.4396639660861507E-01 a       210     0    11     1    10
 -5.9028966101921410E-01 a       211     0    11     1    11
 -3.3400878747217827E-01 a       212     0    11     1    12
  8.4913041671275835E-01 a       213     0    11     1    13
 -3.3201591169122846E-01 a       214     0    11     1    14
  3.9974851468681655E-01 a       215     0    11     1    15
 -3.6716277620577170E-01 a       216     0    11     1    16
  1.6457329744335009E-01 a       217     0    11     1    17
  4.9897915832486767E-01 a       218     0    11     1    18
  2.0599681978773621E-01 a       219     0    11     1    19
 -4.0917500481777896E-01 a       220     0    11     1    20
  1.0550954229149809E-01 a       221     0    12     1     1
  8.4738722571229941E-02 a       222     0    12     1     2
 -4.8237024531143025E-01 a       223     0    12     1     3
 -5.6617799028306590E-02 a       224     0    12     1     4
  6.1775953096747405E-01 a       225     0    12     1     5
 -5.4238584501575271E-01 a       226     0    12     1     6
  2.9656885564808677E-01 a       227     0    12     1     7
  6.6241673117809000E-02 a       228     0    12     1     8
  1.4290443852498208E-01 a       229     0    12     1     9
 -1.0370647639560444E+00 a       230     0    12     1    10
  6.9657482353137534E-01 a       231     0    12     1    11
 -7.1251348572353468E-01 a       232     0    12     1    12
 -6.1054752520223310E-01 a       233     0    12     1    13
 -3.4760884896557520E-01 a       234     0    12     1    14
 -4.2264582489443492E-01 a       235     0    12     1    15
  2.2692411596466483E-01 a       236     0    12     1    16
 -9.5051522977871422E-02 a       237     0    12     1    17
 -1.7004704634109943E-01 a       238     0    12     1    18
  5.3776987747732719E-01 a       239     0    12     1    19
 -2.3334290622327633E-01 a       240     0    12     1    20
  8.8840227329449711E-02 a       241     0    13     1     1
 -1.6771491700131985E-01 a       242     0    13     1     2
  3.0661062116475180E-01 a       243     0    13     1     3
  4.7044624621954967E-01 a       244     0    13     1     4
  4.5986201804448729E-01 a       245     0    13     1     5
  4.2696040021659615E-01 a       246     0    13     1     6
 -1.1272660096977731E-01 a       247     0    13     1     7
  3.8551584390703425E-01 a       248     0    13     1     8
  1.6578726887936551E-01 a       249     0    13     1     9
 -3.8560921345498622E-01 a       250     0    13     1    10
 -2.6627656295525393E-01 a       251     0    13     1    11
  3.4803165996302882E-01 a       252     0    13     1    12
  3.6307072987925224E-02 a       253     0    13     1    13
 -4.3927612473981709E-01 a       254     0    13     1    14
  1.5366807821321693E-01 a       255     0    13     1    15
 -2.9900983796098630E-02 a       256     0    13     1    16
  1.1271261201010149E-01 a       257     0    13     1    17
 -4.0256654503228906E-01 a       258     0    13     1    18
  1.3673381617454593E-02 a       259     0    13     1    19
  3.4494100709270131E-01 a       260     0    13     1    20
  7.8664481795870128E-02 a       261     0    14     1     1
 -1.5868486067428794E-01 a       262     0    14     1     2
 -4.5525213863396324E-01 a       263     0    14     1     3
  6.5471778969810129E-02 a       264     0    14     1     4
 -1.5791244120315912E-01 a       265     0    14     1     5
 -4.0587560299739267E-01 a       266     0    14     1     6
  8.5222836677494307E-02 a       267     0    14     1     7
  1.1861403185876825E-01 a       268     0    14     1     8
 -4.9795082830670828E-02 a       269     0    14     1     9
  3.6305352102322601E-02 a       270     0    14     1    10
 -7.7450379437624139E-01 a       271     0    14     1    11
 -3.6237201100366651E-01 a       272     0    14     1    12
  1.1189157136079360E-01 a       273     0    14     1    13
 -4.6665230989731998E-01 a       274     0    14     1    14
  3.6641579155450521E-01 a       275     0    14     1    15
 -5.3901984195317720E-01 a       276     0    14     1    16
 -1.7054873513179367E-01 a       277     0    14     1    17
 -2.0527906214999717E-01 a       278     0    14     1    18
 -1.3676844307140798E-01 a       279     0    14     1    19
 -3.1752560479921033E-01 a       280     0    14     1    20
 -1.6752274342491077E-01 b       281     1     1
  5.8247011127564530E-01 b       282     1     2
  1.0099708833163143E-01 b       283     1     3
 -1.0640163797278774E+00 b       284     1     4
 -2.3125387695483803E-02 b       285     1     5
 -1.0125509132460959E+00 b       286     1     6
  2.0578314470265538E-01 b       287     1     7
 -9.5660032046077081E-01 b       288     1     8
 -1.5565405942279065E+00 b       289     1     9
 -1.5314630900212239E-01 b       290     1    10
 -9.3811052810836437E-01 b       291     1    11
  1.5572624763088161E+00 b       292     1    12
 -1.4722871012637722E+00 b       293     1    13
  3.0762846545715034E-01 b       294     1    14
 -4.9224219238153177E-01 b       295     1    15
  1.1688524614141604E+00 b       296     1    16
 -6.8637573013273345E-01 b       297     1    17
  9.6553609826970299E-01 b       298     1    18
 -4.2549568116413061E-01 b       299     1    19
 -1.6579236242074433E+00 b       300     1    20
  6.0491487096321746E-02 a       301     1     1     2     1
 -2.6185210580841517E-01 a       302     1     1     2     2
 -2.4510189176994926E-01 a       303     1     1     2     3
  7.7486196858515224E-02 a       304     1     1     2     4
  2.1025800019811719E-01 a       305     1     1     2     5
 -6.4699319956545653E-02 a       306     1     1     2     6
 -3.3455822913614736E-01 a       307     1     1     2     7
  6.5632077892584828E-01 a       308     1     1     2     8
  5.3330991536057437E-01 a       309     1     1     2     9
  2.9684256119655322E-01 a       310     1     1     2    10
 -1.1479319030204926E-01 a       311     1     1     2    11
 -3.2984366874756038E-01 a       312     1     1     2    12
 -2.9778230424198238E-01 a       313     1     1     2    13
 -7.7142169473079958E-01 a       314     1     1     2    14
  7.7433945540906757E-01 a       315     1     1     2    15
 -6.3618190507416894E-01 a       316     1     1     2    16
 -8.5640509081062396E-02 a       317     1     1     2    17
  3.6812963543920457E-01 a       318     1     1     2    18
  1.9014910710440258E-01 a       319     1     1     2    19
  1.2976165578170737E-01 a       320     1     1     2    20
 -2.8991269916797824E-01 a       321     1     2     2     1
 -9.1644340233666147E-02 a       322     1     2     2     2
  4.0364691815633191E-01 a       323     1     2     2     3
  4.6523076723137831E-02 a       324     1     2     2     4
 -2.8353780018962021E-01 a       325     1     2     2     5
  4.9515785712374866E-01 a       326     1     2     2     6
  5.7969694726201682E-01 a       327     1     2     2     7
 -5.5674801692341447E-01 a       328     1     2     2     8
 -2.4400886584063883E-01 a       329     1     2     2     9
  1.6214248997700570E-01 a       330     1     2     2    10
 -2.6342206955544462E-01 a       331     1     2     2    11
 -4.2054559558741983E-01 a       332     1     2     2    12
  6.1688040143480416E-01 a       333     1     2     2    13
  4.6425254890803867E-02 a       334     1     2     2    14
 -5.1465598729482996E-02 a       335     1     2     2    15
  1.5173937041955374E-01 a       336     1     2     2    16
  2.0310787271628248E-02 a       337     1     2     2    17
  9.5787667901529081E-02 a       338     1     2     2    18
  5.7448720699125899E-01 a       339     1     2     2    19
 -2.5730891408659790E-01 a       340     1     2     2    20
 -2.3629544316422935E-01 a       341     1     3     2     1
  5.0700765534949077E-01 a       342     1     3     2     2
  3.9217400209276504E-01 a       343     1     3     2     3
  4.1218531938033659E-01 a       344     1     3     2     4
  8.5654238238324643E-01 a       345     1     3     2     5
  2.2294272884904764E-01 a       346     1     3     2     6
 -1.6378638439147852E-01 a       347     1     3     2     7
 -4.3923375530808356E-01 a       348     1     3     2     8
 -3.1983151676627625E-01 a       349     1     3     2     9
  2.1461965605371139E-01 a       350     1     3     2    10
  2.9436110985736447E-01 a       351     1     3     2    11
 -4.7078643840424533E-01 a       352     1     3     2    12
  7.9973846372393487E-01 a       353     1     3     2    13
 -4.0255262645302697E-01 a       354     1     3     2    14
 -1.3740020034223194E-01 a       355     1     3     2    15
 -4.3301696460837197E-01 a       356     1     3     2    16
 -2.5360839615692859E-01 a       357     1     3     2    17
  6.5998084038013993E-01 a       358     1     3     2    18
  4.3333987365463775E-02 a       359     1     3     2    19
  3.1185048691231443E-01 a       360     1     3     2    20
  2.6563635825968518E-01 a       361     1     4     2     1
 -1.5005332669976662E-01 a       362     1     4     2     2
  3.4304624109733123E-01 a       363     1     4     2     3
 -5.8816052498446991E-01 a       364     1     4     2     4
  4.2619480564344892E-01 a       365     1     4     2     5
  1.1847325671892031E-01 a       366     1     4     2     6
  5.7845277741064149E-01 a       367     1     4     2     7
  5.9981166191404245E-01 a       368     1     4     2     8
 -5.7891690426750753E-01 a       369     1     4     2     9
 -5.6513617258377802E-01 a       370     1     4     2    10
  4.5402713746168355E-01 a       371     1     4     2    11
 -9.2880117597948328E-02 a       372     1     4     2    12
 -2.9244522351046126E-01 a       373     1     4     2    13
 -3.5023891145634467E-01 a       374     1     4     2    14
 -7.7035895371079618E-02 a       375     1     4     2    15
 -8.2296170128510357E-02 a       376     1     4     2    16
  1.3638938275432455E-01 a       377     1     4     2    17
  3.5650272557607798E-01 a       378     1     4     2    18
  5.0777755754802083E-02 a       379     1     4     2    19
  6.6602407901619987E-01 a       380     1     4     2    20
  1.4846321887137148E-01 a       381     1     5     2     1
 -2.7068273205431015E-01 a       382     1     5     2     2
  5.4698538661668672E-01 a       383     1     5     2     3
  1.1572154419551414E-01 a       384     1     5     2     4
 -5.7785804481572681E-02 a       385     1     5     2     5
 -1.0423913015722060E-01 a       386     1     5     2     6
 -4.2515898473864783E-01 a       387     1     5     2     7
  1.8633276889314981E-01 a       388     1     5     2     8
 -3.5063613255699455E-01 a       389     1     5     2     9
 -7.8707032379389186E-01 a       390     1     5     2    10
 -4.3861056337683141E-01 a       391     1     5     2    11
  2.4637633050874033E-01 a       392     1     5     2    12
 -6.8062349853932524E-01 a       393     1     5     2    13
  1.7335064508257306E-01 a       394     1     5     2    14
