################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   3.6922240183932642E-02   2.8442876174161835E+00   1.6826059332351901E+00   6.7830797560596556E-01
         1          2   4.0554341220319839E-01   2.5398587749046748E+00   2.1641866689546574E+00   3.8261905458324663E-01
         1          3   7.6977893334520364E-01   3.7568379087260784E+00   1.7794422530134613E+00   5.9143017334675596E-01
         1          4   1.3803221539126782E+00   5.7035195595085639E+00   2.7202003278913489E+00   7.8945190773974927E-01
         1          5   3.7844680483055826E+00   6.3999211824673417E+00   5.3347799441144588E+00   4.3347610726220914E-01
         1          6   3.6696240975710839E+00   7.7753794019567817E+00   6.2156485000021853E+00   8.5162163652443357E-01
         1          7   2.5306303798137946E+00   4.5051416133192994E+00   3.9902066811050290E+00   3.5759112528108283E-01
         1          8   1.4544280679760824E+00   2.1816219752996702E+00   1.6772898520983879E+00   1.1256365203338874E-01
         1          9   4.3419769010924714E-01   8.5812875872320582E-01   5.8828980139285647E-01   6.9635858809565951E-02
         1         10   1.2442866227944663E-01   2.2258568286281799E-01   1.6322334283674944E-01   1.5287536155106063E-02
         1         11   3.6940513070082726E-01   2.4458100695679637E+00   1.2301601622402494E+00   3.5247470098276135E-01
         1         12   1.3800863906147212E+00   4.2318465946056687E+00   2.9914743455598503E+00   5.5752956237635398E-01
         1         13   4.6284055096031611E-02   1.0698400414392197E+00   3.3352996608837515E-01   1.4770637755528035E-01
         1         14   8.2742258425631521E-01   3.0028921842938301E+00   1.8333055881081743E+00   3.9908623420790001E-01
