################################################################################
# Kalman filter status report.
################################################################################
# Col  Name     Description
################################################################################
# 1    epoch    Training epoch.
# 2    nupdates Number of updates performed.
# 3    Pdiag    Mean of absolute diagonal values of error covariance matrix P.
# 4    Poffdiag Mean of absolute off-diagonal values of error covariance matrix P.
# 5    Pasym    Asymmetry of P, i.e. mean of absolute values of asymmetric part 0.5*(P - P^T).
# 6    Kmean    Mean of abolute compontents of Kalman gain matrix K.
# 7    q        Magnitude of process noise (= diagonal entries of Q).
# 8    eta      Learning rate.
###########################################################################################################################
#        1          2                3                4                5                6                7                8
#    epoch   nupdates            Pdiag         Poffdiag            Pasym            Kmean                q              eta
###########################################################################################################################
         0          0   1.00000000E+02   0.00000000E+00   0.00000000E+00   0.00000000E+00   1.00000000E-02   1.00000000E-02
         1        110   7.80399380E+01   5.91745362E-01   6.22743025E-13   1.50696862E-02   1.00058526E-03   9.99415078E-02
         2        220   6.21599455E+01   5.86600169E-01   8.45381010E-13   5.25181212E-02   1.00117087E-04   9.98830498E-01
         3        330   5.27786702E+01   5.38413941E-01   1.32144581E-12   3.64768741E-02   1.00175682E-05   1.01995355E+00
         4        440   4.83025578E+01   5.11132071E-01   2.20271914E-12   2.36477344E-02   1.00234311E-06   1.01995355E+00
         5        550   4.53536601E+01   4.93242837E-01   3.12000148E-12   2.08053985E-02   9.81584770E-07   1.01995355E+00
         6        660   4.35038145E+01   4.77571470E-01   3.42520653E-12   1.47933303E-02   9.81584770E-07   1.01995355E+00
         7        770   4.21083889E+01   4.64629933E-01   3.61699117E-12   1.67711579E-02   9.81584770E-07   1.01995355E+00
         8        880   4.11117029E+01   4.54771779E-01   3.69597579E-12   1.10116898E-02   9.81584770E-07   1.01995355E+00
         9        990   4.02570768E+01   4.47815368E-01   3.77197602E-12   1.30465724E-02   9.81584770E-07   1.01995355E+00
        10       1100   3.95677268E+01   4.42025346E-01   3.79189761E-12   1.17587706E-02   9.81584770E-07   1.01995355E+00
        11       1210   3.90021456E+01   4.37743878E-01   3.80266832E-12   1.65004737E-02   9.81584770E-07   1.01995355E+00
        12       1320   3.84692666E+01   4.33640707E-01   3.81942328E-12   1.03412002E-02   9.81584770E-07   1.01995355E+00
        13       1430   3.79491483E+01   4.29737824E-01   3.83535652E-12   9.61043875E-03   9.81584770E-07   1.01995355E+00
        14       1540   3.74395676E+01   4.25772592E-01   3.84296080E-12   9.44501459E-03   9.81584770E-07   1.01995355E+00
        15       1650   3.69757207E+01   4.22169402E-01   3.84677253E-12   9.93364572E-03   9.81584770E-07   1.01995355E+00
        16       1760   3.65529900E+01   4.19244067E-01   3.84832588E-12   9.25304859E-03   9.81584770E-07   1.01995355E+00
        17       1870   3.61946061E+01   4.16839346E-01   3.85036090E-12   8.41176381E-03   9.81584770E-07   1.01995355E+00
        18       1980   3.58399129E+01   4.14436184E-01   3.85361919E-12   8.62877965E-03   9.81584770E-07   1.01995355E+00
        19       2090   3.54965232E+01   4.11978341E-01   3.85426722E-12   1.34095931E-02   9.81584770E-07   1.01995355E+00
        20       2200   3.51807349E+01   4.09738329E-01   3.85493514E-12   8.20845160E-03   9.81584770E-07   1.01995355E+00
        21       2310   3.48720736E+01   4.07460896E-01   3.85776421E-12   8.92546765E-03   9.81584770E-07   1.01995355E+00
        22       2420   3.45875005E+01   4.05521634E-01   3.85946473E-12   8.50402276E-03   9.81584770E-07   1.01995355E+00
        23       2530   3.43057740E+01   4.03453598E-01   3.85990496E-12   1.10706275E-02   9.81584770E-07   1.01995355E+00
        24       2640   3.40120711E+01   4.01392141E-01   3.86058760E-12   6.86909895E-03   9.81584770E-07   1.01995355E+00
        25       2750   3.37327251E+01   3.99434905E-01   3.86137701E-12   9.82217463E-03   9.81584770E-07   1.01995355E+00
        26       2860   3.34892534E+01   3.97642645E-01   3.86185355E-12   7.29202532E-03   9.81584770E-07   1.01995355E+00
        27       2970   3.32483241E+01   3.95879532E-01   3.86157281E-12   6.59966856E-03   9.81584770E-07   1.01995355E+00
        28       3080   3.30113256E+01   3.94168906E-01   3.86210802E-12   7.72505108E-03   9.81584770E-07   1.01995355E+00
        29       3190   3.27849780E+01   3.92444452E-01   3.86244800E-12   6.90632503E-03   9.81584770E-07   1.01995355E+00
        30       3300   3.25581032E+01   3.90729657E-01   3.86281380E-12   6.83099438E-03   9.81584770E-07   1.01995355E+00
        31       3410   3.23422734E+01   3.89055048E-01   3.86328025E-12   6.46775684E-03   9.81584770E-07   1.01995355E+00
        32       3520   3.21338716E+01   3.87463978E-01   3.86354204E-12   7.02987223E-03   9.81584770E-07   1.01995355E+00
        33       3630   3.19238979E+01   3.85751255E-01   3.86356822E-12   6.97726764E-03   9.81584770E-07   1.01995355E+00
        34       3740   3.17182881E+01   3.84112905E-01   3.86370385E-12   7.18490635E-03   9.81584770E-07   1.01995355E+00
        35       3850   3.15322814E+01   3.82638593E-01   3.86394699E-12   6.49561361E-03   9.81584770E-07   1.01995355E+00
        36       3960   3.13348742E+01   3.81081847E-01   3.86412251E-12   7.63486017E-03   9.81584770E-07   1.01995355E+00
        37       4070   3.11452241E+01   3.79548028E-01   3.86418769E-12   7.78616638E-03   9.81584770E-07   1.01995355E+00
        38       4180   3.09571953E+01   3.78031403E-01   3.86415069E-12   6.59563829E-03   9.81584770E-07   1.01995355E+00
        39       4290   3.07833169E+01   3.76539283E-01   3.86436781E-12   6.78066152E-03   9.81584770E-07   1.01995355E+00
        40       4400   3.06165479E+01   3.75161982E-01   3.86455610E-12   5.56519817E-03   9.81584770E-07   1.01995355E+00
        41       4510   3.04616483E+01   3.73900375E-01   3.86458673E-12   6.86130646E-03   9.81584770E-07   1.01995355E+00
        42       4620   3.02992379E+01   3.72528807E-01   3.86474102E-12   5.89047549E-03   9.81584770E-07   1.01995355E+00
        43       4730   3.01422972E+01   3.71226732E-01   3.86486131E-12   6.44354590E-03   9.81584770E-07   1.01995355E+00
        44       4840   2.99843847E+01   3.69927840E-01   3.86489934E-12   4.94409422E-03   9.81584770E-07   1.01995355E+00
        45       4950   2.98283154E+01   3.68636824E-01   3.86508668E-12   6.09462506E-03   9.81584770E-07   1.01995355E+00
        46       5060   2.96837252E+01   3.67437973E-01   3.86520557E-12   5.89567934E-03   9.81584770E-07   1.01995355E+00
        47       5170   2.95443842E+01   3.66269042E-01   3.86540729E-12   6.32951169E-03   9.81584770E-07   1.01995355E+00
        48       5280   2.94019250E+01   3.65021492E-01   3.86542330E-12   5.62126430E-03   9.81584770E-07   1.01995355E+00
        49       5390   2.92718023E+01   3.63881139E-01   3.86559105E-12   5.70729504E-03   9.81584770E-07   1.01995355E+00
        50       5500   2.91433705E+01   3.62757127E-01   3.86577201E-12   5.75930265E-03   9.81584770E-07   1.01995355E+00
