################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  4.5239429270950149E-01 a         1     0     1     1     1
 -4.7797978345538267E-01 a         2     0     1     1     2
  1.1233540335335121E-01 a         3     0     1     1     3
  9.0997458819234989E-01 a         4     0     1     1     4
 -7.3215073976583633E-01 a         5     0     1     1     5
 -3.8782696645066489E-01 a         6     0     1     1     6
  6.5305094258412388E-01 a         7     0     1     1     7
  1.6501815663990052E-01 a         8     0     1     1     8
  4.0353502351147214E-01 a         9     0     1     1     9
  7.1811708424082976E-01 a        10     0     1     1    10
  4.9613440663830527E-02 a        11     0     1     1    11
 -5.2801819171697573E-01 a        12     0     1     1    12
  9.2869299432058194E-01 a        13     0     1     1    13
 -6.5937418431008477E-01 a        14     0     1     1    14
 -5.8492798019967762E-01 a        15     0     1     1    15
 -1.2474391967873073E+00 a        16     0     1     1    16
 -5.5521372094090360E-01 a        17     0     1     1    17
 -6.1799127135141319E-01 a        18     0     1     1    18
 -5.8071954918590041E-01 a        19     0     1     1    19
  1.3243456413513150E-02 a        20     0     1     1    20
  5.4469015537091192E-01 a        21     0     2     1     1
 -4.8259974394410034E-04 a        22     0     2     1     2
  8.2095720176976361E-01 a        23     0     2     1     3
 -4.6481878034855251E-01 a        24     0     2     1     4
  2.4578342119242558E-01 a        25     0     2     1     5
  1.8154138276506404E-01 a        26     0     2     1     6
 -2.9815874617004895E-01 a        27     0     2     1     7
  2.5556111240218560E-01 a        28     0     2     1     8
 -6.5679403111478407E-01 a        29     0     2     1     9
 -2.6527081923830054E-01 a        30     0     2     1    10
  6.2493470111945060E-01 a        31     0     2     1    11
 -4.0791020123750847E-02 a        32     0     2     1    12
  7.3235764154897243E-01 a        33     0     2     1    13
  4.8598054651275052E-01 a        34     0     2     1    14
 -2.9206075529664943E-01 a        35     0     2     1    15
  1.2598822860758249E-01 a        36     0     2     1    16
  1.8748048397780903E-01 a        37     0     2     1    17
  3.1245552932983867E-01 a        38     0     2     1    18
  6.1601621068645929E-01 a        39     0     2     1    19
 -2.0902996222808986E-03 a        40     0     2     1    20
 -4.2585507282642571E-01 a        41     0     3     1     1
 -6.7452133244961443E-01 a        42     0     3     1     2
 -1.0387876255598123E+00 a        43     0     3     1     3
  8.7653552909759647E-01 a        44     0     3     1     4
 -1.7289280745714747E-01 a        45     0     3     1     5
  2.6001505146452647E-01 a        46     0     3     1     6
 -5.2325566732950468E-01 a        47     0     3     1     7
 -5.1262525375280033E-01 a        48     0     3     1     8
  6.7838713832261266E-01 a        49     0     3     1     9
 -6.0251530565949285E-01 a        50     0     3     1    10
  9.4319297040015182E-02 a        51     0     3     1    11
  2.6277672011630576E-01 a        52     0     3     1    12
 -1.2336546956543080E-01 a        53     0     3     1    13
 -7.8101208688932855E-01 a        54     0     3     1    14
 -6.2064802772087445E-02 a        55     0     3     1    15
 -1.8825901671313619E-01 a        56     0     3     1    16
  1.1532703249380989E-01 a        57     0     3     1    17
 -7.3769210445703906E-02 a        58     0     3     1    18
 -1.5698961590217048E-01 a        59     0     3     1    19
  4.6510885124048396E-01 a        60     0     3     1    20
 -6.8282641293710933E-01 a        61     0     4     1     1
  9.8473138969434426E-01 a        62     0     4     1     2
 -2.1282218319818962E-02 a        63     0     4     1     3
  3.7379596327332482E-01 a        64     0     4     1     4
  3.0068954339410014E-01 a        65     0     4     1     5
 -4.0223146849454250E-01 a        66     0     4     1     6
  1.2210119809777067E+00 a        67     0     4     1     7
  2.9019052987370708E-01 a        68     0     4     1     8
  5.5682647392094164E-01 a        69     0     4     1     9
  8.9914904677280594E-01 a        70     0     4     1    10
 -3.2425497588043507E-02 a        71     0     4     1    11
  9.6442054726947585E-02 a        72     0     4     1    12
  1.1374429755323145E+00 a        73     0     4     1    13
  8.6402461469542211E-02 a        74     0     4     1    14
