################################################################################
# Kalman filter status report.
################################################################################
# Col  Name     Description
################################################################################
# 1    epoch    Training epoch.
# 2    nupdates Number of updates performed.
# 3    Pdiag    Mean of absolute diagonal values of error covariance matrix P.
# 4    Poffdiag Mean of absolute off-diagonal values of error covariance matrix P.
# 5    Pasym    Asymmetry of P, i.e. mean of absolute values of asymmetric part 0.5*(P - P^T).
# 6    Kmean    Mean of abolute compontents of Kalman gain matrix K.
# 7    q        Magnitude of process noise (= diagonal entries of Q).
# 8    eta      Learning rate.
###########################################################################################################################
#        1          2                3                4                5                6                7                8
#    epoch   nupdates            Pdiag         Poffdiag            Pasym            Kmean                q              eta
###########################################################################################################################
         0          0   1.00000000E+02   0.00000000E+00   0.00000000E+00   0.00000000E+00   1.00000000E-02   1.00000000E-02
         1         93   7.96385098E+01   5.93455427E-01   6.75808925E-13   1.46403417E-02   1.00058526E-03   9.99415078E-02
         2        186   6.54453093E+01   6.16177454E-01   7.92979180E-13   6.10406596E-02   1.00117087E-04   9.98830498E-01
         3        279   5.57701014E+01   5.80856748E-01   1.04306061E-12   3.40193077E-02   1.00175682E-05   1.02386277E+00
         4        372   5.10142775E+01   5.52999744E-01   1.90954995E-12   2.66963480E-02   1.00234311E-06   1.02386277E+00
         5        465   4.79524133E+01   5.30850671E-01   2.60231130E-12   2.22828922E-02   9.77836974E-07   1.02386277E+00
         6        558   4.59358234E+01   5.15299693E-01   3.38529920E-12   1.86133524E-02   9.77836974E-07   1.02386277E+00
         7        651   4.44952099E+01   5.03509212E-01   3.68100243E-12   1.48891452E-02   9.77836974E-07   1.02386277E+00
         8        744   4.33629554E+01   4.93957922E-01   3.96305019E-12   1.47771100E-02   9.77836974E-07   1.02386277E+00
         9        837   4.24844575E+01   4.86968859E-01   4.10672156E-12   1.50396261E-02   9.77836974E-07   1.02386277E+00
        10        930   4.17173597E+01   4.81734514E-01   4.23164736E-12   1.28257433E-02   9.77836974E-07   1.02386277E+00
        11       1023   4.11723798E+01   4.77584667E-01   4.27553982E-12   1.13477455E-02   9.77836974E-07   1.02386277E+00
        12       1116   4.06046784E+01   4.72904692E-01   4.32379471E-12   1.24920806E-02   9.77836974E-07   1.02386277E+00
        13       1209   4.00841282E+01   4.68706359E-01   4.33763077E-12   1.21178085E-02   9.77836974E-07   1.02386277E+00
        14       1302   3.95400069E+01   4.65498798E-01   4.39746787E-12   9.86013733E-03   9.77836974E-07   1.02386277E+00
        15       1395   3.90619940E+01   4.62126421E-01   4.42190647E-12   9.31379867E-03   9.77836974E-07   1.02386277E+00
