################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  2.2551381612253407E-01 a         1     0     1     1     1
  3.2509898981318652E-01 a         2     0     1     1     2
  7.0873433590523593E-01 a         3     0     1     1     3
 -8.7295101141514087E-01 a         4     0     1     1     4
  1.4902996401787152E-01 a         5     0     1     1     5
 -1.4685349985025983E-01 a         6     0     1     1     6
  3.0201613141479916E-01 a         7     0     1     1     7
 -2.6558409238713221E-01 a         8     0     1     1     8
 -3.1402769755488741E-01 a         9     0     1     1     9
  6.5375188823037966E-01 a        10     0     1     1    10
  5.0457338112629468E-01 a        11     0     1     1    11
 -2.7507347200995586E-01 a        12     0     1     1    12
 -8.0198070229817509E-01 a        13     0     1     1    13
 -6.5394029164870482E-01 a        14     0     1     1    14
  3.3662021540749659E-01 a        15     0     1     1    15
  6.5664880638977530E-01 a        16     0     1     1    16
  6.6527072259150510E-01 a        17     0     1     1    17
  1.9402446133330749E-02 a        18     0     1     1    18
 -2.5735908217036080E-01 a        19     0     1     1    19
  6.3335283589639385E-02 a        20     0     1     1    20
  4.2261289723558998E-01 a        21     0     2     1     1
 -6.7800412753876116E-01 a        22     0     2     1     2
  3.5654776272196814E-01 a        23     0     2     1     3
 -5.7675539848361504E-02 a        24     0     2     1     4
  1.9945778944816842E-01 a        25     0     2     1     5
  2.5612405026028878E-01 a        26     0     2     1     6
  3.4908247827411248E-01 a        27     0     2     1     7
  3.5769513992791907E-01 a        28     0     2     1     8
 -9.3781694245831038E-01 a        29     0     2     1     9
  8.8289934330509712E-01 a        30     0     2     1    10
  3.6597734856295044E-01 a        31     0     2     1    11
 -3.6871794004069869E-01 a        32     0     2     1    12
 -1.9989429797381250E-01 a        33     0     2     1    13
 -3.4196745353528357E-01 a        34     0     2     1    14
  7.0284093044254548E-01 a        35     0     2     1    15
  1.7187270792178921E-01 a        36     0     2     1    16
 -6.9126516779065628E-01 a        37     0     2     1    17
  4.0445571094116778E-01 a        38     0     2     1    18
 -4.1974820715177846E-01 a        39     0     2     1    19
 -2.3579869597805714E-01 a        40     0     2     1    20
 -5.6697459350060475E-01 a        41     0     3     1     1
  1.9068779898271215E-01 a        42     0     3     1     2
 -2.8026818699028622E-01 a        43     0     3     1     3
 -6.2036012918297789E-01 a        44     0     3     1     4
 -2.6320075725728370E-01 a        45     0     3     1     5
  3.3412280317505783E-01 a        46     0     3     1     6
 -3.3819885481723400E-01 a        47     0     3     1     7
 -2.3910141333714149E-01 a        48     0     3     1     8
  3.6750760467873012E-01 a        49     0     3     1     9
 -3.8541647229140713E-01 a        50     0     3     1    10
  3.8166016508829864E-01 a        51     0     3     1    11
 -1.7830621676922104E-01 a        52     0     3     1    12
  4.7411635179987693E-01 a        53     0     3     1    13
 -3.2201306625153409E-01 a        54     0     3     1    14
 -8.8191057071665546E-01 a        55     0     3     1    15
 -2.3149804803646473E-01 a        56     0     3     1    16
  1.8060084179652244E-01 a        57     0     3     1    17
  3.1442009167186957E-01 a        58     0     3     1    18
 -7.7919014093256989E-01 a        59     0     3     1    19
 -9.3237692408342135E-02 a        60     0     3     1    20
  5.8067410967583299E-01 a        61     0     4     1     1
 -3.2762362708621517E-01 a        62     0     4     1     2
  1.5210667568547087E-01 a        63     0     4     1     3
 -4.9037183238940088E-02 a        64     0     4     1     4
 -1.2634942368215046E-01 a        65     0     4     1     5
  1.4708790610342537E-01 a        66     0     4     1     6
 -2.9521137296066535E-01 a        67     0     4     1     7
 -1.6274210445639523E-01 a        68     0     4     1     8
  1.7575574225970073E-01 a        69     0     4     1     9
 -5.3876147185924150E-01 a        70     0     4     1    10
  2.9891749186071659E-01 a        71     0     4     1    11
 -1.5778453082172156E-01 a        72     0     4     1    12
 -5.5903743365324854E-01 a        73     0     4     1    13
  3.9478558319192070E-01 a        74     0     4     1    14
  3.3260950625937841E-01 a        75     0     4     1    15
 -1.0352344518634169E+00 a        76     0     4     1    16
 -2.8800344958509883E-01 a        77     0     4     1    17
 -3.4495886044356716E-01 a        78     0     4     1    18
  1.4196956026628121E-01 a        79     0     4     1    19
  3.2799142698347311E-01 a        80     0     4     1    20
 -6.0308848799009017E-02 a        81     0     5     1     1
  8.2026254685580835E-02 a        82     0     5     1     2
 -2.9803024508785114E-01 a        83     0     5     1     3
  5.1051786606369154E-01 a        84     0     5     1     4
 -4.5450439333714238E-01 a        85     0     5     1     5
  7.6466304443521960E-01 a        86     0     5     1     6
  5.7365494707465332E-02 a        87     0     5     1     7
 -8.2310903224645779E-02 a        88     0     5     1     8
  8.7778413874984940E-01 a        89     0     5     1     9
  3.8971403382559777E-01 a        90     0     5     1    10
 -7.2666553461563255E-01 a        91     0     5     1    11
  4.7276599711135597E-01 a        92     0     5     1    12
 -5.7357720172136706E-01 a        93     0     5     1    13
 -4.6122839936117582E-01 a        94     0     5     1    14
 -2.3099504558135361E-01 a        95     0     5     1    15
 -3.5373823876110844E-01 a        96     0     5     1    16
  5.1806159728243956E-02 a        97     0     5     1    17
 -2.7399576743994073E-02 a        98     0     5     1    18
  4.4207927616190323E-01 a        99     0     5     1    19
  6.8571235934168995E-01 a       100     0     5     1    20
  2.6994863278794035E-01 a       101     0     6     1     1
  3.3873764588025282E-02 a       102     0     6     1     2
 -9.0977791150636766E-01 a       103     0     6     1     3
  1.0792020683112180E-01 a       104     0     6     1     4
 -1.5960211470705110E-01 a       105     0     6     1     5
 -7.2923925597082262E-01 a       106     0     6     1     6
  5.7546616324500954E-01 a       107     0     6     1     7
 -5.7667529453755384E-01 a       108     0     6     1     8
 -7.1449537146040770E-02 a       109     0     6     1     9
 -2.4657200241624064E-01 a       110     0     6     1    10
  4.9482507326085556E-01 a       111     0     6     1    11
 -3.6012972952388561E-01 a       112     0     6     1    12
 -8.9824892526880695E-02 a       113     0     6     1    13
 -2.2927951861403364E-01 a       114     0     6     1    14
 -2.1127038815172636E-01 a       115     0     6     1    15
 -4.3516377420595281E-01 a       116     0     6     1    16
 -2.2002792343514554E-01 a       117     0     6     1    17
  4.5704844563517533E-01 a       118     0     6     1    18
 -1.2481354476029508E-01 a       119     0     6     1    19
 -6.9417682791045254E-01 a       120     0     6     1    20
 -2.9867509208004622E-01 a       121     0     7     1     1
 -7.1677086134408752E-01 a       122     0     7     1     2
  6.8578596502266231E-01 a       123     0     7     1     3
  1.6332108634155448E-01 a       124     0     7     1     4
  2.6039698773833531E-01 a       125     0     7     1     5
 -2.2650410651313377E-01 a       126     0     7     1     6
 -3.7442935821504347E-01 a       127     0     7     1     7
  3.7936993927414836E-01 a       128     0     7     1     8
  2.6847743608317327E-02 a       129     0     7     1     9
  4.9285364978726809E-01 a       130     0     7     1    10
 -5.2822009421679683E-01 a       131     0     7     1    11
  3.6685705905789179E-01 a       132     0     7     1    12
  2.6300971592512923E-01 a       133     0     7     1    13
  6.1892869999597167E-01 a       134     0     7     1    14
 -2.3188254723487076E-01 a       135     0     7     1    15
 -2.0007095881113951E-01 a       136     0     7     1    16
 -4.6391265045412400E-01 a       137     0     7     1    17
 -3.8890796496554114E-01 a       138     0     7     1    18
  5.9439596024462704E-01 a       139     0     7     1    19
 -1.6179385090579829E-01 a       140     0     7     1    20
  6.0876623195185220E-01 a       141     0     8     1     1
  4.5351997692367180E-01 a       142     0     8     1     2
 -5.1231213623238891E-01 a       143     0     8     1     3
  1.3770302565708305E-02 a       144     0     8     1     4
  1.8270969526783776E-01 a       145     0     8     1     5
 -3.1436548315361529E-01 a       146     0     8     1     6
  5.0827548846219217E-01 a       147     0     8     1     7
 -4.4180875524392799E-01 a       148     0     8     1     8
  2.6285347178822666E-01 a       149     0     8     1     9
  4.4305333871537722E-01 a       150     0     8     1    10
  3.3742127973683250E-01 a       151     0     8     1    11
 -4.3999210217832380E-01 a       152     0     8     1    12
  1.6967345384464544E-01 a       153     0     8     1    13
  2.4919115920424634E-01 a       154     0     8     1    14
  5.5341034715009008E-02 a       155     0     8     1    15
 -2.8462301483051161E-01 a       156     0     8     1    16
 -2.5432140603480780E-01 a       157     0     8     1    17
 -6.4055878995552762E-02 a       158     0     8     1    18
