################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  8.7536442644433485E-02 a         1     0     1     1     1
  4.7759690850241893E-01 a         2     0     1     1     2
  6.0503985497798618E-01 a         3     0     1     1     3
 -8.0675202870867535E-01 a         4     0     1     1     4
  2.0068738176665779E-01 a         5     0     1     1     5
 -2.2166485100776287E-01 a         6     0     1     1     6
  3.5207057576031803E-01 a         7     0     1     1     7
 -3.2670293583519017E-01 a         8     0     1     1     8
 -5.1512027174985531E-01 a         9     0     1     1     9
  3.6370669805539324E-01 a        10     0     1     1    10
  6.7669869871803368E-01 a        11     0     1     1    11
 -3.5612202360694006E-01 a        12     0     1     1    12
 -6.1366162198672980E-01 a        13     0     1     1    13
 -6.2618787789781050E-01 a        14     0     1     1    14
  3.6143443220858518E-01 a        15     0     1     1    15
  4.2236948650284462E-01 a        16     0     1     1    16
  7.7145517954922249E-01 a        17     0     1     1    17
  5.6740520482188139E-02 a        18     0     1     1    18
 -2.6410930660779608E-01 a        19     0     1     1    19
 -9.7219319699437361E-04 a        20     0     1     1    20
  3.2465114655102151E-01 a        21     0     2     1     1
 -5.8918040512935443E-01 a        22     0     2     1     2
  3.0828711029613132E-01 a        23     0     2     1     3
 -4.4531765859069525E-02 a        24     0     2     1     4
  5.1699237018138174E-02 a        25     0     2     1     5
 -1.8670716015255742E-02 a        26     0     2     1     6
  4.5335270944713846E-01 a        27     0     2     1     7
  4.8923631178747162E-01 a        28     0     2     1     8
 -7.5530108638970772E-01 a        29     0     2     1     9
  8.3983970665164509E-01 a        30     0     2     1    10
  5.9452458870399738E-01 a        31     0     2     1    11
 -2.5697998171109104E-01 a        32     0     2     1    12
 -3.9983084621756804E-01 a        33     0     2     1    13
 -6.7415751528695711E-01 a        34     0     2     1    14
  9.3306389499032028E-01 a        35     0     2     1    15
 -4.3421364298449200E-02 a        36     0     2     1    16
 -2.2114602490639926E-01 a        37     0     2     1    17
  3.1208598921440062E-01 a        38     0     2     1    18
 -4.1353801140773300E-01 a        39     0     2     1    19
 -4.8214516618175868E-01 a        40     0     2     1    20
 -5.6342668584946187E-01 a        41     0     3     1     1
  5.6708334020000017E-01 a        42     0     3     1     2
 -8.0929307908591763E-02 a        43     0     3     1     3
 -3.0330014494489027E-01 a        44     0     3     1     4
 -5.1981757089198166E-01 a        45     0     3     1     5
  1.6587591145892872E-01 a        46     0     3     1     6
 -5.7463815665747486E-01 a        47     0     3     1     7
 -1.1961925347606536E-01 a        48     0     3     1     8
  1.5221177250085757E-01 a        49     0     3     1     9
 -3.5737916188705510E-01 a        50     0     3     1    10
  2.5287917099808449E-01 a        51     0     3     1    11
 -5.2184288688737535E-01 a        52     0     3     1    12
  3.9351740268241758E-01 a        53     0     3     1    13
 -3.4960556292389355E-01 a        54     0     3     1    14
 -7.8914862314500911E-01 a        55     0     3     1    15
 -3.1624234728071840E-02 a        56     0     3     1    16
  2.0618702299971400E-01 a        57     0     3     1    17
