################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   3.6922240183932642E-02   2.8442876174161835E+00   1.6577327095433994E+00   6.9651374949542744E-01
         1          2   4.0554341220319839E-01   2.5287693649251621E+00   2.1445759887003337E+00   4.0073733222779406E-01
         1          3   7.6977893334520364E-01   3.7568379087260784E+00   1.7909793827501646E+00   5.9944947556727235E-01
         1          4   1.3803221539126782E+00   5.7035195595085639E+00   2.7295843751314712E+00   8.0570098006584012E-01
         1          5   3.7844680483055826E+00   6.3999211824673417E+00   5.3006823245023256E+00   4.3770045343772324E-01
         1          6   3.6696240975710839E+00   7.7753794019567817E+00   6.1678434549163450E+00   8.7855320367581624E-01
         1          7   2.6267054062007915E+00   4.4967563677797786E+00   3.9713441379799934E+00   3.7189699390905906E-01
         1          8   1.4629086207272592E+00   2.1816219752996702E+00   1.6763418708125166E+00   1.1084805459718795E-01
         1          9   4.4366795948543652E-01   8.5812875872320582E-01   5.8829683607500804E-01   7.0453319219525509E-02
         1         10   1.2442866227944663E-01   2.2258568286281799E-01   1.6266268007592985E-01   1.5353918404941045E-02
         1         11   3.6940513070082726E-01   2.4458100695679637E+00   1.2151038396836031E+00   3.5634412366618140E-01
         1         12   1.3800863906147212E+00   4.2318465946056687E+00   2.9555929652700073E+00   5.7378000690697240E-01
         1         13   4.6284055096031611E-02   1.0698400414392197E+00   3.2932197130292890E-01   1.4902162431906313E-01
         1         14   8.2742258425631521E-01   3.0028921842938301E+00   1.8113457930784698E+00   4.0859407010937104E-01
