################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  2.8004518401707268E-01 a         1     0     1     1     1
  6.0869734609834725E-01 a         2     0     1     1     2
  8.3151285543540565E-01 a         3     0     1     1     3
 -7.6904080278115283E-01 a         4     0     1     1     4
  4.5001656194097783E-01 a         5     0     1     1     5
 -2.7715366973637290E-01 a         6     0     1     1     6
  2.5598915509548720E-01 a         7     0     1     1     7
 -1.7407433277126413E-01 a         8     0     1     1     8
 -3.5966534544101320E-01 a         9     0     1     1     9
  6.9310545818470837E-01 a        10     0     1     1    10
  4.6249602146151164E-01 a        11     0     1     1    11
 -2.9329476254631787E-01 a        12     0     1     1    12
 -7.4594227137257085E-01 a        13     0     1     1    13
 -7.1047975161203425E-01 a        14     0     1     1    14
  1.3806859506559116E-01 a        15     0     1     1    15
  6.5315469503331003E-01 a        16     0     1     1    16
  6.6650118059379770E-01 a        17     0     1     1    17
 -2.1258148702512070E-01 a        18     0     1     1    18
 -2.1584842186081929E-01 a        19     0     1     1    19
  9.8064232996118342E-02 a        20     0     1     1    20
  3.2566055313098879E-01 a        21     0     2     1     1
 -6.3938950457518662E-01 a        22     0     2     1     2
  2.2300505156918396E-01 a        23     0     2     1     3
 -1.3102786845465304E-02 a        24     0     2     1     4
 -1.6297905596511789E-01 a        25     0     2     1     5
  1.3858936245402612E-01 a        26     0     2     1     6
  1.9766274605453513E-01 a        27     0     2     1     7
  5.4730651108699624E-01 a        28     0     2     1     8
 -7.5744583807236998E-01 a        29     0     2     1     9
  7.9431214557265051E-01 a        30     0     2     1    10
  4.1009407787905117E-01 a        31     0     2     1    11
 -3.3102446839363625E-01 a        32     0     2     1    12
 -3.4495621901550488E-01 a        33     0     2     1    13
 -5.3515867112545989E-01 a        34     0     2     1    14
  7.7828007836344582E-01 a        35     0     2     1    15
 -6.3725486697881459E-02 a        36     0     2     1    16
 -4.6719013969930101E-01 a        37     0     2     1    17
  4.6520339182520548E-01 a        38     0     2     1    18
 -6.3011794402050503E-01 a        39     0     2     1    19
 -2.2097843775322837E-01 a        40     0     2     1    20
 -7.4938664924464815E-01 a        41     0     3     1     1
  4.1933419262003813E-01 a        42     0     3     1     2
 -1.1888429778022976E-01 a        43     0     3     1     3
 -7.3496100348081805E-01 a        44     0     3     1     4
 -4.8718472326512430E-01 a        45     0     3     1     5
  2.7492093539874690E-01 a        46     0     3     1     6
 -7.8179755312561794E-01 a        47     0     3     1     7
 -3.7314538725821667E-01 a        48     0     3     1     8
 -5.5945614266752819E-02 a        49     0     3     1     9
 -1.0653457359900355E-01 a        50     0     3     1    10
  4.2220021062762325E-01 a        51     0     3     1    11
 -5.6571353256050083E-01 a        52     0     3     1    12
  3.5039185668252792E-01 a        53     0     3     1    13
 -2.9763361558805951E-01 a        54     0     3     1    14
 -6.8089181875311944E-01 a        55     0     3     1    15
 -2.2793630019216801E-01 a        56     0     3     1    16
  3.2371334629359844E-01 a        57     0     3     1    17
  3.0611202458087176E-02 a        58     0     3     1    18
 -5.2600607321809090E-01 a        59     0     3     1    19
  5.9409793090710060E-02 a        60     0     3     1    20
  5.3684926503936803E-01 a        61     0     4     1     1
 -4.3508146627398148E-01 a        62     0     4     1     2
  4.7084327580378532E-02 a        63     0     4     1     3
  5.8998723339794418E-02 a        64     0     4     1     4
  4.2525283368561584E-01 a        65     0     4     1     5
  1.4137161967810458E-01 a        66     0     4     1     6
 -3.4020289566081630E-01 a        67     0     4     1     7
 -5.9567707557016673E-02 a        68     0     4     1     8
  5.7819841365187841E-01 a        69     0     4     1     9
 -6.6498736021775595E-01 a        70     0     4     1    10
  2.7395219522614273E-01 a        71     0     4     1    11
  2.5427264025171670E-01 a        72     0     4     1    12
 -1.4773521693642322E-01 a        73     0     4     1    13
  4.3456829965179711E-01 a        74     0     4     1    14
  1.1603095257199172E-01 a        75     0     4     1    15
 -6.7926954973972498E-01 a        76     0     4     1    16
 -1.2760122527511519E-01 a        77     0     4     1    17
 -5.0393105683870798E-01 a        78     0     4     1    18
 -3.0997631208164900E-01 a        79     0     4     1    19
  4.2591535812018677E-01 a        80     0     4     1    20
  2.3354705930168104E-01 a        81     0     5     1     1
  2.5481041341250638E-01 a        82     0     5     1     2
 -1.8765433428497619E-01 a        83     0     5     1     3
  6.6864471481130394E-01 a        84     0     5     1     4
 -5.1872321064753724E-01 a        85     0     5     1     5
  7.8765031646403960E-01 a        86     0     5     1     6
  1.0744875900153553E-01 a        87     0     5     1     7
 -2.1116596995859307E-01 a        88     0     5     1     8
  7.4989871060101765E-01 a        89     0     5     1     9
  4.8145917517344185E-02 a        90     0     5     1    10
 -7.3365113220722000E-01 a        91     0     5     1    11
  5.0575012181845702E-01 a        92     0     5     1    12
 -4.6129803442497608E-01 a        93     0     5     1    13
 -6.1241014452726816E-01 a        94     0     5     1    14
 -2.6337637164576183E-01 a        95     0     5     1    15
 -6.2134437575671986E-01 a        96     0     5     1    16
 -1.5041492285234465E-01 a        97     0     5     1    17
  2.0778343686503636E-01 a        98     0     5     1    18
  4.9217984801952824E-01 a        99     0     5     1    19
  7.0729405256356404E-01 a       100     0     5     1    20
 -4.0166388740914460E-01 a       101     0     6     1     1
 -4.6829236989260298E-01 a       102     0     6     1     2
 -9.0529573373778893E-01 a       103     0     6     1     3
  2.7818854179682991E-02 a       104     0     6     1     4
  2.7495186176399976E-02 a       105     0     6     1     5
 -3.4163812109721781E-01 a       106     0     6     1     6
  4.2620341110926707E-01 a       107     0     6     1     7
 -5.4672418018580249E-01 a       108     0     6     1     8
 -1.3390635067087975E-01 a       109     0     6     1     9
  1.6072899652673658E-01 a       110     0     6     1    10
  5.1797020813652672E-01 a       111     0     6     1    11
 -3.0995598102647476E-01 a       112     0     6     1    12
 -4.5851645232066696E-01 a       113     0     6     1    13
  8.8036359455819266E-02 a       114     0     6     1    14
  1.2630215359096400E-02 a       115     0     6     1    15
 -1.7002510437327367E-01 a       116     0     6     1    16
 -4.5179999730078035E-01 a       117     0     6     1    17
  5.2912029505171732E-01 a       118     0     6     1    18
 -2.8109987398007789E-02 a       119     0     6     1    19
 -5.6454558553030321E-01 a       120     0     6     1    20
 -1.6350268744398599E-01 a       121     0     7     1     1
 -5.4296052086429425E-01 a       122     0     7     1     2
  4.1833760414994420E-01 a       123     0     7     1     3
  3.8854160920171732E-01 a       124     0     7     1     4
  4.1854797878223748E-01 a       125     0     7     1     5
 -8.1018975842451532E-02 a       126     0     7     1     6
 -3.5706360142993793E-01 a       127     0     7     1     7
  3.2968720249390193E-01 a       128     0     7     1     8
 -2.3781110935097322E-01 a       129     0     7     1     9
  4.3367524088537029E-01 a       130     0     7     1    10
 -4.2726128406957981E-01 a       131     0     7     1    11
  9.0239701489458670E-03 a       132     0     7     1    12
  5.3992005055432890E-01 a       133     0     7     1    13
