################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.5387161456682966E-01 a         1     0     1     1     1
  5.6615887702941381E-01 a         2     0     1     1     2
  7.0829279796837752E-01 a         3     0     1     1     3
 -7.4695494683941099E-01 a         4     0     1     1     4
  2.9607118108501945E-01 a         5     0     1     1     5
 -2.0197052687649417E-01 a         6     0     1     1     6
  2.7682261895390270E-01 a         7     0     1     1     7
 -8.5129297391344436E-02 a         8     0     1     1     8
 -2.3656114931886171E-01 a         9     0     1     1     9
  4.2665728272750519E-01 a        10     0     1     1    10
  5.0254356906657893E-01 a        11     0     1     1    11
 -6.0023445230350381E-01 a        12     0     1     1    12
 -6.0862663564768948E-01 a        13     0     1     1    13
 -6.6828653940205007E-01 a        14     0     1     1    14
  2.1983706485679924E-01 a        15     0     1     1    15
  6.0038752430717424E-01 a        16     0     1     1    16
  6.3844476902628411E-01 a        17     0     1     1    17
  3.4336541479898217E-02 a        18     0     1     1    18
 -1.7936341789693341E-01 a        19     0     1     1    19
 -8.9156373553690035E-02 a        20     0     1     1    20
  3.1694245799951509E-01 a        21     0     2     1     1
 -5.8284770116116746E-01 a        22     0     2     1     2
  1.5041502054636693E-01 a        23     0     2     1     3
  5.0986107630068563E-02 a        24     0     2     1     4
  5.8900486974003623E-02 a        25     0     2     1     5
 -2.9664560602585738E-02 a        26     0     2     1     6
  2.6529323977427621E-01 a        27     0     2     1     7
  4.1668193926821046E-01 a        28     0     2     1     8
 -7.7500756728819487E-01 a        29     0     2     1     9
  6.2609962036890443E-01 a        30     0     2     1    10
  4.5830646354117871E-01 a        31     0     2     1    11
 -2.3720924179011343E-01 a        32     0     2     1    12
 -2.9216017283778389E-01 a        33     0     2     1    13
 -4.8743961089779125E-01 a        34     0     2     1    14
  5.7405608004819497E-01 a        35     0     2     1    15
  2.2710519157375930E-01 a        36     0     2     1    16
 -3.2495336559985938E-01 a        37     0     2     1    17
  3.0206638649335021E-01 a        38     0     2     1    18
 -5.5589139083334971E-01 a        39     0     2     1    19
 -3.6305355213227691E-01 a        40     0     2     1    20
 -4.2488466855098767E-01 a        41     0     3     1     1
  2.0909290089018473E-01 a        42     0     3     1     2
 -1.3491256798807880E-01 a        43     0     3     1     3
