################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -5.7421819914254074E-02 a         1     0     1     1     1
  2.4368333411145474E-01 a         2     0     1     1     2
 -5.6887973230277389E-01 a         3     0     1     1     3
 -1.3060393483180213E-01 a         4     0     1     1     4
 -6.3145493644566723E-03 a         5     0     1     1     5
  6.5281501673877607E-01 a         6     0     1     1     6
 -1.7222786477471297E-01 a         7     0     1     1     7
  1.9355485597039629E-01 a         8     0     1     1     8
 -6.2199856423904243E-01 a         9     0     1     1     9
  3.5278107128191835E-02 a        10     0     1     1    10
  1.3629690070973841E-01 a        11     0     1     1    11
 -5.0685002836475493E-02 a        12     0     1     1    12
  5.6848964076487962E-01 a        13     0     1     1    13
 -7.0467800942683545E-01 a        14     0     1     1    14
 -3.1546849523155363E-01 a        15     0     1     1    15
  6.1267761943948174E-01 a        16     0     1     1    16
  1.2525532817198751E-01 a        17     0     1     1    17
 -3.6001864671887311E-02 a        18     0     1     1    18
 -1.7851936929470219E-01 a        19     0     1     1    19
 -4.7630264271134920E-01 a        20     0     1     1    20
 -5.8325255352129668E-01 a        21     0     2     1     1
  4.3195922954105259E-01 a        22     0     2     1     2
  4.6699018254595009E-01 a        23     0     2     1     3
 -5.8249139511717640E-01 a        24     0     2     1     4
 -3.9933592208251095E-01 a        25     0     2     1     5
 -6.6170788787541346E-01 a        26     0     2     1     6
 -1.5103340778665514E-01 a        27     0     2     1     7
 -1.5480596941975305E-01 a        28     0     2     1     8
  2.6027632004159013E-01 a        29     0     2     1     9
 -5.5485610524585693E-01 a        30     0     2     1    10
 -1.6483125489436679E-01 a        31     0     2     1    11
 -5.5409000343956050E-01 a        32     0     2     1    12
  6.4509459352431553E-01 a        33     0     2     1    13
 -3.8093795631809391E-01 a        34     0     2     1    14
 -5.3334018675664563E-01 a        35     0     2     1    15
 -2.9871733486149626E-01 a        36     0     2     1    16
  5.0172553138379941E-02 a        37     0     2     1    17
 -2.3884363964753361E-01 a        38     0     2     1    18
  4.0943430794285496E-01 a        39     0     2     1    19
  2.9078209767418711E-01 a        40     0     2     1    20
 -1.3917371500640591E-01 a        41     0     3     1     1
 -3.7320394158201287E-01 a        42     0     3     1     2
 -2.9470480871150273E-01 a        43     0     3     1     3
  2.1711506465662306E-01 a        44     0     3     1     4
 -2.1700289543809806E-01 a        45     0     3     1     5
 -7.3757630683418701E-02 a        46     0     3     1     6
  3.8384161447961590E-01 a        47     0     3     1     7
  4.0654963568273123E-01 a        48     0     3     1     8
 -9.7071152192751295E-02 a        49     0     3     1     9
  3.4541993094200651E-01 a        50     0     3     1    10
  6.7700095500221935E-01 a        51     0     3     1    11
  3.7756123315875956E-01 a        52     0     3     1    12
 -3.5554668183557608E-01 a        53     0     3     1    13
  2.9876072920495866E-01 a        54     0     3     1    14
  2.0052437491922331E-01 a        55     0     3     1    15
  3.9815145707379240E-01 a        56     0     3     1    16
  6.5874735506591209E-01 a        57     0     3     1    17
 -5.2972123968159923E-01 a        58     0     3     1    18
 -2.8288208629435801E-01 a        59     0     3     1    19
  2.3700658682985190E-01 a        60     0     3     1    20
  7.5080430527418840E-01 a        61     0     4     1     1
 -3.9910300264546161E-01 a        62     0     4     1     2
  1.0105017509260338E-01 a        63     0     4     1     3
  5.9747465914593278E-01 a        64     0     4     1     4
  8.5086416651708519E-01 a        65     0     4     1     5
  4.8715674399063968E-01 a        66     0     4     1     6
  3.4531520681046762E-01 a        67     0     4     1     7
 -1.7374543611476523E-01 a        68     0     4     1     8
 -3.1083915458920558E-01 a        69     0     4     1     9
  4.9599947864584215E-01 a        70     0     4     1    10
