################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   3.6922240183932642E-02   2.8442876174161835E+00   1.6836747621717099E+00   6.6171086826473668E-01
         1          2   4.0554341220319839E-01   2.5511009071058925E+00   2.1748126900438840E+00   3.6817139972688429E-01
         1          3   7.6977893334520364E-01   3.7568379087260784E+00   1.7862777231238600E+00   5.8989612953412318E-01
         1          4   1.3803221539126782E+00   5.7185377414542113E+00   2.7256988591209432E+00   7.8834255871264713E-01
         1          5   3.7844680483055826E+00   6.3999211824673417E+00   5.3496603020137492E+00   4.2104118608983049E-01
         1          6   3.6696240975710839E+00   7.7753794019567817E+00   6.2311461329212632E+00   8.1819852346784261E-01
         1          7   2.5306303798137946E+00   4.5051416133192994E+00   4.0002971474752371E+00   3.4365791565597281E-01
         1          8   1.4544280679760824E+00   2.1816219752996702E+00   1.6814029878178882E+00   1.1507619827325490E-01
         1          9   4.3419769010924714E-01   8.5812875872320582E-01   5.8953538727914157E-01   7.0206493883661764E-02
         1         10   1.2442866227944663E-01   2.2258568286281799E-01   1.6362307107789814E-01   1.5455497715794244E-02
         1         11   3.6940513070082726E-01   2.4649777187457307E+00   1.2349684492190176E+00   3.4626720047271237E-01
         1         12   1.3800863906147212E+00   4.2318465946056687E+00   3.0018741180662660E+00   5.3296002013399268E-01
         1         13   4.6284055096031611E-02   1.0698400414392197E+00   3.3594058997386916E-01   1.4712826949332447E-01
         1         14   8.2742258425631521E-01   3.0028921842938301E+00   1.8415930710876129E+00   3.8677936484510467E-01
