################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   8.5178565187342556E-02   2.8442876174161835E+00   1.8287733533523975E+00   6.1036700435869817E-01
         1          2   6.8594571632058221E-01   2.5276037904266722E+00   2.2350592133657763E+00   2.9491733518737340E-01
         1          3   7.6977893334520364E-01   3.7568379087260784E+00   1.6735712875113120E+00   5.6684588357495369E-01
         1          4   1.4970456551142091E+00   5.7035195595085639E+00   2.6105432575961180E+00   7.2452671370558741E-01
         1          5   3.7844680483055826E+00   6.3999211824673417E+00   5.4521160346965187E+00   4.2321023952126063E-01
         1          6   3.7049688526880868E+00   7.7753794019567817E+00   6.4439561275643378E+00   7.3820934652148240E-01
         1          7   2.6521255482373962E+00   4.4847171563073545E+00   4.0692340452682769E+00   2.8876652713433321E-01
         1          8   1.4629086207272592E+00   2.1692221515427716E+00   1.6657268783006753E+00   1.1438992395244568E-01
         1          9   4.4366795948543652E-01   8.5812875872320582E-01   5.8159973225695250E-01   6.4606317936817675E-02
         1         10   1.2442866227944663E-01   2.2258568286281799E-01   1.6368746844322388E-01   1.5089249174594791E-02
         1         11   4.2864984208798734E-01   2.3211803065379049E+00   1.2931467585970866E+00   3.3104424254655962E-01
         1         12   1.3800863906147212E+00   4.2318465946056687E+00   3.1419769160607167E+00   4.9344473214188272E-01
         1         13   6.4349552154852982E-02   1.0698400414392197E+00   3.4951191628474682E-01   1.4276176359520365E-01
         1         14   8.2742258425631521E-01   2.9901348905795180E+00   1.9217074315473750E+00   3.5860304243660618E-01
