################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   8.5178565187342556E-02   2.8442876174161835E+00   1.7397253984718297E+00   6.7928105508065262E-01
         1          2   6.8331408291564277E-01   2.5276037904266722E+00   2.1777307428150876E+00   3.7077900016332721E-01
         1          3   7.6977893334520364E-01   3.7568379087260784E+00   1.7286851906827829E+00   5.9424488887325133E-01
         1          4   1.4970456551142091E+00   5.7035195595085639E+00   2.6690402959353228E+00   7.8110401791168693E-01
         1          5   3.7844680483055826E+00   6.3999211824673417E+00   5.3626943165549381E+00   4.4779028447682900E-01
         1          6   3.7049688526880868E+00   7.7753794019567817E+00   6.2902151417792505E+00   8.5265578314156398E-01
         1          7   2.6521255482373962E+00   4.4847171563073545E+00   4.0113942221576222E+00   3.5059680941274263E-01
         1          8   1.4629086207272592E+00   2.1692221515427716E+00   1.6681349512275714E+00   1.1203774991771524E-01
         1          9   4.4366795948543652E-01   8.5812875872320582E-01   5.8408782161079686E-01   6.8334196009300130E-02
         1         10   1.2442866227944663E-01   2.2258568286281799E-01   1.6282523362214338E-01   1.5334473220860807E-02
         1         11   4.2864984208798734E-01   2.3364661177787132E+00   1.2490666926349097E+00   3.5211483671127730E-01
         1         12   1.3800863906147212E+00   4.2318465946056687E+00   3.0378317188240498E+00   5.6506371277155976E-01
         1         13   6.4349552154852982E-02   1.0698400414392197E+00   3.3742548917850296E-01   1.4776186079306539E-01
         1         14   8.2742258425631521E-01   3.0028921842938301E+00   1.8582891320347528E+00   4.0048807487239863E-01
