################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   3.6922240183932642E-02   2.8442876174161835E+00   1.6985209206994709E+00   6.8483447026307853E-01
         1          2   4.0554341220319839E-01   2.5286328638147904E+00   2.1655502537135933E+00   3.8537925173861082E-01
         1          3   7.6977893334520364E-01   3.7568379087260784E+00   1.7627619277585365E+00   5.9549531749467233E-01
         1          4   1.3803221539126782E+00   5.7035195595085639E+00   2.7005991718013744E+00   7.9387129178572091E-01
         1          5   3.7844680483055826E+00   6.3999211824673417E+00   5.3327763910065649E+00   4.3515855539092080E-01
         1          6   3.6696240975710839E+00   7.7753794019567817E+00   6.2296206822502427E+00   8.5710832736332809E-01
         1          7   2.6521255482373962E+00   4.4967563677797786E+00   3.9941576404914705E+00   3.5835130508021157E-01
         1          8   1.4629086207272592E+00   2.1816219752996702E+00   1.6742481948457901E+00   1.1289849600989754E-01
         1          9   4.4366795948543652E-01   8.5812875872320582E-01   5.8653688101826373E-01   7.0103605155948170E-02
         1         10   1.2442866227944663E-01   2.2258568286281799E-01   1.6269836765573298E-01   1.5394628424422050E-02
         1         11   3.6940513070082726E-01   2.4458100695679637E+00   1.2335387315774233E+00   3.5418054153479561E-01
         1         12   1.3800863906147212E+00   4.2318465946056687E+00   2.9991549794046262E+00   5.6216612566464530E-01
         1         13   4.6284055096031611E-02   1.0698400414392197E+00   3.3455130490156548E-01   1.4966422646569116E-01
         1         14   8.2742258425631521E-01   3.0028921842938301E+00   1.8376727588337123E+00   4.0287082332671220E-01
