################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.7712080914358222E-01 a         1     0     1     1     1
  4.9415887958259891E-01 a         2     0     1     1     2
  8.2530822499056611E-01 a         3     0     1     1     3
 -8.6701336794636319E-01 a         4     0     1     1     4
  4.6253401329939975E-01 a         5     0     1     1     5
 -2.3630790420148018E-01 a         6     0     1     1     6
  4.2869728614413577E-01 a         7     0     1     1     7
 -4.9334825072890061E-02 a         8     0     1     1     8
 -2.8800694349880540E-01 a         9     0     1     1     9
  5.6843323131235568E-01 a        10     0     1     1    10
  4.3627573469197539E-01 a        11     0     1     1    11
 -3.4118831263319710E-01 a        12     0     1     1    12
 -6.8447623041364491E-01 a        13     0     1     1    13
 -5.7895135016216059E-01 a        14     0     1     1    14
  1.6577562370888260E-01 a        15     0     1     1    15
  5.2689622847768169E-01 a        16     0     1     1    16
  5.5392850334348653E-01 a        17     0     1     1    17
 -2.3424983703972946E-01 a        18     0     1     1    18
 -1.4678870818263778E-01 a        19     0     1     1    19
  1.5440802492663303E-01 a        20     0     1     1    20
  2.3642950473762556E-01 a        21     0     2     1     1
 -4.3294360383965069E-01 a        22     0     2     1     2
  4.0567893065345978E-01 a        23     0     2     1     3
  5.4551928834422704E-02 a        24     0     2     1     4
 -1.8493182693782865E-02 a        25     0     2     1     5
  1.8561177076592175E-01 a        26     0     2     1     6
  3.2801013193436251E-01 a        27     0     2     1     7
  3.7858314502060092E-01 a        28     0     2     1     8
 -7.2780572357585993E-01 a        29     0     2     1     9
  6.7333151182838924E-01 a        30     0     2     1    10
  3.7473908297162095E-01 a        31     0     2     1    11
