################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  2.9034597265996224E-02 a         1     0     1     1     1
  3.0885120170467467E-01 a         2     0     1     1     2
 -6.0891611450136274E-01 a         3     0     1     1     3
 -1.8958555825705686E-02 a         4     0     1     1     4
  5.6520294096132045E-02 a         5     0     1     1     5
  6.4113392359382604E-01 a         6     0     1     1     6
 -1.0168978248285920E-01 a         7     0     1     1     7
  3.9154025284239259E-02 a         8     0     1     1     8
 -8.1913314245179447E-01 a         9     0     1     1     9
 -2.4302455819785143E-02 a        10     0     1     1    10
  2.4029689812187255E-01 a        11     0     1     1    11
 -1.2116103573600694E-01 a        12     0     1     1    12
  5.8016423095080760E-01 a        13     0     1     1    13
 -6.5935859616784298E-01 a        14     0     1     1    14
 -1.3216632713104484E-02 a        15     0     1     1    15
  4.0166194706962327E-01 a        16     0     1     1    16
  1.6517062721572131E-02 a        17     0     1     1    17
  8.9009149157282752E-02 a        18     0     1     1    18
 -2.2402186762113233E-01 a        19     0     1     1    19
 -3.7725525385289893E-01 a        20     0     1     1    20
 -7.2227365078543815E-01 a        21     0     2     1     1
  4.5059552039602357E-01 a        22     0     2     1     2
  2.1896764027890886E-01 a        23     0     2     1     3
 -5.2789363469769279E-01 a        24     0     2     1     4
 -8.5888488701325746E-02 a        25     0     2     1     5
 -6.2888478485256982E-01 a        26     0     2     1     6
 -3.3133411269851565E-01 a        27     0     2     1     7
 -3.6649917940724097E-01 a        28     0     2     1     8
  1.3691299227069195E-01 a        29     0     2     1     9
 -5.5860521102228078E-01 a        30     0     2     1    10
 -2.6056470391178144E-01 a        31     0     2     1    11
 -5.6526954802251261E-01 a        32     0     2     1    12
  6.7028625136856812E-01 a        33     0     2     1    13
 -4.8846634154496149E-01 a        34     0     2     1    14
 -3.9678313431895446E-01 a        35     0     2     1    15
 -1.5415213233466049E-01 a        36     0     2     1    16
  9.7989139221269672E-02 a        37     0     2     1    17
 -2.5759076404440356E-01 a        38     0     2     1    18
  3.1637100350697756E-01 a        39     0     2     1    19
  1.6512361373542217E-01 a        40     0     2     1    20
 -4.8516278079855202E-02 a        41     0     3     1     1
 -4.1131933728814601E-01 a        42     0     3     1     2
 -2.8518919767996853E-01 a        43     0     3     1     3
  3.0652237792282749E-01 a        44     0     3     1     4
 -1.2223035478478657E-01 a        45     0     3     1     5
 -6.4340992493112092E-03 a        46     0     3     1     6
  1.0081668090528557E-01 a        47     0     3     1     7
  6.5781130679683797E-01 a        48     0     3     1     8
 -1.2459114413815781E-01 a        49     0     3     1     9
  2.6141587153740492E-01 a        50     0     3     1    10
  6.2811445212843731E-01 a        51     0     3     1    11
  4.4402259921339982E-01 a        52     0     3     1    12
 -3.4489336433562490E-01 a        53     0     3     1    13
  1.6819507588801497E-01 a        54     0     3     1    14
  2.6730139059131819E-01 a        55     0     3     1    15
  6.3087446234673794E-01 a        56     0     3     1    16
  5.0941186844378472E-01 a        57     0     3     1    17
 -4.6009184471203796E-01 a        58     0     3     1    18
 -2.0095489551828805E-01 a        59     0     3     1    19
  2.3253815484829435E-01 a        60     0     3     1    20
  8.0738134413492257E-01 a        61     0     4     1     1
 -4.6663366082430519E-01 a        62     0     4     1     2
  1.0633381441756451E-01 a        63     0     4     1     3
  7.1724558565318552E-01 a        64     0     4     1     4
  9.0960434404519408E-01 a        65     0     4     1     5
  5.5345241260417311E-01 a        66     0     4     1     6
  5.1070818720898536E-01 a        67     0     4     1     7
 -1.2658343977606795E-01 a        68     0     4     1     8
 -5.2027170240322973E-01 a        69     0     4     1     9
  6.1623172696917061E-01 a        70     0     4     1    10
 -7.1023553771561709E-01 a        71     0     4     1    11
  4.7018973503642192E-01 a        72     0     4     1    12
  5.8632757274728753E-01 a        73     0     4     1    13
 -1.0232293819510098E-01 a        74     0     4     1    14
  3.2033548441264292E-01 a        75     0     4     1    15
 -4.3965536605913108E-01 a        76     0     4     1    16
  1.9669225444077623E-01 a        77     0     4     1    17
 -2.1601878375812406E-01 a        78     0     4     1    18
  4.0498461715215811E-01 a        79     0     4     1    19
  3.8777636873585231E-01 a        80     0     4     1    20
 -3.8525193582531603E-01 a        81     0     5     1     1
  2.0699741511812128E-01 a        82     0     5     1     2
 -1.5745498170768280E-01 a        83     0     5     1     3
  2.9970720500583065E-01 a        84     0     5     1     4
 -7.9459307074460350E-01 a        85     0     5     1     5
 -6.2709543205730300E-01 a        86     0     5     1     6
 -5.0308468560298025E-01 a        87     0     5     1     7
  1.6040859046771624E-01 a        88     0     5     1     8
 -4.2905142758514736E-01 a        89     0     5     1     9
  5.5589647707542666E-01 a        90     0     5     1    10
 -2.5199094083710583E-01 a        91     0     5     1    11
  4.4571009563336428E-01 a        92     0     5     1    12
  7.2917511098628551E-01 a        93     0     5     1    13
