################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -8.6535208215435797E-02 a         1     0     1     1     1
  1.2475864668285948E-01 a         2     0     1     1     2
  1.8519147459230742E-01 a         3     0     1     1     3
  5.5807213715813736E-03 a         4     0     1     1     4
  6.8697764683011731E-01 a         5     0     1     1     5
  4.8747955049145253E-01 a         6     0     1     1     6
  5.4040208076101526E-01 a         7     0     1     1     7
 -5.8982199311364736E-01 a         8     0     1     1     8
  8.4894491789425552E-01 a         9     0     1     1     9
 -1.4459577188305939E-01 a        10     0     1     1    10
  5.0322543314097212E-01 a        11     0     1     1    11
  2.3876235966931919E-01 a        12     0     1     1    12
 -1.2062671448317520E-01 a        13     0     1     1    13
 -3.2059632908065527E-01 a        14     0     1     1    14
  7.7170008629655520E-02 a        15     0     1     1    15
  3.7198375182116439E-01 a        16     0     1     1    16
  5.1135610191251468E-01 a        17     0     1     1    17
  8.6603791696589527E-01 a        18     0     1     1    18
 -4.9492350643868527E-01 a        19     0     1     1    19
 -4.1692663345542791E-01 a        20     0     1     1    20
 -1.0142012711626273E-01 a        21     0     2     1     1
  4.9172205058768353E-01 a        22     0     2     1     2
  8.2659903971109017E-01 a        23     0     2     1     3
  5.2857154072178680E-01 a        24     0     2     1     4
  6.7559871950475425E-01 a        25     0     2     1     5
 -2.6058285534673198E-01 a        26     0     2     1     6
 -5.3884645026732547E-01 a        27     0     2     1     7
 -6.9440347312953021E-01 a        28     0     2     1     8
 -6.0105964382491006E-01 a        29     0     2     1     9
  4.7089367997933018E-01 a        30     0     2     1    10
  1.0317693723635524E+00 a        31     0     2     1    11
  5.7656686065207308E-01 a        32     0     2     1    12
 -6.7648794840931031E-02 a        33     0     2     1    13
 -9.3842473838141338E-01 a        34     0     2     1    14
 -3.7361194745009979E-01 a        35     0     2     1    15
  3.7176498072889791E-01 a        36     0     2     1    16
  4.7677573832849862E-01 a        37     0     2     1    17
  4.2646389992537276E-01 a        38     0     2     1    18
 -2.1237296868524683E-01 a        39     0     2     1    19
 -4.2932639482485141E-01 a        40     0     2     1    20
 -3.1614247428852910E-01 a        41     0     3     1     1
 -6.4103955767524845E-01 a        42     0     3     1     2
 -1.5001625311789632E-01 a        43     0     3     1     3
 -6.8981012087092330E-01 a        44     0     3     1     4
 -5.3589514469175725E-01 a        45     0     3     1     5
  1.6507178822343455E-01 a        46     0     3     1     6
 -6.2877157865344491E-01 a        47     0     3     1     7
 -1.5657773165619301E-01 a        48     0     3     1     8
  6.9078706291795411E-01 a        49     0     3     1     9
 -3.4964248854130531E-01 a        50     0     3     1    10
 -1.9051415854022971E-01 a        51     0     3     1    11
  4.3691717218560244E-01 a        52     0     3     1    12
  1.0437793718971733E-01 a        53     0     3     1    13
 -2.2477449558322535E-01 a        54     0     3     1    14
  7.7771332104966895E-01 a        55     0     3     1    15
  7.2763772088338383E-02 a        56     0     3     1    16
 -3.3038214269798427E-01 a        57     0     3     1    17
 -2.4555480001509614E-01 a        58     0     3     1    18
  4.7268703101101511E-01 a        59     0     3     1    19
 -1.5290695348618519E-01 a        60     0     3     1    20
  9.5581331914637568E-01 a        61     0     4     1     1
 -8.8509387146965740E-02 a        62     0     4     1     2
 -4.4596670017512613E-01 a        63     0     4     1     3
  6.2916334999361767E-01 a        64     0     4     1     4
 -6.7222937632861512E-01 a        65     0     4     1     5
  5.5667260743573277E-01 a        66     0     4     1     6
 -2.4837848420040065E-01 a        67     0     4     1     7
 -6.8305976323166817E-01 a        68     0     4     1     8
  3.4619119193098036E-01 a        69     0     4     1     9
 -3.2060536868170630E-01 a        70     0     4     1    10
  7.1672083196551251E-01 a        71     0     4     1    11
 -3.1029882017635507E-01 a        72     0     4     1    12
 -1.1172155335483701E-01 a        73     0     4     1    13
 -1.6422655596780422E-01 a        74     0     4     1    14
 -3.2005441585079325E-01 a        75     0     4     1    15
 -2.4840803755600682E-01 a        76     0     4     1    16
 -5.9067989233593278E-02 a        77     0     4     1    17
 -3.6322414990190349E-01 a        78     0     4     1    18
 -1.0887281934672260E-01 a        79     0     4     1    19
 -3.7619558148649096E-01 a        80     0     4     1    20
  2.2935906707843284E-01 a        81     0     5     1     1
  4.0312978033082106E-02 a        82     0     5     1     2
  4.7209309324885212E-01 a        83     0     5     1     3
  4.3483778743713608E-01 a        84     0     5     1     4
 -3.0248083018003816E-02 a        85     0     5     1     5
  8.2725101850315141E-01 a        86     0     5     1     6
 -2.1202820726514846E-01 a        87     0     5     1     7
  3.4126706726116451E-02 a        88     0     5     1     8
  3.9047108135483299E-01 a        89     0     5     1     9
 -2.1439743784072082E-01 a        90     0     5     1    10
  4.8870312483548484E-01 a        91     0     5     1    11
 -6.1714432561100041E-01 a        92     0     5     1    12
  5.4332133509299330E-01 a        93     0     5     1    13
  2.9069636770059443E-02 a        94     0     5     1    14
  2.4733371000374957E-01 a        95     0     5     1    15
 -4.3118848308857710E-01 a        96     0     5     1    16
 -4.2804510028085191E-01 a        97     0     5     1    17
  1.3917238580568592E-01 a        98     0     5     1    18
  1.9122879183717809E-01 a        99     0     5     1    19
 -5.7846891624679306E-03 a       100     0     5     1    20
 -6.2505133797850654E-01 a       101     0     6     1     1
 -8.7043198130063748E-01 a       102     0     6     1     2
  2.2441331822731314E-01 a       103     0     6     1     3
 -1.3325089949125921E-01 a       104     0     6     1     4
 -1.7154603936352339E-01 a       105     0     6     1     5
 -2.6318922758255597E-01 a       106     0     6     1     6
  9.6478762742130492E-02 a       107     0     6     1     7
 -4.3122315332679673E-01 a       108     0     6     1     8
 -4.5386253079646904E-01 a       109     0     6     1     9
 -6.7284023882033706E-01 a       110     0     6     1    10
  3.9042941911054235E-01 a       111     0     6     1    11
  6.1303727925336193E-01 a       112     0     6     1    12
 -7.0348164003684066E-01 a       113     0     6     1    13
 -7.4162360615112791E-02 a       114     0     6     1    14
  3.8225004852214328E-01 a       115     0     6     1    15
  6.5006573628553055E-01 a       116     0     6     1    16
  1.3175814174574327E-01 a       117     0     6     1    17
  2.0048943883261175E-01 a       118     0     6     1    18
 -7.4103391939626995E-01 a       119     0     6     1    19
 -6.3889923805987792E-01 a       120     0     6     1    20
  3.5986869741364214E-01 a       121     0     7     1     1
 -1.6158928493488986E-01 a       122     0     7     1     2
  5.4508595134588500E-01 a       123     0     7     1     3
 -7.6767773706532205E-02 a       124     0     7     1     4
 -7.2697506918881638E-01 a       125     0     7     1     5
  5.4685743720928111E-02 a       126     0     7     1     6
 -4.1174326930156921E-02 a       127     0     7     1     7
 -3.8158629679354655E-02 a       128     0     7     1     8
 -5.8242959257375870E-01 a       129     0     7     1     9
  9.7716007032426749E-02 a       130     0     7     1    10
 -1.4751573271468471E-01 a       131     0     7     1    11
 -4.7789511899241452E-02 a       132     0     7     1    12
 -8.8815710162672967E-01 a       133     0     7     1    13
 -9.4364285114813151E-02 a       134     0     7     1    14
  3.7271168279364186E-01 a       135     0     7     1    15
 -3.8833149193885996E-01 a       136     0     7     1    16
 -4.3501894521476053E-01 a       137     0     7     1    17
  3.5412932864157098E-01 a       138     0     7     1    18
  6.1738174803719215E-01 a       139     0     7     1    19
  1.0062616510975670E+00 a       140     0     7     1    20
  7.3347690784816566E-01 a       141     0     8     1     1
  5.5395330954091926E-01 a       142     0     8     1     2
 -4.6734048105132331E-01 a       143     0     8     1     3
 -4.2526760539466485E-01 a       144     0     8     1     4
 -6.9569100015166196E-01 a       145     0     8     1     5
  5.6857101336963189E-01 a       146     0     8     1     6
 -3.4752297382207381E-01 a       147     0     8     1     7
  3.1170053336506259E-01 a       148     0     8     1     8
 -7.6752315685178674E-01 a       149     0     8     1     9
  9.3173076184101733E-01 a       150     0     8     1    10
  6.0987288126359862E-01 a       151     0     8     1    11
  3.8641683977571245E-01 a       152     0     8     1    12
  3.5471760809507431E-02 a       153     0     8     1    13
 -2.7653366924443104E-02 a       154     0     8     1    14
 -3.1850809670644870E-01 a       155     0     8     1    15
  1.4611796888624173E-01 a       156     0     8     1    16
 -1.9862802307196392E-01 a       157     0     8     1    17
  4.7404166570103096E-01 a       158     0     8     1    18
 -2.0168888290859374E-01 a       159     0     8     1    19
 -2.1751529054687957E-01 a       160     0     8     1    20
 -3.4884438860707767E-01 a       161     0     9     1     1
  1.6297127862351260E-01 a       162     0     9     1     2
  2.9723108474175203E-01 a       163     0     9     1     3
  1.4531709847718585E-01 a       164     0     9     1     4
  3.6572250496915765E-01 a       165     0     9     1     5
 -4.0395410603897441E-01 a       166     0     9     1     6
 -1.1153315501653593E+00 a       167     0     9     1     7
 -5.7386463742114813E-01 a       168     0     9     1     8
  2.2181636283912723E-01 a       169     0     9     1     9
 -3.8366295547704699E-01 a       170     0     9     1    10
 -2.8522035952794794E-01 a       171     0     9     1    11
 -3.0626308806983049E-01 a       172     0     9     1    12
 -2.4993585225933887E-01 a       173     0     9     1    13
 -6.9050628837584532E-02 a       174     0     9     1    14
 -2.9633029438021197E-01 a       175     0     9     1    15
  3.0501034193303234E-01 a       176     0     9     1    16
 -5.9951371111000773E-01 a       177     0     9     1    17
  5.1723349422253639E-01 a       178     0     9     1    18
 -3.4524558787291978E-02 a       179     0     9     1    19
  3.0349177180761977E-01 a       180     0     9     1    20
  3.7108166593545450E-01 a       181     0    10     1     1
 -7.9333247065704160E-01 a       182     0    10     1     2
 -2.5280243242860617E-01 a       183     0    10     1     3
  1.2541497495291495E-01 a       184     0    10     1     4
  3.5731981347622754E-01 a       185     0    10     1     5
 -1.2895255012191467E-01 a       186     0    10     1     6
 -4.8619537411982294E-01 a       187     0    10     1     7
  3.0896469210707317E-01 a       188     0    10     1     8
  4.0169080449829148E-01 a       189     0    10     1     9
 -5.9134561159638110E-01 a       190     0    10     1    10
 -4.7339148291163613E-01 a       191     0    10     1    11
  2.2700141211745367E-01 a       192     0    10     1    12
 -4.4027596446101641E-01 a       193     0    10     1    13
  6.0798078027286406E-01 a       194     0    10     1    14
  2.5058727165400602E-01 a       195     0    10     1    15
  6.6485042997520602E-02 a       196     0    10     1    16
 -3.9647088134538974E-02 a       197     0    10     1    17
 -3.1695834144022828E-01 a       198     0    10     1    18
 -3.0221808173123760E-01 a       199     0    10     1    19
  4.0241754371814814E-01 a       200     0    10     1    20
 -7.5229837293047452E-01 a       201     0    11     1     1
 -2.7637115587397204E-01 a       202     0    11     1     2
 -9.7403710464534082E-02 a       203     0    11     1     3
  6.4075010197717952E-01 a       204     0    11     1     4
 -3.8418326468883424E-01 a       205     0    11     1     5
 -1.2529970660156023E-01 a       206     0    11     1     6
 -4.1493859509092063E-01 a       207     0    11     1     7
  1.8192919575746602E-01 a       208     0    11     1     8
  4.9903821077898014E-01 a       209     0    11     1     9
 -3.7296391671979118E-01 a       210     0    11     1    10
  1.2210387352566816E-02 a       211     0    11     1    11
 -4.7712113395131522E-01 a       212     0    11     1    12
  7.9031455559875008E-02 a       213     0    11     1    13
 -6.1626385622282098E-01 a       214     0    11     1    14
 -3.9007919503689670E-01 a       215     0    11     1    15
  5.9026546729631257E-01 a       216     0    11     1    16
  4.5297916258228758E-02 a       217     0    11     1    17
  2.6336042778626068E-01 a       218     0    11     1    18
  3.1710930629038403E-01 a       219     0    11     1    19
 -2.6591417646887480E-02 a       220     0    11     1    20
  9.1988786019660651E-01 a       221     0    12     1     1
 -3.8072407558370588E-02 a       222     0    12     1     2
  8.5931284098489658E-01 a       223     0    12     1     3
  3.5994951045491663E-01 a       224     0    12     1     4
 -5.7041981204845840E-02 a       225     0    12     1     5
  2.4621154408615828E-01 a       226     0    12     1     6
 -4.0683986234841835E-01 a       227     0    12     1     7
 -5.7051930666646844E-01 a       228     0    12     1     8
  4.3498384212021785E-01 a       229     0    12     1     9
  7.7600186534275417E-01 a       230     0    12     1    10
  7.6066160643121250E-01 a       231     0    12     1    11
 -2.9406446883614529E-01 a       232     0    12     1    12
  4.2142672828178984E-01 a       233     0    12     1    13
  6.6416243318275936E-01 a       234     0    12     1    14
  5.4125267389822596E-01 a       235     0    12     1    15
  2.0268687723465373E-01 a       236     0    12     1    16
  4.5123427816057310E-01 a       237     0    12     1    17
  3.2687468411935799E-01 a       238     0    12     1    18
 -7.1061543345504985E-01 a       239     0    12     1    19
 -2.5079584511815339E-01 a       240     0    12     1    20
  5.3395596997163652E-01 a       241     0    13     1     1
 -3.6246795251825104E-01 a       242     0    13     1     2
  5.1087444097966761E-01 a       243     0    13     1     3
 -6.7550582377942647E-02 a       244     0    13     1     4
 -1.4458719576276055E-01 a       245     0    13     1     5
 -2.9518652333134821E-01 a       246     0    13     1     6
  3.3254470146829834E-01 a       247     0    13     1     7
  1.5883947218386349E-01 a       248     0    13     1     8
 -5.6807520224032466E-02 a       249     0    13     1     9
  2.7407341635209692E-01 a       250     0    13     1    10
 -3.7903973669061475E-01 a       251     0    13     1    11
  3.0179610873764201E-01 a       252     0    13     1    12
  1.0441117683884643E-01 a       253     0    13     1    13
 -4.5726161959210920E-01 a       254     0    13     1    14
  4.0500822192945213E-01 a       255     0    13     1    15
  1.6016998143594346E-01 a       256     0    13     1    16
  1.9779864917527673E-01 a       257     0    13     1    17
  2.5770423764840394E-01 a       258     0    13     1    18
  5.1524544904112213E-01 a       259     0    13     1    19
  4.1280521799661907E-01 a       260     0    13     1    20
  3.2945346097404560E-01 a       261     0    14     1     1
  2.1476777353181553E-01 a       262     0    14     1     2
  9.7137095245771021E-02 a       263     0    14     1     3
  9.8553588390830760E-01 a       264     0    14     1     4
 -4.6169493777750575E-01 a       265     0    14     1     5
  3.1788202310859481E-01 a       266     0    14     1     6
 -8.5265364860965542E-01 a       267     0    14     1     7
 -4.9940885967508022E-03 a       268     0    14     1     8
 -3.9219782794062996E-01 a       269     0    14     1     9
 -5.2236353678404610E-02 a       270     0    14     1    10
 -6.4086013800586505E-01 a       271     0    14     1    11
 -4.5639148072459246E-01 a       272     0    14     1    12
 -3.2533359592125299E-01 a       273     0    14     1    13
 -6.7389961748944860E-01 a       274     0    14     1    14
 -4.3332246289432587E-02 a       275     0    14     1    15
  3.6613288574909952E-01 a       276     0    14     1    16
  6.4996471891686169E-01 a       277     0    14     1    17
  1.2672346951048208E-01 a       278     0    14     1    18
 -3.2581638589213885E-01 a       279     0    14     1    19
 -6.1437140592265349E-01 a       280     0    14     1    20
 -1.8834406828187022E+00 b       281     1     1
 -3.4284238169538084E-01 b       282     1     2
 -5.2828837718469679E-01 b       283     1     3
 -1.1887348499507961E+00 b       284     1     4
 -1.0796595230554467E+00 b       285     1     5
  4.6656537608163656E-01 b       286     1     6
  1.8369126544569097E+00 b       287     1     7
  9.4569712062819644E-01 b       288     1     8
  1.4771663197746832E+00 b       289     1     9
 -9.8087895486327770E-01 b       290     1    10
 -1.6749688973994765E+00 b       291     1    11
  7.7573676966909988E-01 b       292     1    12
 -1.2305473986863342E+00 b       293     1    13
  7.8556815400092694E-01 b       294     1    14
  6.1660056400689434E-01 b       295     1    15
  4.2322750418416971E-01 b       296     1    16
  1.1084460997381198E+00 b       297     1    17
  7.8282188644807932E-02 b       298     1    18
  1.7525604982579170E+00 b       299     1    19
  1.3068683477987393E+00 b       300     1    20
  5.0645739221164576E-01 a       301     1     1     2     1
  9.5039566217462332E-02 a       302     1     1     2     2
 -1.8136554760297535E-01 a       303     1     1     2     3
  3.2875734340112822E-01 a       304     1     1     2     4
 -1.3805422585867300E-01 a       305     1     1     2     5
 -2.8798093101333377E-01 a       306     1     1     2     6
  4.3692090241555187E-01 a       307     1     1     2     7
  1.0305184772001426E-01 a       308     1     1     2     8
 -5.2750965371083602E-01 a       309     1     1     2     9
  3.2264719223438032E-01 a       310     1     1     2    10
  3.9975274662221688E-01 a       311     1     1     2    11
 -1.3123859503044769E-01 a       312     1     1     2    12
 -9.2840291138954659E-02 a       313     1     1     2    13
 -2.4734123064233915E-01 a       314     1     1     2    14
  4.6728853847458923E-01 a       315     1     1     2    15
  5.4882252892818895E-02 a       316     1     1     2    16
 -4.7896986758802085E-01 a       317     1     1     2    17
 -5.4656348586559400E-01 a       318     1     1     2    18
  3.4325422526308502E-01 a       319     1     1     2    19
 -3.6807329028503044E-01 a       320     1     1     2    20
 -1.4246897389235941E-01 a       321     1     2     2     1
  2.3017268522697557E-01 a       322     1     2     2     2
  1.3679991782760132E-02 a       323     1     2     2     3
  1.7819331382261347E-01 a       324     1     2     2     4
  4.0873903067383643E-01 a       325     1     2     2     5
  8.9455112392129887E-01 a       326     1     2     2     6
  2.0510800645027538E-01 a       327     1     2     2     7
 -4.5612863495164535E-01 a       328     1     2     2     8
  7.1271711191773801E-01 a       329     1     2     2     9
  5.2389361824695259E-02 a       330     1     2     2    10
 -1.3213382783382024E-01 a       331     1     2     2    11
 -2.3460099746073790E-01 a       332     1     2     2    12
  1.9224408208041505E-01 a       333     1     2     2    13
 -6.5638970254355822E-01 a       334     1     2     2    14
  7.2652095662731564E-01 a       335     1     2     2    15
 -2.3426470656925949E-01 a       336     1     2     2    16
 -2.1611438930307006E-01 a       337     1     2     2    17
 -2.1147385421728876E-01 a       338     1     2     2    18
 -3.3247475531075976E-01 a       339     1     2     2    19
 -3.3629075624674487E-01 a       340     1     2     2    20
 -3.0832415685991416E-01 a       341     1     3     2     1
  1.7696118782181514E-01 a       342     1     3     2     2
 -3.1260968983594706E-01 a       343     1     3     2     3
  5.2752483497017399E-01 a       344     1     3     2     4
 -8.9988713572504112E-02 a       345     1     3     2     5
 -4.9170176716022107E-01 a       346     1     3     2     6
 -2.1149261198361116E-01 a       347     1     3     2     7
 -1.5658439407314331E-01 a       348     1     3     2     8
 -1.6208953130684836E-01 a       349     1     3     2     9
  2.0385059380049836E-02 a       350     1     3     2    10
 -2.1583713118336312E-01 a       351     1     3     2    11
  3.0288690804880730E-01 a       352     1     3     2    12
  3.6733631673230449E-01 a       353     1     3     2    13
 -1.6947298765857838E-01 a       354     1     3     2    14
  3.0295472341659418E-01 a       355     1     3     2    15
  5.8176859300057127E-01 a       356     1     3     2    16
 -4.7845149921134256E-01 a       357     1     3     2    17
 -6.8336649347694844E-01 a       358     1     3     2    18
  2.4455599207484313E-01 a       359     1     3     2    19
  2.9931145778978241E-01 a       360     1     3     2    20
  6.3846116079352186E-02 a       361     1     4     2     1
  3.4559886140441953E-01 a       362     1     4     2     2
  3.3408126045147163E-01 a       363     1     4     2     3
 -1.0994777521908165E-01 a       364     1     4     2     4
 -9.8477297433526567E-02 a       365     1     4     2     5
  2.1732435713181872E-01 a       366     1     4     2     6
  5.7140487230216239E-02 a       367     1     4     2     7
 -5.6151010878489416E-01 a       368     1     4     2     8
  3.5279121401387181E-01 a       369     1     4     2     9
 -2.2474645154617590E-01 a       370     1     4     2    10
 -5.3485843838441871E-01 a       371     1     4     2    11
 -3.8865969605467843E-02 a       372     1     4     2    12
  4.4986646120869334E-01 a       373     1     4     2    13
 -6.5650665030305999E-01 a       374     1     4     2    14
