################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  3.3962980890803729E-01 a         1     0     1     1     1
  5.9747476880199790E-01 a         2     0     1     1     2
 -5.3046368897195650E-01 a         3     0     1     1     3
 -6.0512716567377256E-01 a         4     0     1     1     4
 -3.3354954283768978E-01 a         5     0     1     1     5
 -3.1787518639226064E-01 a         6     0     1     1     6
 -5.4019259570846068E-01 a         7     0     1     1     7
  2.0804314362496390E-01 a         8     0     1     1     8
  4.5528501094756635E-01 a         9     0     1     1     9
  9.0482343545905963E-01 a        10     0     1     1    10
 -2.3469261116451071E-01 a        11     0     1     1    11
 -3.1610199045182225E-01 a        12     0     1     1    12
 -3.0142443742160324E-01 a        13     0     1     1    13
 -2.2190926709627662E-01 a        14     0     1     1    14
 -3.5929406395537844E-01 a        15     0     1     1    15
  4.8969991780076536E-02 a        16     0     1     1    16
 -4.4270253232732387E-01 a        17     0     1     1    17
 -6.8503786659761512E-01 a        18     0     1     1    18
  3.4166193440878695E-01 a        19     0     1     1    19
  3.6906515535919204E-01 a        20     0     1     1    20
 -1.0722095205646615E-01 a        21     0     2     1     1
 -1.0984051024697750E-01 a        22     0     2     1     2
 -3.9055916910668653E-01 a        23     0     2     1     3
  1.4960709103338363E-01 a        24     0     2     1     4
 -6.7176724390595199E-01 a        25     0     2     1     5
 -9.2647921298083885E-02 a        26     0     2     1     6
  3.1375936073875682E-01 a        27     0     2     1     7
 -4.5245570325689072E-01 a        28     0     2     1     8
 -2.8799902878031419E-01 a        29     0     2     1     9
  4.1014655846778325E-01 a        30     0     2     1    10
 -6.6299415816406837E-01 a        31     0     2     1    11
  4.7550587217098050E-01 a        32     0     2     1    12
  3.6101838381670616E-02 a        33     0     2     1    13
  7.6727095504000498E-01 a        34     0     2     1    14
  1.8406805797433778E-01 a        35     0     2     1    15
 -5.4509265254066752E-01 a        36     0     2     1    16
  5.6266206988081898E-03 a        37     0     2     1    17
  4.3904021262980980E-01 a        38     0     2     1    18
 -2.8314769918739974E-01 a        39     0     2     1    19
 -4.1663402218221601E-01 a        40     0     2     1    20
  7.9759847648913640E-02 a        41     0     3     1     1
 -5.1908083504502600E-01 a        42     0     3     1     2
  2.6566601128993456E-01 a        43     0     3     1     3
  3.4977360845393218E-01 a        44     0     3     1     4
 -1.1214992050584956E-01 a        45     0     3     1     5
 -6.6607786402813729E-01 a        46     0     3     1     6
  1.4552677415112159E-01 a        47     0     3     1     7
  2.4656191278688802E-01 a        48     0     3     1     8
 -1.1907070261994543E-01 a        49     0     3     1     9
 -1.5708070241769778E-01 a        50     0     3     1    10
  7.2801158277212996E-01 a        51     0     3     1    11
 -5.4112800114332826E-01 a        52     0     3     1    12
  3.6851792004706688E-02 a        53     0     3     1    13
 -3.7452759025224008E-01 a        54     0     3     1    14
  6.4943916688026115E-01 a        55     0     3     1    15
  2.8028612224499899E-01 a        56     0     3     1    16
  7.7715517046245108E-01 a        57     0     3     1    17
 -2.9172465590693508E-01 a        58     0     3     1    18
  5.8719511596049534E-01 a        59     0     3     1    19
 -1.0555557731505602E-01 a        60     0     3     1    20
 -3.1667992903102121E-01 a        61     0     4     1     1
  5.6159106583789239E-02 a        62     0     4     1     2
  9.7385785329413582E-02 a        63     0     4     1     3
 -8.6977552028350891E-02 a        64     0     4     1     4
  3.3381481153143572E-01 a        65     0     4     1     5
 -1.7739682666123212E-02 a        66     0     4     1     6
 -6.7132465265892494E-01 a        67     0     4     1     7
  3.0330702682592414E-01 a        68     0     4     1     8
 -4.8084118107565477E-01 a        69     0     4     1     9
  5.9147491126521334E-01 a        70     0     4     1    10
 -2.1965914461822278E-01 a        71     0     4     1    11
  2.4875467248114880E-01 a        72     0     4     1    12
 -3.6742229926153430E-01 a        73     0     4     1    13
  3.7674894189706550E-02 a        74     0     4     1    14
 -1.1634292763426089E-01 a        75     0     4     1    15
  5.3823578594761079E-01 a        76     0     4     1    16
 -7.5403492917975476E-02 a        77     0     4     1    17
  2.0275101208377053E-01 a        78     0     4     1    18
  1.3860974968040576E-01 a        79     0     4     1    19
 -1.9466029718666267E-01 a        80     0     4     1    20
 -2.0265493258915349E-01 a        81     0     5     1     1
  6.3909242233696739E-01 a        82     0     5     1     2
 -2.5852515903665035E-01 a        83     0     5     1     3
 -4.0201630177979419E-01 a        84     0     5     1     4
 -3.9599419959858217E-01 a        85     0     5     1     5
  4.6193129215440604E-01 a        86     0     5     1     6
  2.3009840316879610E-01 a        87     0     5     1     7
 -4.4006654386341554E-01 a        88     0     5     1     8
 -1.0894430881976641E-02 a        89     0     5     1     9
  4.4054505605304956E-01 a        90     0     5     1    10
  3.0377775886690894E-01 a        91     0     5     1    11
  5.4832255817716365E-03 a        92     0     5     1    12
  3.8072609439399008E-01 a        93     0     5     1    13
  7.0740282607773808E-01 a        94     0     5     1    14
 -2.1603137907871298E-01 a        95     0     5     1    15
 -3.2779018818233924E-01 a        96     0     5     1    16
 -6.6621463932059122E-01 a        97     0     5     1    17
 -5.7168798463534565E-01 a        98     0     5     1    18
  8.1436706409289217E-01 a        99     0     5     1    19
 -1.2148502796703924E-01 a       100     0     5     1    20
  5.1385772930722340E-01 a       101     0     6     1     1
 -6.3430479338917845E-01 a       102     0     6     1     2
 -4.4526844637000774E-02 a       103     0     6     1     3
 -2.6653458032345967E-01 a       104     0     6     1     4
 -4.3735627486951739E-01 a       105     0     6     1     5
 -6.7642569283358406E-02 a       106     0     6     1     6
  3.7472127210528022E-01 a       107     0     6     1     7
  9.5418963067398432E-01 a       108     0     6     1     8
 -2.8702991883452073E-01 a       109     0     6     1     9
 -7.7379588447145020E-01 a       110     0     6     1    10
  9.1489764494660053E-01 a       111     0     6     1    11
  6.7832431835577356E-01 a       112     0     6     1    12
  5.7026901909642613E-01 a       113     0     6     1    13
 -2.7644243506345631E-02 a       114     0     6     1    14
  2.2051278803209001E-01 a       115     0     6     1    15
 -5.8419284815963246E-01 a       116     0     6     1    16
  9.1361806975393423E-01 a       117     0     6     1    17
 -5.5381475980486683E-01 a       118     0     6     1    18
  5.2618970105273222E-02 a       119     0     6     1    19
 -5.5385132868655471E-02 a       120     0     6     1    20
 -4.9459907644106516E-01 a       121     0     7     1     1
  4.2003817142011235E-01 a       122     0     7     1     2
  9.0424393043996554E-01 a       123     0     7     1     3
 -2.4596244424255218E-01 a       124     0     7     1     4
  3.0902252045007039E-01 a       125     0     7     1     5
  5.2266788085278004E-01 a       126     0     7     1     6
 -2.7937374043367924E-01 a       127     0     7     1     7
  9.0579401737573839E-03 a       128     0     7     1     8
 -6.9881943361774279E-01 a       129     0     7     1     9
 -7.7692598009743263E-02 a       130     0     7     1    10
 -3.1187543951163654E-01 a       131     0     7     1    11
  1.7260822824301117E-01 a       132     0     7     1    12
 -7.0762413515854494E-02 a       133     0     7     1    13
  3.6569303691218624E-01 a       134     0     7     1    14
 -2.1383951539208979E-01 a       135     0     7     1    15
  3.2966588380839812E-01 a       136     0     7     1    16
 -1.6997612834965259E-01 a       137     0     7     1    17
 -2.5884951866189609E-01 a       138     0     7     1    18
  6.6897048874391718E-01 a       139     0     7     1    19
 -5.4262656499299922E-01 a       140     0     7     1    20
  5.0387803503597262E-01 a       141     0     8     1     1
 -2.9527495968954592E-01 a       142     0     8     1     2
 -3.8809518396549780E-01 a       143     0     8     1     3
  4.5593222276221645E-01 a       144     0     8     1     4
  3.9252857723135537E-01 a       145     0     8     1     5
 -6.2596485096369703E-01 a       146     0     8     1     6
  7.6605993843412357E-01 a       147     0     8     1     7
 -9.0018514890439016E-01 a       148     0     8     1     8
 -2.9156049807624462E-01 a       149     0     8     1     9
  6.1105840095102126E-01 a       150     0     8     1    10
  2.6328609376954335E-02 a       151     0     8     1    11
 -4.8626712322094889E-01 a       152     0     8     1    12
 -1.6855880803389375E-01 a       153     0     8     1    13
  9.5608845253897984E-02 a       154     0     8     1    14
  6.2928380672273199E-01 a       155     0     8     1    15
  6.9369650439436004E-01 a       156     0     8     1    16
 -1.5490242146540598E-01 a       157     0     8     1    17
 -8.3490197527412102E-01 a       158     0     8     1    18
  1.3458777323309976E-01 a       159     0     8     1    19
  2.2392364985834456E-01 a       160     0     8     1    20
  2.0911041973236083E-01 a       161     0     9     1     1
 -5.5901422106034493E-01 a       162     0     9     1     2
  4.7787197651556529E-01 a       163     0     9     1     3
 -1.9110986685005860E-01 a       164     0     9     1     4
  4.8528436037983846E-01 a       165     0     9     1     5
 -7.2768045323806679E-02 a       166     0     9     1     6
 -4.7377151265280337E-01 a       167     0     9     1     7
  4.8285380060774385E-01 a       168     0     9     1     8
 -2.0378162346704118E-01 a       169     0     9     1     9
  4.9026794206199181E-01 a       170     0     9     1    10
  5.1597129578557832E-02 a       171     0     9     1    11
  6.2448554552619806E-01 a       172     0     9     1    12
 -3.4675587581043460E-01 a       173     0     9     1    13
 -5.5092157307563605E-01 a       174     0     9     1    14
 -1.8364263329952638E-01 a       175     0     9     1    15
  2.1093975221418737E-01 a       176     0     9     1    16
  1.9553585509463625E-01 a       177     0     9     1    17
 -3.4564654304805514E-01 a       178     0     9     1    18
 -2.4069576126453973E-01 a       179     0     9     1    19
 -3.1081868179328309E-01 a       180     0     9     1    20
  5.0815943411926623E-01 a       181     0    10     1     1
  2.6870293366014047E-01 a       182     0    10     1     2
 -3.2421795063784686E-01 a       183     0    10     1     3
 -1.7913174013463104E-01 a       184     0    10     1     4
 -1.9450889958043446E-01 a       185     0    10     1     5
 -4.4999497628453100E-01 a       186     0    10     1     6
  6.7185638760725808E-01 a       187     0    10     1     7
  7.0705517672546037E-01 a       188     0    10     1     8
 -2.0143320886511501E-01 a       189     0    10     1     9
 -3.7631179230249467E-01 a       190     0    10     1    10
  5.3894779242686741E-01 a       191     0    10     1    11
  7.0611333415167676E-02 a       192     0    10     1    12
 -5.6221372542691572E-01 a       193     0    10     1    13
  2.4003601530394461E-01 a       194     0    10     1    14
 -1.5651086806434980E-01 a       195     0    10     1    15
  3.1237868466002794E-01 a       196     0    10     1    16
 -1.3933485417415178E-01 a       197     0    10     1    17
  5.5099895191719574E-02 a       198     0    10     1    18
  4.3781730400698116E-01 a       199     0    10     1    19
  6.8440128841516168E-01 a       200     0    10     1    20
 -4.1441828581700241E-01 a       201     0    11     1     1
 -2.6654318824139434E-01 a       202     0    11     1     2
  7.6102192385039541E-02 a       203     0    11     1     3
 -4.7015711220321244E-01 a       204     0    11     1     4
 -2.2760127634105184E-01 a       205     0    11     1     5
  1.9848575729372164E-01 a       206     0    11     1     6
  5.2957306607013510E-01 a       207     0    11     1     7
 -6.0107082780032947E-02 a       208     0    11     1     8
 -8.3492108734455706E-01 a       209     0    11     1     9
  2.1936120137607218E-01 a       210     0    11     1    10
  1.0929758810171526E-01 a       211     0    11     1    11
  7.0230828821877989E-01 a       212     0    11     1    12
  6.1919350062883927E-01 a       213     0    11     1    13
  8.8158897461796157E-02 a       214     0    11     1    14
  2.5584932228299870E-02 a       215     0    11     1    15
 -2.3234350952815969E-01 a       216     0    11     1    16
  6.7995887253140305E-02 a       217     0    11     1    17
 -4.9918872773868261E-01 a       218     0    11     1    18
  2.5139587463029717E-01 a       219     0    11     1    19
  5.1540982911883204E-01 a       220     0    11     1    20
  1.6905834633720562E-01 a       221     0    12     1     1
  6.0389200152845712E-01 a       222     0    12     1     2
  7.7929684971192692E-01 a       223     0    12     1     3
 -4.1321951066937201E-01 a       224     0    12     1     4
 -6.6457200905403579E-01 a       225     0    12     1     5
  6.4428121182702613E-01 a       226     0    12     1     6
 -4.7972902558356889E-01 a       227     0    12     1     7
 -1.7671963446249492E-01 a       228     0    12     1     8
  5.0038531895718874E-01 a       229     0    12     1     9
  4.8084586923382583E-01 a       230     0    12     1    10
  3.4283704742275356E-01 a       231     0    12     1    11
  5.9583337776157608E-01 a       232     0    12     1    12
  4.4540218847653862E-01 a       233     0    12     1    13
  5.5419541721126397E-01 a       234     0    12     1    14
 -6.1927828439007648E-01 a       235     0    12     1    15
  4.0456166388048276E-01 a       236     0    12     1    16
 -3.2928097115251292E-01 a       237     0    12     1    17
 -3.6303143649695030E-01 a       238     0    12     1    18
 -6.4865152091802186E-02 a       239     0    12     1    19
 -9.3482422496311335E-02 a       240     0    12     1    20
 -3.8275362653668782E-01 a       241     0    13     1     1
 -3.9461702836037860E-01 a       242     0    13     1     2
 -1.2276940344029133E-01 a       243     0    13     1     3
  1.6698673701011774E-01 a       244     0    13     1     4
 -3.2223133489714401E-01 a       245     0    13     1     5
  1.3835776419276527E-01 a       246     0    13     1     6
  1.1638109562298538E-01 a       247     0    13     1     7
 -6.7551488660243894E-02 a       248     0    13     1     8
  7.0561332651031972E-01 a       249     0    13     1     9
  2.3968928644254324E-02 a       250     0    13     1    10
  2.1230296069632448E-02 a       251     0    13     1    11
  1.4319718667855189E-01 a       252     0    13     1    12
  4.7899525482525573E-01 a       253     0    13     1    13
  4.1401139506176110E-01 a       254     0    13     1    14
  3.1714483446040893E-02 a       255     0    13     1    15
  5.5848654878618642E-01 a       256     0    13     1    16
  3.6096740120852522E-01 a       257     0    13     1    17
  1.5216323480352573E-01 a       258     0    13     1    18
  1.2647063316858040E-01 a       259     0    13     1    19
  5.2003807759039633E-01 a       260     0    13     1    20
 -6.6227538687547527E-01 a       261     0    14     1     1
 -1.4904225002957441E-01 a       262     0    14     1     2
 -2.8296114495192798E-01 a       263     0    14     1     3
 -4.8188418689280793E-01 a       264     0    14     1     4
  2.1600554745636399E-01 a       265     0    14     1     5
  4.1439535465875293E-01 a       266     0    14     1     6
 -2.3707418945761730E-02 a       267     0    14     1     7
  2.5605996266026793E-01 a       268     0    14     1     8
 -2.4493816575935959E-01 a       269     0    14     1     9
 -3.5963893646001155E-01 a       270     0    14     1    10
  4.6523679059914269E-01 a       271     0    14     1    11
  4.6362441285903921E-01 a       272     0    14     1    12
 -2.8397859136673231E-01 a       273     0    14     1    13
 -5.7772012574107112E-01 a       274     0    14     1    14
  1.8811982297995231E-01 a       275     0    14     1    15
 -4.6714860993177487E-01 a       276     0    14     1    16
  3.9174389486732963E-01 a       277     0    14     1    17
 -4.7121002516611482E-01 a       278     0    14     1    18
  6.7120265101688004E-01 a       279     0    14     1    19
  7.2811796001394591E-01 a       280     0    14     1    20
  2.5333191523317306E-01 b       281     1     1
 -8.7261970933997191E-01 b       282     1     2
 -1.7071692931683524E+00 b       283     1     3
 -2.6723113119315456E-01 b       284     1     4
  8.4450776712087039E-01 b       285     1     5
 -1.0193208657030777E+00 b       286     1     6
  7.4963423705784704E-01 b       287     1     7
  1.3803757395732250E+00 b       288     1     8
  1.8817520469994589E+00 b       289     1     9
  6.0344799446922248E-01 b       290     1    10
 -1.1842365381302975E+00 b       291     1    11
 -9.4656782104976545E-01 b       292     1    12
 -6.8127665500331391E-01 b       293     1    13
 -1.0683970704620933E+00 b       294     1    14
 -9.4713383924486527E-01 b       295     1    15
  1.2518301902387601E+00 b       296     1    16
 -1.5656746107187108E-01 b       297     1    17
 -1.9238661099558052E-01 b       298     1    18
 -7.7423509243967825E-01 b       299     1    19
  1.7765544480127466E+00 b       300     1    20
  2.6293620293565118E-01 a       301     1     1     2     1
  4.7610770753330761E-01 a       302     1     1     2     2
  1.5215995717090106E-01 a       303     1     1     2     3
  4.7998826457163477E-03 a       304     1     1     2     4
 -5.4436737604781654E-02 a       305     1     1     2     5
 -7.9190110272900044E-02 a       306     1     1     2     6
 -6.3262980065488272E-01 a       307     1     1     2     7
 -4.7603002279429298E-02 a       308     1     1     2     8
  2.3323880594381974E-01 a       309     1     1     2     9
 -1.3789340594931889E-02 a       310     1     1     2    10
 -3.9901400051746966E-01 a       311     1     1     2    11
  1.9685599955501065E-01 a       312     1     1     2    12
  4.5544185113089858E-01 a       313     1     1     2    13
  4.3400135710468607E-01 a       314     1     1     2    14
 -3.6866472539673717E-01 a       315     1     1     2    15
  3.0765652895467510E-02 a       316     1     1     2    16
  1.6805086312405806E-01 a       317     1     1     2    17
 -4.2868857284552730E-01 a       318     1     1     2    18
  3.4406157321415326E-01 a       319     1     1     2    19
 -5.4389975193360578E-02 a       320     1     1     2    20
  1.3853687513229951E-01 a       321     1     2     2     1
  4.6174150846105544E-01 a       322     1     2     2     2
 -2.2397295333784278E-01 a       323     1     2     2     3
  6.5521836046883375E-01 a       324     1     2     2     4
 -6.3373964785786630E-01 a       325     1     2     2     5
 -4.5551274636670563E-01 a       326     1     2     2     6
 -4.7691925724852108E-01 a       327     1     2     2     7
  5.8659529649355424E-01 a       328     1     2     2     8
 -2.7271916813646202E-01 a       329     1     2     2     9
 -1.4220580668672758E-01 a       330     1     2     2    10
  8.2620491882213931E-02 a       331     1     2     2    11
 -5.3017272144005742E-02 a       332     1     2     2    12
  2.3528119917647711E-02 a       333     1     2     2    13
 -4.3156337872244027E-01 a       334     1     2     2    14
 -1.9950020700540008E-01 a       335     1     2     2    15
  1.1150059418027540E-01 a       336     1     2     2    16
  6.1831026517622720E-02 a       337     1     2     2    17
 -1.8246868797801713E-01 a       338     1     2     2    18
  2.3440032726838197E-01 a       339     1     2     2    19
  1.7298235675232643E-01 a       340     1     2     2    20
  5.4887675455383644E-01 a       341     1     3     2     1
 -6.7439851185961064E-01 a       342     1     3     2     2
 -6.2855344433111371E-01 a       343     1     3     2     3
  4.8412619191502571E-01 a       344     1     3     2     4
  5.6139211646884168E-01 a       345     1     3     2     5
  5.6020040886333389E-01 a       346     1     3     2     6
  1.6833730547116871E-01 a       347     1     3     2     7
 -1.2092981058521002E-01 a       348     1     3     2     8
 -3.1474582390058026E-01 a       349     1     3     2     9
  5.1457423828785964E-01 a       350     1     3     2    10
  2.2209200034928683E-01 a       351     1     3     2    11
 -3.5322993743464326E-01 a       352     1     3     2    12
 -3.5925130601976124E-01 a       353     1     3     2    13
 -4.1130020845063092E-01 a       354     1     3     2    14
 -1.9301243467102086E-01 a       355     1     3     2    15
 -5.1916354487430949E-01 a       356     1     3     2    16
 -2.1446829117829846E-01 a       357     1     3     2    17
  4.1522205991474143E-01 a       358     1     3     2    18
  4.3221432336840376E-01 a       359     1     3     2    19
  1.9045383897951568E-01 a       360     1     3     2    20
  3.7633424452729330E-01 a       361     1     4     2     1
  6.6545024085326379E-02 a       362     1     4     2     2
  5.1182749334160105E-01 a       363     1     4     2     3
  4.6579194231692139E-01 a       364     1     4     2     4
 -4.7361582950393499E-02 a       365     1     4     2     5
 -3.2654097145873678E-01 a       366     1     4     2     6
  3.5274322931290858E-01 a       367     1     4     2     7
  4.9364678801541197E-02 a       368     1     4     2     8
 -6.5691724427387826E-02 a       369     1     4     2     9
 -3.8960104431889420E-01 a       370     1     4     2    10
 -1.7379774643078653E-02 a       371     1     4     2    11
  2.0119871654981317E-01 a       372     1     4     2    12
 -2.9533010960648576E-01 a       373     1     4     2    13
 -3.1302845204951646E-01 a       374     1     4     2    14
 -1.3703869600791249E-01 a       375     1     4     2    15
 -7.1159299251753495E-03 a       376     1     4     2    16
 -1.2339533961517249E-01 a       377     1     4     2    17
  3.2360187317120209E-01 a       378     1     4     2    18
 -1.4859730559367981E-01 a       379     1     4     2    19
  3.0632966280630686E-01 a       380     1     4     2    20
  4.8953624816184094E-01 a       381     1     5     2     1
 -1.8806234298325897E-01 a       382     1     5     2     2
  3.2698426474646319E-01 a       383     1     5     2     3
  2.8263601896214996E-01 a       384     1     5     2     4
 -2.5625253253289776E-01 a       385     1     5     2     5
  3.9662619157471213E-01 a       386     1     5     2     6
 -6.1367303723232736E-01 a       387     1     5     2     7
  4.9490583704999092E-01 a       388     1     5     2     8
  1.0720544780632152E-01 a       389     1     5     2     9
  2.0408189999810200E-01 a       390     1     5     2    10
  2.0912587527097626E-01 a       391     1     5     2    11
  5.3085444176059726E-01 a       392     1     5     2    12
  2.5674106865421104E-01 a       393     1     5     2    13
 -4.9124488602363403E-01 a       394     1     5     2    14
 -2.7590103540869837E-01 a       395     1     5     2    15
  1.4375265279887900E-01 a       396     1     5     2    16
 -1.1270225101978787E-01 a       397     1     5     2    17
  1.3038196709667529E-01 a       398     1     5     2    18
 -5.9540231018068279E-01 a       399     1     5     2    19
 -2.0255779485208708E-01 a       400     1     5     2    20
  2.0523526908947332E-01 a       401     1     6     2     1
 -7.7752793396425990E-02 a       402     1     6     2     2
 -1.1223582497781234E-01 a       403     1     6     2     3
 -2.9071134742441179E-01 a       404     1     6     2     4
  1.1783811440586595E-01 a       405     1     6     2     5
 -9.1570783778918280E-02 a       406     1     6     2     6
  2.2322286964289700E-01 a       407     1     6     2     7
  4.8040977229129150E-01 a       408     1     6     2     8
 -1.1861647426118890E-01 a       409     1     6     2     9
  1.6198998832088116E-02 a       410     1     6     2    10
  5.7050385048941743E-01 a       411     1     6     2    11
 -6.0101743845586342E-01 a       412     1     6     2    12
  4.2832573595267842E-01 a       413     1     6     2    13
  1.8971407554439379E-01 a       414     1     6     2    14
 -4.5032856736754018E-01 a       415     1     6     2    15
  6.8228149616151645E-01 a       416     1     6     2    16
  3.3804168029044387E-02 a       417     1     6     2    17
 -2.2988156550185918E-01 a       418     1     6     2    18
 -1.6542225533936936E-01 a       419     1     6     2    19
 -2.6709583064489617E-01 a       420     1     6     2    20
 -5.5424710492825446E-01 a       421     1     7     2     1
 -4.6210381948418011E-01 a       422     1     7     2     2
  5.3429693435784775E-01 a       423     1     7     2     3
 -3.3069634319737390E-01 a       424     1     7     2     4
 -4.3212003013776207E-01 a       425     1     7     2     5
 -1.1525843490485077E-01 a       426     1     7     2     6
  2.3498319511535373E-02 a       427     1     7     2     7
 -2.2767540024826782E-01 a       428     1     7     2     8
  4.4296873866533104E-01 a       429     1     7     2     9
 -5.9977508783442968E-01 a       430     1     7     2    10
 -2.3652938836143042E-01 a       431     1     7     2    11
  7.1655479269158301E-02 a       432     1     7     2    12
  4.2936077869703521E-01 a       433     1     7     2    13
  1.0941280427248552E-01 a       434     1     7     2    14
  9.5951690384645849E-02 a       435     1     7     2    15
 -5.4644030013361344E-01 a       436     1     7     2    16
 -3.9215768561590442E-01 a       437     1     7     2    17
  8.8241650152124859E-02 a       438     1     7     2    18
 -3.7255511610721848E-01 a       439     1     7     2    19
 -2.1608748052603499E-01 a       440     1     7     2    20
 -5.7162581294672377E-01 a       441     1     8     2     1
 -3.4317912402755590E-01 a       442     1     8     2     2
  4.8084725952049567E-01 a       443     1     8     2     3
 -7.0546955911656040E-03 a       444     1     8     2     4
  8.8925434888070462E-02 a       445     1     8     2     5
 -4.2244151163543031E-01 a       446     1     8     2     6
 -3.1238716379991199E-01 a       447     1     8     2     7
  3.6032608921369315E-02 a       448     1     8     2     8
  4.3114748823039722E-01 a       449     1     8     2     9
